KS: KS, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.02815	0.02748	0.13	100000	2748	97614	7138993	71.39
1941-1949	1	0.00303	0.00303	0.5	97252	295	97105	7041378	72.40
1941-1949	2	0.00146	0.00146	0.5	96957	141	96887	6944274	71.62
1941-1949	3	0.00102	0.00102	0.5	96816	99	96767	6847387	70.73
1941-1949	4	0.00089	0.00089	0.5	96717	86	96674	6750620	69.80
1941-1949	5	0.00078	0.00078	0.5	96631	75	96594	6653946	68.86
1941-1949	6	0.00071	0.00071	0.5	96556	68	96522	6557352	67.91
1941-1949	7	0.00065	0.00065	0.5	96488	62	96457	6460830	66.96
1941-1949	8	0.00060	0.00060	0.5	96426	58	96397	6364373	66.00
1941-1949	9	0.00057	0.00057	0.5	96368	55	96340	6267976	65.04
1941-1949	10	0.00055	0.00055	0.5	96313	53	96287	6171636	64.08
1941-1949	11	0.00055	0.00055	0.5	96260	53	96234	6075349	63.11
1941-1949	12	0.00059	0.00059	0.5	96207	56	96179	5979116	62.15
1941-1949	13	0.00064	0.00064	0.5	96151	62	96120	5882937	61.18
1941-1949	14	0.00072	0.00072	0.5	96089	69	96054	5786817	60.22
1941-1949	15	0.00082	0.00082	0.5	96019	79	95980	5690763	59.27
1941-1949	16	0.00090	0.00090	0.5	95941	86	95898	5594783	58.31
1941-1949	17	0.00096	0.00096	0.5	95855	92	95809	5498885	57.37
1941-1949	18	0.00101	0.00101	0.5	95763	97	95714	5403076	56.42
1941-1949	19	0.00104	0.00104	0.5	95666	99	95616	5307362	55.48
1941-1949	20	0.00106	0.00106	0.5	95566	101	95516	5211746	54.54
1941-1949	21	0.00109	0.00109	0.5	95465	104	95413	5116230	53.59
1941-1949	22	0.00112	0.00112	0.5	95361	107	95308	5020817	52.65
1941-1949	23	0.00116	0.00116	0.5	95255	111	95199	4925509	51.71
1941-1949	24	0.00121	0.00121	0.5	95144	115	95086	4830310	50.77
1941-1949	25	0.00127	0.00127	0.5	95028	120	94968	4735224	49.83
1941-1949	26	0.00132	0.00132	0.5	94908	125	94845	4640255	48.89
1941-1949	27	0.00137	0.00137	0.5	94783	130	94717	4545410	47.96
1941-1949	28	0.00143	0.00143	0.5	94652	135	94585	4450693	47.02
