PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KS,m,1941-1949,0,0.03701,0.03588,0.14,100000,3588,96930,6654792,66.55
KS,m,1941-1949,1-4,0.00190,0.00755,1.55,96412,728,383866,6557862,68.02
KS,m,1941-1949,5-9,0.00097,0.00482,2.47,95684,461,477254,6173995,64.52
KS,m,1941-1949,10-14,0.00111,0.00551,2.66,95223,525,474886,5696741,59.83
KS,m,1941-1949,15-19,0.00174,0.00868,2.65,94698,822,471560,5221855,55.14
KS,m,1941-1949,20-24,0.00225,0.01121,2.54,93876,1052,466785,4750295,50.60
KS,m,1941-1949,25-29,0.00223,0.01106,2.48,92823,1027,461527,4283510,46.15
KS,m,1941-1949,30-34,0.00231,0.01148,2.56,91796,1054,456410,3821983,41.64
KS,m,1941-1949,35-39,0.00306,0.01517,2.63,90743,1377,450453,3365573,37.09
KS,m,1941-1949,40-44,0.00440,0.02177,2.66,89366,1946,442276,2915120,32.62
KS,m,1941-1949,45-49,0.00668,0.03289,2.64,87421,2875,430316,2472844,28.29
KS,m,1941-1949,50-54,0.00986,0.04817,2.65,84545,4073,413161,2042528,24.16
KS,m,1941-1949,55-59,0.01549,0.07473,2.64,80473,6014,388171,1629367,20.25
KS,m,1941-1949,60-64,0.02311,0.10950,2.61,74459,8153,352847,1241196,16.67
KS,m,1941-1949,65-69,0.03512,0.16197,2.6,66306,10740,305754,888349,13.40
KS,m,1941-1949,70-74,0.05411,0.23910,2.57,55566,13286,245547,582595,10.48
KS,m,1941-1949,75-79,0.08529,0.35175,2.51,42280,14872,174380,337048,7.97
KS,m,1941-1949,80-84,0.13374,0.49613,2.4,27408,13598,101678,162668,5.94
KS,m,1941-1949,85-89,0.19768,0.64120,2.26,13810,8855,44795,60990,4.42
KS,m,1941-1949,90-94,0.28608,0.77691,2.06,4955,3850,13457,16195,3.27
KS,m,1941-1949,95-99,0.39162,0.87489,1.84,1105,967,2470,2738,2.48
KS,m,1941-1949,100-104,0.50841,0.93449,1.62,138,129,254,269,1.94
KS,m,1941-1949,105-109,0.62496,0.96578,1.42,9,9,14,14,1.59
KS,m,1941-1949,110+,0.71510,1.00000,1.4,0,0,0,0,1.40
KS,m,1950-1959,0,0.02785,0.02718,0.12,100000,2718,97607,6833488,68.33
KS,m,1950-1959,1-4,0.00118,0.00472,1.57,97282,459,388013,6735880,69.24
KS,m,1950-1959,5-9,0.00059,0.00292,2.38,96823,283,483373,6347867,65.56
KS,m,1950-1959,10-14,0.00065,0.00326,2.84,96540,315,482017,5864494,60.75
KS,m,1950-1959,15-19,0.00160,0.00795,2.69,96225,765,479355,5382477,55.94
KS,m,1950-1959,20-24,0.00185,0.00920,2.48,95460,878,475088,4903122,51.36
KS,m,1950-1959,25-29,0.00183,0.00910,2.49,94582,861,470747,4428034,46.82
KS,m,1950-1959,30-34,0.00190,0.00946,2.55,93721,886,466433,3957287,42.22
