KY: KY, Lifetables (period 1x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05323	0.05104	0.2	100000	5104	95893	6390155	63.90
1941-1944	1	0.00670	0.00668	0.5	94896	634	94579	6294262	66.33
1941-1944	2	0.00325	0.00325	0.5	94262	306	94109	6199683	65.77
1941-1944	3	0.00208	0.00207	0.5	93956	195	93859	6105574	64.98
1941-1944	4	0.00155	0.00155	0.5	93761	145	93689	6011715	64.12
1941-1944	5	0.00128	0.00128	0.5	93616	120	93556	5918027	63.22
1941-1944	6	0.00113	0.00113	0.5	93496	106	93443	5824471	62.30
1941-1944	7	0.00103	0.00103	0.5	93390	96	93342	5731028	61.37
1941-1944	8	0.00095	0.00095	0.5	93294	89	93250	5637686	60.43
1941-1944	9	0.00090	0.00090	0.5	93205	84	93163	5544436	59.49
1941-1944	10	0.00087	0.00087	0.5	93121	81	93081	5451273	58.54
1941-1944	11	0.00090	0.00090	0.5	93040	83	92998	5358192	57.59
1941-1944	12	0.00097	0.00097	0.5	92957	90	92911	5265194	56.64
1941-1944	13	0.00110	0.00110	0.5	92866	102	92815	5172282	55.70
1941-1944	14	0.00128	0.00128	0.5	92764	119	92705	5079467	54.76
1941-1944	15	0.00150	0.00150	0.5	92645	139	92576	4986763	53.83
1941-1944	16	0.00171	0.00171	0.5	92506	158	92427	4894187	52.91
1941-1944	17	0.00189	0.00189	0.5	92349	174	92261	4801760	52.00
1941-1944	18	0.00206	0.00206	0.5	92174	190	92079	4709498	51.09
1941-1944	19	0.00220	0.00220	0.5	91984	202	91883	4617419	50.20
1941-1944	20	0.00234	0.00234	0.5	91782	214	91675	4525535	49.31
1941-1944	21	0.00250	0.00250	0.5	91568	229	91454	4433860	48.42
1941-1944	22	0.00265	0.00265	0.5	91339	242	91218	4342406	47.54
1941-1944	23	0.00281	0.00280	0.5	91097	255	90970	4251188	46.67
1941-1944	24	0.00293	0.00293	0.5	90842	266	90709	4160219	45.80
1941-1944	25	0.00299	0.00299	0.5	90576	271	90440	4069510	44.93
1941-1944	26	0.00304	0.00304	0.5	90305	274	90168	3979070	44.06
1941-1944	27	0.00310	0.00309	0.5	90031	278	89891	3888902	43.20
1941-1944	28	0.00317	0.00316	0.5	89752	284	89610	3799010	42.33
1941-1944	29	0.00325	0.00325	0.5	89468	291	89323	3709400	41.46
1941-1944	30	0.00335	0.00335	0.5	89178	298	89028	3620077	40.59
1941-1944	31	0.00345	0.00344	0.5	88879	306	88726	3531049	39.73
1941-1944	32	0.00361	0.00361	0.5	88573	319	88413	3442323	38.86
1941-1944	33	0.00382	0.00381	0.5	88254	337	88085	3353909	38.00
1941-1944	34	0.00405	0.00405	0.5	87917	356	87739	3265824	37.15
1941-1944	35	0.00432	0.00431	0.5	87561	378	87373	3178084	36.30
1941-1944	36	0.00450	0.00449	0.5	87184	391	86988	3090712	35.45
1941-1944	37	0.00469	0.00467	0.5	86793	406	86590	3003724	34.61
1941-1944	38	0.00494	0.00493	0.5	86387	426	86174	2917134	33.77
1941-1944	39	0.00513	0.00511	0.5	85961	440	85741	2830960	32.93
