PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,f,1941,0,0.05403,0.05180,0.2,100000,5180,95878,6437708,64.38
KY,f,1941,1,0.00957,0.00952,0.5,94820,903,94368,6341830,66.88
KY,f,1941,2,0.00381,0.00381,0.5,93917,357,93738,6247462,66.52
KY,f,1941,3,0.00257,0.00257,0.5,93560,240,93439,6153724,65.77
KY,f,1941,4,0.00166,0.00166,0.5,93319,154,93242,6060284,64.94
KY,f,1941,5,0.00132,0.00132,0.5,93165,123,93104,5967042,64.05
KY,f,1941,6,0.00122,0.00122,0.5,93042,113,92986,5873938,63.13
KY,f,1941,7,0.00113,0.00113,0.5,92929,105,92877,5780953,62.21
KY,f,1941,8,0.00101,0.00101,0.5,92825,94,92778,5688076,61.28
KY,f,1941,9,0.00086,0.00086,0.5,92731,80,92691,5595298,60.34
KY,f,1941,10,0.00072,0.00071,0.5,92651,66,92618,5502608,59.39
KY,f,1941,11,0.00065,0.00065,0.5,92585,60,92555,5409990,58.43
KY,f,1941,12,0.00070,0.00070,0.5,92524,65,92492,5317435,57.47
KY,f,1941,13,0.00084,0.00084,0.5,92460,78,92421,5224943,56.51
KY,f,1941,14,0.00109,0.00108,0.5,92382,100,92332,5132522,55.56
KY,f,1941,15,0.00143,0.00143,0.5,92282,132,92216,5040191,54.62
KY,f,1941,16,0.00173,0.00173,0.5,92150,159,92070,4947975,53.70
KY,f,1941,17,0.00197,0.00196,0.5,91990,181,91900,4855905,52.79
KY,f,1941,18,0.00221,0.00220,0.5,91810,202,91708,4764005,51.89
KY,f,1941,19,0.00236,0.00236,0.5,91607,216,91499,4672297,51.00
KY,f,1941,20,0.00255,0.00255,0.5,91391,233,91275,4580798,50.12
KY,f,1941,21,0.00285,0.00285,0.5,91158,259,91029,4489523,49.25
KY,f,1941,22,0.00302,0.00302,0.5,90899,274,90762,4398495,48.39
KY,f,1941,23,0.00316,0.00315,0.5,90625,285,90482,4307733,47.53
KY,f,1941,24,0.00320,0.00319,0.5,90339,289,90195,4217251,46.68
KY,f,1941,25,0.00314,0.00313,0.5,90051,282,89910,4127056,45.83
KY,f,1941,26,0.00309,0.00308,0.5,89768,277,89630,4037146,44.97
KY,f,1941,27,0.00311,0.00311,0.5,89491,278,89353,3947516,44.11
KY,f,1941,28,0.00316,0.00315,0.5,89214,281,89073,3858164,43.25
KY,f,1941,29,0.00314,0.00314,0.5,88932,279,88793,3769091,42.38
KY,f,1941,30,0.00313,0.00313,0.5,88653,277,88515,3680298,41.51
KY,f,1941,31,0.00316,0.00316,0.5,88376,279,88236,3591783,40.64
KY,f,1941,32,0.00344,0.00343,0.5,88097,302,87945,3503547,39.77
KY,f,1941,33,0.00359,0.00359,0.5,87794,315,87637,3415602,38.90
KY,f,1941,34,0.00366,0.00366,0.5,87479,320,87319,3327965,38.04
KY,f,1941,35,0.00391,0.00390,0.5,87159,340,86989,3240646,37.18
KY,f,1941,36,0.00399,0.00399,0.5,86819,346,86646,3153656,36.32
KY,f,1941,37,0.00425,0.00424,0.5,86473,367,86290,3067010,35.47
KY,f,1941,38,0.00463,0.00462,0.5,86107,398,85907,2980720,34.62
KY,f,1941,39,0.00471,0.00470,0.5,85708,402,85507,2894813,33.78
KY,f,1941,40,0.00465,0.00464,0.5,85306,396,85108,2809305,32.93
KY,f,1941,41,0.00482,0.00481,0.5,84910,408,84706,2724197,32.08
KY,f,1941,42,0.00575,0.00573,0.5,84502,485,84260,2639491,31.24
KY,f,1941,43,0.00633,0.00631,0.5,84017,530,83752,2555232,30.41
KY,f,1941,44,0.00642,0.00640,0.5,83488,535,83220,2471479,29.60
KY,f,1941,45,0.00693,0.00690,0.5,82953,572,82667,2388259,28.79
KY,f,1941,46,0.00700,0.00698,0.5,82380,575,82093,2305592,27.99
KY,f,1941,47,0.00748,0.00745,0.5,81806,609,81501,2223499,27.18
KY,f,1941,48,0.00796,0.00793,0.5,81196,644,80875,2141998,26.38
KY,f,1941,49,0.00789,0.00786,0.5,80553,633,80236,2061124,25.59
KY,f,1941,50,0.00798,0.00795,0.5,79920,635,79602,1980887,24.79
KY,f,1941,51,0.00815,0.00811,0.5,79284,643,78963,1901285,23.98
KY,f,1941,52,0.00945,0.00941,0.5,78641,740,78271,1822323,23.17
KY,f,1941,53,0.01072,0.01066,0.5,77901,831,77486,1744052,22.39
KY,f,1941,54,0.01130,0.01123,0.5,77071,866,76638,1666566,21.62
KY,f,1941,55,0.01255,0.01247,0.5,76205,950,75730,1589928,20.86
KY,f,1941,56,0.01316,0.01307,0.5,75255,984,74763,1514198,20.12
KY,f,1941,57,0.01419,0.01409,0.5,74271,1046,73748,1439436,19.38
