KY: KY, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04720	0.04545	0.19	100000	4545	96297	6612860	66.13
1941-1944	1	0.00635	0.00633	0.5	95455	604	95153	6516564	68.27
1941-1944	2	0.00300	0.00299	0.5	94851	284	94709	6421411	67.70
1941-1944	3	0.00183	0.00183	0.5	94567	173	94480	6326702	66.90
1941-1944	4	0.00151	0.00151	0.5	94394	142	94322	6232222	66.02
1941-1944	5	0.00122	0.00122	0.5	94251	115	94194	6137899	65.12
1941-1944	6	0.00099	0.00099	0.5	94137	93	94090	6043705	64.20
1941-1944	7	0.00082	0.00082	0.5	94044	77	94005	5949615	63.26
1941-1944	8	0.00072	0.00072	0.5	93966	67	93933	5855610	62.32
1941-1944	9	0.00066	0.00066	0.5	93899	62	93868	5761678	61.36
1941-1944	10	0.00066	0.00066	0.5	93837	62	93806	5667810	60.40
1941-1944	11	0.00070	0.00070	0.5	93775	66	93742	5574004	59.44
1941-1944	12	0.00078	0.00078	0.5	93709	73	93672	5480262	58.48
1941-1944	13	0.00091	0.00091	0.5	93636	85	93593	5386589	57.53
1941-1944	14	0.00107	0.00107	0.5	93551	100	93501	5292996	56.58
1941-1944	15	0.00127	0.00127	0.5	93451	119	93392	5199495	55.64
1941-1944	16	0.00146	0.00146	0.5	93332	136	93264	5106103	54.71
1941-1944	17	0.00163	0.00163	0.5	93196	152	93120	5012838	53.79
1941-1944	18	0.00178	0.00178	0.5	93045	166	92962	4919718	52.87
1941-1944	19	0.00192	0.00192	0.5	92879	178	92790	4826756	51.97
1941-1944	20	0.00205	0.00205	0.5	92701	190	92606	4733967	51.07
1941-1944	21	0.00220	0.00220	0.5	92511	203	92409	4641361	50.17
1941-1944	22	0.00234	0.00233	0.5	92307	215	92200	4548952	49.28
1941-1944	23	0.00247	0.00246	0.5	92092	227	91978	4456752	48.39
1941-1944	24	0.00257	0.00257	0.5	91865	236	91747	4364774	47.51
1941-1944	25	0.00261	0.00260	0.5	91629	238	91510	4273027	46.63
1941-1944	26	0.00262	0.00262	0.5	91391	240	91271	4181517	45.75
1941-1944	27	0.00265	0.00264	0.5	91151	241	91031	4090246	44.87
1941-1944	28	0.00269	0.00269	0.5	90910	245	90788	3999215	43.99
1941-1944	29	0.00276	0.00275	0.5	90666	250	90541	3908427	43.11
1941-1944	30	0.00284	0.00283	0.5	90416	256	90288	3817887	42.23
1941-1944	31	0.00292	0.00292	0.5	90160	263	90028	3727599	41.34
1941-1944	32	0.00307	0.00307	0.5	89897	276	89759	3637570	40.46
