KY: KY, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.05217	0.05004	0.19	100000	5004	95922	6314477	63.14
1941-1949	1	0.00518	0.00517	0.5	94996	491	94750	6218555	65.46
1941-1949	2	0.00261	0.00261	0.5	94505	246	94382	6123805	64.80
1941-1949	3	0.00189	0.00189	0.5	94259	178	94170	6029423	63.97
1941-1949	4	0.00130	0.00130	0.5	94081	122	94020	5935253	63.09
1941-1949	5	0.00113	0.00113	0.5	93958	106	93906	5841234	62.17
1941-1949	6	0.00111	0.00111	0.5	93853	104	93801	5747328	61.24
1941-1949	7	0.00109	0.00109	0.5	93749	102	93698	5653527	60.31
1941-1949	8	0.00106	0.00106	0.5	93647	99	93597	5559830	59.37
1941-1949	9	0.00101	0.00101	0.5	93547	95	93500	5466233	58.43
1941-1949	10	0.00097	0.00097	0.5	93453	90	93407	5372733	57.49
1941-1949	11	0.00097	0.00097	0.5	93362	90	93317	5279326	56.55
1941-1949	12	0.00103	0.00103	0.5	93272	96	93224	5186009	55.60
1941-1949	13	0.00114	0.00114	0.5	93176	106	93123	5092785	54.66
1941-1949	14	0.00131	0.00131	0.5	93069	122	93008	4999662	53.72
1941-1949	15	0.00154	0.00154	0.5	92947	143	92876	4906654	52.79
1941-1949	16	0.00176	0.00176	0.5	92804	163	92723	4813778	51.87
1941-1949	17	0.00198	0.00198	0.5	92641	183	92549	4721055	50.96
1941-1949	18	0.00220	0.00219	0.5	92458	203	92356	4628506	50.06
1941-1949	19	0.00239	0.00239	0.5	92255	220	92145	4536150	49.17
1941-1949	20	0.00256	0.00256	0.5	92035	235	91917	4444005	48.29
1941-1949	21	0.00272	0.00272	0.5	91799	250	91675	4352088	47.41
1941-1949	22	0.00286	0.00286	0.5	91550	262	91419	4260413	46.54
1941-1949	23	0.00297	0.00297	0.5	91288	271	91153	4168994	45.67
1941-1949	24	0.00304	0.00304	0.5	91017	277	90879	4077842	44.80
1941-1949	25	0.00309	0.00309	0.5	90741	280	90601	3986963	43.94
1941-1949	26	0.00315	0.00314	0.5	90461	284	90319	3896362	43.07
1941-1949	27	0.00321	0.00321	0.5	90176	289	90032	3806044	42.21
1941-1949	28	0.00330	0.00330	0.5	89887	296	89739	3716012	41.34
1941-1949	29	0.00339	0.00339	0.5	89591	303	89439	3626273	40.48
1941-1949	30	0.00349	0.00348	0.5	89287	311	89132	3536834	39.61
1941-1949	31	0.00359	0.00358	0.5	88976	319	88817	3447702	38.75
1941-1949	32	0.00372	0.00371	0.5	88658	329	88493	3358885	37.89
1941-1949	33	0.00389	0.00388	0.5	88328	343	88157	3270392	37.03
1941-1949	34	0.00408	0.00407	0.5	87986	358	87807	3182235	36.17
1941-1949	35	0.00431	0.00430	0.5	87628	377	87439	3094428	35.31
1941-1949	36	0.00454	0.00453	0.5	87251	395	87054	3006989	34.46
1941-1949	37	0.00479	0.00478	0.5	86856	415	86648	2919935	33.62
1941-1949	38	0.00510	0.00509	0.5	86441	440	86221	2833287	32.78
1941-1949	39	0.00542	0.00540	0.5	86001	465	85769	2747066	31.94
1941-1949	40	0.00571	0.00570	0.5	85537	487	85293	2661297	31.11
1941-1949	41	0.00598	0.00596	0.5	85049	507	84796	2576004	30.29
1941-1949	42	0.00636	0.00634	0.5	84543	536	84275	2491208	29.47
1941-1949	43	0.00683	0.00680	0.5	84007	572	83721	2406934	28.65
1941-1949	44	0.00729	0.00726	0.5	83435	606	83132	2323212	27.84
1941-1949	45	0.00782	0.00779	0.5	82829	645	82506	2240080	27.04
1941-1949	46	0.00835	0.00831	0.5	82184	683	81842	2157574	26.25
1941-1949	47	0.00893	0.00889	0.5	81501	724	81139	2075731	25.47
1941-1949	48	0.00966	0.00962	0.5	80776	777	80388	1994593	24.69
1941-1949	49	0.01054	0.01049	0.5	80000	839	79580	1914205	23.93
1941-1949	50	0.01155	0.01149	0.5	79161	909	78706	1834625	23.18
1941-1949	51	0.01238	0.01230	0.5	78251	962	77770	1755919	22.44
1941-1949	52	0.01320	0.01311	0.5	77289	1014	76782	1678149	21.71
1941-1949	53	0.01409	0.01399	0.5	76275	1067	75742	1601367	20.99
1941-1949	54	0.01496	0.01485	0.5	75208	1117	74650	1525625	20.29
1941-1949	55	0.01594	0.01581	0.5	74092	1172	73506	1450975	19.58
1941-1949	56	0.01691	0.01677	0.5	72920	1223	72308	1377469	18.89
1941-1949	57	0.01795	0.01779	0.5	71697	1276	71059	1305161	18.20
1941-1949	58	0.01912	0.01894	0.5	70421	1334	69754	1234102	17.52
1941-1949	59	0.02029	0.02008	0.5	69088	1388	68394	1164347	16.85
1941-1949	60	0.02154	0.02131	0.5	67700	1443	66979	1095954	16.19
1941-1949	61	0.02290	0.02264	0.5	66257	1500	65507	1028975	15.53
1941-1949	62	0.02470	0.02439	0.5	64757	1580	63967	963468	14.88
1941-1949	63	0.02692	0.02656	0.5	63177	1678	62338	899501	14.24
1941-1949	64	0.02936	0.02893	0.5	61499	1779	60609	837163	13.61
1941-1949	65	0.03234	0.03182	0.5	59720	1900	58769	776554	13.00
1941-1949	66	0.03511	0.03450	0.5	57819	1995	56822	717785	12.41
1941-1949	67	0.03781	0.03710	0.5	55824	2071	54789	660963	11.84
1941-1949	68	0.04113	0.04030	0.5	53753	2166	52670	606174	11.28
1941-1949	69	0.04470	0.04372	0.5	51587	2256	50459	553505	10.73
1941-1949	70	0.04850	0.04735	0.5	49331	2336	48163	503046	10.20
1941-1949	71	0.05202	0.05070	0.5	46995	2383	45804	454882	9.68
1941-1949	72	0.05645	0.05490	0.5	44613	2449	43388	409078	9.17
1941-1949	73	0.06193	0.06007	0.5	42163	2533	40897	365690	8.67
1941-1949	74	0.06762	0.06541	0.5	39631	2592	38334	324793	8.20
1941-1949	75	0.07422	0.07156	0.5	37038	2651	35713	286459	7.73
1941-1949	76	0.08110	0.07794	0.5	34388	2680	33048	250746	7.29
1941-1949	77	0.08877	0.08500	0.5	31708	2695	30360	217698	6.87
1941-1949	78	0.09804	0.09345	0.5	29013	2711	27657	187338	6.46
1941-1949	79	0.10773	0.10223	0.5	26301	2689	24957	159681	6.07
1941-1949	80	0.11946	0.11272	0.5	23613	2662	22282	134724	5.71
1941-1949	81	0.13116	0.12309	0.5	20951	2579	19661	112443	5.37
1941-1949	82	0.14390	0.13424	0.5	18372	2466	17139	92781	5.05
1941-1949	83	0.15771	0.14618	0.5	15906	2325	14743	75642	4.76
1941-1949	84	0.17221	0.15856	0.5	13581	2153	12504	60899	4.48
1941-1949	85	0.18702	0.17103	0.5	11427	1954	10450	48395	4.24
1941-1949	86	0.20308	0.18436	0.5	9473	1746	8600	37945	4.01
1941-1949	87	0.22100	0.19901	0.5	7726	1538	6958	29345	3.80
1941-1949	88	0.24021	0.21445	0.5	6189	1327	5525	22388	3.62
1941-1949	89	0.24223	0.21606	0.5	4862	1050	4336	16862	3.47
1941-1949	90	0.25919	0.22946	0.5	3811	875	3374	12526	3.29
1941-1949	91	0.27691	0.24323	0.5	2937	714	2580	9152	3.12
1941-1949	92	0.29535	0.25735	0.5	2222	572	1936	6572	2.96
1941-1949	93	0.31449	0.27175	0.5	1650	449	1426	4636	2.81
1941-1949	94	0.33427	0.28640	0.5	1202	344	1030	3210	2.67
1941-1949	95	0.35466	0.30124	0.5	858	258	729	2180	2.54
1941-1949	96	0.37559	0.31621	0.5	599	190	505	1451	2.42
1941-1949	97	0.39700	0.33125	0.5	410	136	342	947	2.31
1941-1949	98	0.41881	0.34629	0.5	274	95	227	605	2.21
1941-1949	99	0.44093	0.36128	0.5	179	65	147	378	2.11
1941-1949	100	0.46330	0.37616	0.5	114	43	93	231	2.02
1941-1949	101	0.48582	0.39087	0.5	71	28	57	139	1.94
1941-1949	102	0.50839	0.40535	0.5	43	18	35	81	1.86
1941-1949	103	0.53093	0.41955	0.5	26	11	20	46	1.79
1941-1949	104	0.55334	0.43343	0.5	15	7	12	26	1.73
1941-1949	105	0.57554	0.44693	0.5	9	4	7	14	1.67
1941-1949	106	0.59744	0.46002	0.5	5	2	4	8	1.62
1941-1949	107	0.61895	0.47267	0.5	3	1	2	4	1.57
1941-1949	108	0.64001	0.48486	0.5	1	1	1	2	1.53
1941-1949	109	0.66055	0.49655	0.5	1	0	1	1	1.49
1941-1949	110+	0.68049	1.00000	1.47	0	0	1	1	1.47
1950-1959	0	0.03620	0.03511	0.14	100000	3511	96988	6605885	66.06
1950-1959	1	0.00237	0.00237	0.5	96489	229	96375	6508897	67.46
1950-1959	2	0.00157	0.00157	0.5	96261	151	96185	6412522	66.62
1950-1959	3	0.00109	0.00109	0.5	96109	105	96057	6316337	65.72
1950-1959	4	0.00082	0.00082	0.5	96004	79	95965	6220280	64.79
1950-1959	5	0.00073	0.00073	0.5	95926	70	95891	6124315	63.84
1950-1959	6	0.00068	0.00068	0.5	95856	65	95823	6028424	62.89
1950-1959	7	0.00062	0.00062	0.5	95790	60	95761	5932601	61.93
1950-1959	8	0.00060	0.00060	0.5	95731	57	95702	5836841	60.97
1950-1959	9	0.00056	0.00056	0.5	95673	54	95647	5741139	60.01
1950-1959	10	0.00055	0.00055	0.5	95620	53	95594	5645492	59.04
1950-1959	11	0.00057	0.00057	0.5	95567	54	95540	5549898	58.07
1950-1959	12	0.00063	0.00063	0.5	95513	60	95483	5454358	57.11
1950-1959	13	0.00074	0.00074	0.5	95453	71	95418	5358875	56.14
1950-1959	14	0.00091	0.00091	0.5	95382	87	95339	5263457	55.18
1950-1959	15	0.00120	0.00120	0.5	95295	114	95238	5168119	54.23
1950-1959	16	0.00145	0.00145	0.5	95181	138	95112	5072881	53.30
1950-1959	17	0.00164	0.00164	0.5	95043	156	94965	4977769	52.37
1950-1959	18	0.00177	0.00177	0.5	94888	168	94804	4882803	51.46
1950-1959	19	0.00196	0.00195	0.5	94720	185	94627	4788000	50.55
1950-1959	20	0.00209	0.00209	0.5	94534	198	94436	4693373	49.65
1950-1959	21	0.00215	0.00215	0.5	94337	203	94235	4598937	48.75
1950-1959	22	0.00225	0.00224	0.5	94134	211	94028	4504702	47.85
1950-1959	23	0.00227	0.00226	0.5	93923	213	93816	4410674	46.96
1950-1959	24	0.00229	0.00228	0.5	93710	214	93603	4316857	46.07
1950-1959	25	0.00228	0.00228	0.5	93496	213	93390	4223254	45.17
1950-1959	26	0.00237	0.00237	0.5	93283	221	93173	4129865	44.27
1950-1959	27	0.00233	0.00232	0.5	93062	216	92954	4036692	43.38
1950-1959	28	0.00236	0.00236	0.5	92846	219	92736	3943738	42.48
1950-1959	29	0.00239	0.00238	0.5	92627	221	92517	3851001	41.58
1950-1959	30	0.00241	0.00241	0.5	92406	223	92295	3758485	40.67
1950-1959	31	0.00246	0.00246	0.5	92183	227	92070	3666190	39.77
1950-1959	32	0.00254	0.00254	0.5	91957	234	91840	3574120	38.87
1950-1959	33	0.00274	0.00274	0.5	91723	251	91597	3482280	37.97
1950-1959	34	0.00291	0.00291	0.5	91472	266	91339	3390683	37.07
1950-1959	35	0.00306	0.00306	0.5	91206	279	91067	3299344	36.17
1950-1959	36	0.00320	0.00320	0.5	90927	291	90782	3208277	35.28
1950-1959	37	0.00350	0.00349	0.5	90636	317	90478	3117495	34.40
1950-1959	38	0.00382	0.00381	0.5	90320	344	90148	3027017	33.51
1950-1959	39	0.00417	0.00416	0.5	89975	375	89788	2936870	32.64
1950-1959	40	0.00450	0.00449	0.5	89601	403	89399	2847082	31.78
1950-1959	41	0.00488	0.00487	0.5	89198	435	88981	2757683	30.92
1950-1959	42	0.00526	0.00525	0.5	88763	466	88530	2668702	30.07
1950-1959	43	0.00578	0.00577	0.5	88297	509	88043	2580172	29.22
1950-1959	44	0.00611	0.00609	0.5	87788	535	87521	2492129	28.39
1950-1959	45	0.00671	0.00669	0.5	87253	583	86962	2404608	27.56
1950-1959	46	0.00731	0.00728	0.5	86670	631	86354	2317647	26.74
1950-1959	47	0.00803	0.00800	0.5	86039	688	85695	2231292	25.93
1950-1959	48	0.00877	0.00873	0.5	85350	745	84978	2145598	25.14
1950-1959	49	0.00951	0.00947	0.5	84606	801	84205	2060620	24.36
1950-1959	50	0.01017	0.01012	0.5	83804	848	83380	1976415	23.58
1950-1959	51	0.01126	0.01120	0.5	82956	929	82492	1893034	22.82
