PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,m,1941-1944,0,0.05884,0.05620,0.2,100000,5620,95520,6188536,61.89
KY,m,1941-1944,1,0.00703,0.00701,0.5,94380,662,94049,6093015,64.56
KY,m,1941-1944,2,0.00350,0.00349,0.5,93718,327,93555,5998966,64.01
KY,m,1941-1944,3,0.00231,0.00231,0.5,93391,216,93283,5905411,63.23
KY,m,1941-1944,4,0.00159,0.00159,0.5,93175,148,93101,5812128,62.38
KY,m,1941-1944,5,0.00134,0.00134,0.5,93027,125,92965,5719027,61.48
KY,m,1941-1944,6,0.00128,0.00127,0.5,92902,118,92843,5626062,60.56
KY,m,1941-1944,7,0.00123,0.00123,0.5,92784,114,92727,5533219,59.64
KY,m,1941-1944,8,0.00118,0.00118,0.5,92670,109,92615,5440493,58.71
KY,m,1941-1944,9,0.00113,0.00112,0.5,92560,104,92508,5347877,57.78
KY,m,1941-1944,10,0.00108,0.00108,0.5,92456,100,92406,5255369,56.84
KY,m,1941-1944,11,0.00108,0.00108,0.5,92356,100,92306,5162963,55.90
KY,m,1941-1944,12,0.00116,0.00116,0.5,92256,107,92203,5070656,54.96
KY,m,1941-1944,13,0.00129,0.00129,0.5,92150,119,92090,4978453,54.03
KY,m,1941-1944,14,0.00149,0.00149,0.5,92030,137,91962,4886363,53.10
KY,m,1941-1944,15,0.00173,0.00172,0.5,91894,158,91814,4794401,52.17
KY,m,1941-1944,16,0.00195,0.00195,0.5,91735,179,91646,4702587,51.26
KY,m,1941-1944,17,0.00215,0.00215,0.5,91557,196,91459,4610941,50.36
KY,m,1941-1944,18,0.00233,0.00233,0.5,91360,213,91254,4519482,49.47
KY,m,1941-1944,19,0.00248,0.00247,0.5,91148,225,91035,4428228,48.58
KY,m,1941-1944,20,0.00262,0.00262,0.5,90922,238,90803,4337193,47.70
KY,m,1941-1944,21,0.00280,0.00280,0.5,90684,254,90557,4246390,46.83
KY,m,1941-1944,22,0.00297,0.00297,0.5,90430,268,90296,4155833,45.96
KY,m,1941-1944,23,0.00315,0.00314,0.5,90162,283,90020,4065537,45.09
KY,m,1941-1944,24,0.00330,0.00329,0.5,89878,296,89730,3975517,44.23
KY,m,1941-1944,25,0.00338,0.00338,0.5,89583,302,89431,3885787,43.38
KY,m,1941-1944,26,0.00346,0.00346,0.5,89280,308,89126,3796355,42.52
KY,m,1941-1944,27,0.00355,0.00354,0.5,88972,315,88814,3707230,41.67
KY,m,1941-1944,28,0.00365,0.00364,0.5,88656,323,88495,3618415,40.81
KY,m,1941-1944,29,0.00375,0.00375,0.5,88334,331,88168,3529920,39.96
KY,m,1941-1944,30,0.00387,0.00386,0.5,88003,340,87833,3441752,39.11
KY,m,1941-1944,31,0.00398,0.00397,0.5,87663,348,87489,3353919,38.26
KY,m,1941-1944,32,0.00415,0.00414,0.5,87315,362,87134,3266430,37.41
KY,m,1941-1944,33,0.00438,0.00437,0.5,86953,380,86763,3179296,36.56
KY,m,1941-1944,34,0.00463,0.00462,0.5,86573,400,86373,3092532,35.72
KY,m,1941-1944,35,0.00491,0.00489,0.5,86173,422,85962,3006159,34.89
KY,m,1941-1944,36,0.00509,0.00507,0.5,85751,435,85534,2920197,34.05
KY,m,1941-1944,37,0.00530,0.00529,0.5,85316,451,85091,2834663,33.23
KY,m,1941-1944,38,0.00561,0.00559,0.5,84865,475,84628,2749572,32.40
KY,m,1941-1944,39,0.00585,0.00583,0.5,84391,492,84145,2664944,31.58
KY,m,1941-1944,40,0.00602,0.00601,0.5,83898,504,83646,2580799,30.76
KY,m,1941-1944,41,0.00616,0.00614,0.5,83394,512,83138,2497153,29.94
KY,m,1941-1944,42,0.00648,0.00646,0.5,82882,535,82615,2414015,29.13
KY,m,1941-1944,43,0.00698,0.00695,0.5,82347,573,82061,2331400,28.31
KY,m,1941-1944,44,0.00765,0.00762,0.5,81775,623,81463,2249339,27.51
KY,m,1941-1944,45,0.00854,0.00850,0.5,81151,690,80806,2167876,26.71
KY,m,1941-1944,46,0.00907,0.00903,0.5,80461,727,80098,2087069,25.94
KY,m,1941-1944,47,0.00955,0.00951,0.5,79735,758,79355,2006971,25.17
KY,m,1941-1944,48,0.01023,0.01018,0.5,78976,804,78574,1927616,24.41
KY,m,1941-1944,49,0.01086,0.01080,0.5,78172,844,77750,1849041,23.65
KY,m,1941-1944,50,0.01164,0.01158,0.5,77328,895,76881,1771291,22.91
KY,m,1941-1944,51,0.01235,0.01227,0.5,76433,938,75964,1694411,22.17
KY,m,1941-1944,52,0.01322,0.01313,0.5,75495,991,74999,1618447,21.44
KY,m,1941-1944,53,0.01424,0.01414,0.5,74504,1053,73977,1543447,20.72
KY,m,1941-1944,54,0.01522,0.01510,0.5,73451,1109,72896,1469470,20.01
KY,m,1941-1944,55,0.01642,0.01629,0.5,72341,1178,71752,1396574,19.31
KY,m,1941-1944,56,0.01734,0.01719,0.5,71163,1223,70551,1324822,18.62
KY,m,1941-1944,57,0.01820,0.01804,0.5,69940,1261,69309,1254271,17.93
KY,m,1941-1944,58,0.01944,0.01925,0.5,68678,1322,68017,1184962,17.25
KY,m,1941-1944,59,0.02069,0.02047,0.5,67356,1379,66667,1116945,16.58
KY,m,1941-1944,60,0.02221,0.02197,0.5,65977,1450,65252,1050278,15.92
KY,m,1941-1944,61,0.02390,0.02362,0.5,64527,1524,63765,985026,15.27
KY,m,1941-1944,62,0.02603,0.02570,0.5,63003,1619,62194,921261,14.62
KY,m,1941-1944,63,0.02879,0.02838,0.5,61384,1742,60513,859067,13.99
KY,m,1941-1944,64,0.03144,0.03095,0.5,59642,1846,58719,798554,13.39
KY,m,1941-1944,65,0.03385,0.03328,0.5,57796,1924,56834,739835,12.80
KY,m,1941-1944,66,0.03496,0.03436,0.5,55872,1920,54912,683001,12.22
KY,m,1941-1944,67,0.03682,0.03616,0.5,53952,1951,52977,628089,11.64
KY,m,1941-1944,68,0.04027,0.03947,0.5,52002,2053,50975,575112,11.06
KY,m,1941-1944,69,0.04444,0.04348,0.5,49949,2172,48863,524136,10.49
KY,m,1941-1944,70,0.04990,0.04869,0.5,47777,2326,46614,475273,9.95
KY,m,1941-1944,71,0.05466,0.05320,0.5,45451,2418,44242,428659,9.43
KY,m,1941-1944,72,0.05996,0.05821,0.5,43033,2505,41780,384416,8.93
KY,m,1941-1944,73,0.06598,0.06387,0.5,40528,2589,39234,342636,8.45
KY,m,1941-1944,74,0.07139,0.06893,0.5,37939,2615,36632,303402,8.00
KY,m,1941-1944,75,0.07787,0.07495,0.5,35324,2647,34000,266771,7.55
KY,m,1941-1944,76,0.08313,0.07981,0.5,32677,2608,31373,232771,7.12
KY,m,1941-1944,77,0.08892,0.08514,0.5,30069,2560,28789,201398,6.70
KY,m,1941-1944,78,0.09885,0.09419,0.5,27509,2591,26213,172609,6.27
KY,m,1941-1944,79,0.11048,0.10470,0.5,24917,2609,23613,146396,5.88
KY,m,1941-1944,80,0.12470,0.11738,0.5,22309,2619,20999,122783,5.50
KY,m,1941-1944,81,0.13814,0.12922,0.5,19690,2544,18418,101784,5.17
KY,m,1941-1944,82,0.15236,0.14158,0.5,17146,2427,15932,83366,4.86
KY,m,1941-1944,83,0.16735,0.15443,0.5,14718,2273,13582,67434,4.58
KY,m,1941-1944,84,0.18238,0.16713,0.5,12445,2080,11405,53852,4.33
KY,m,1941-1944,85,0.19704,0.17937,0.5,10365,1859,9436,42447,4.10
KY,m,1941-1944,86,0.21325,0.19270,0.5,8506,1639,7687,33011,3.88
KY,m,1941-1944,87,0.23132,0.20734,0.5,6867,1424,6155,25324,3.69
KY,m,1941-1944,88,0.25058,0.22268,0.5,5443,1212,4837,19169,3.52
KY,m,1941-1944,89,0.25059,0.22269,0.5,4231,942,3760,14332,3.39
KY,m,1941-1944,90,0.26747,0.23592,0.5,3289,776,2901,10572,3.21
KY,m,1941-1944,91,0.28505,0.24949,0.5,2513,627,2199,7671,3.05
KY,m,1941-1944,92,0.30331,0.26337,0.5,1886,497,1638,5472,2.90
KY,m,1941-1944,93,0.32221,0.27750,0.5,1389,386,1197,3834,2.76
KY,m,1941-1944,94,0.34171,0.29185,0.5,1004,293,857,2638,2.63
KY,m,1941-1944,95,0.36177,0.30635,0.5,711,218,602,1780,2.50
KY,m,1941-1944,96,0.38231,0.32096,0.5,493,158,414,1178,2.39
KY,m,1941-1944,97,0.40329,0.33561,0.5,335,112,279,765,2.28
KY,m,1941-1944,98,0.42462,0.35026,0.5,222,78,183,486,2.18
KY,m,1941-1944,99,0.44624,0.36484,0.5,145,53,118,302,2.09
KY,m,1941-1944,100,0.46807,0.37930,0.5,92,35,74,184,2.01
KY,m,1941-1944,101,0.49001,0.39358,0.5,57,22,46,110,1.93
KY,m,1941-1944,102,0.51200,0.40764,0.5,35,14,28,64,1.85
