LA: LA, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05228	0.05016	0.19	100000	5016	95952	6254322	62.54
1941-1944	1-4	0.00300	0.01191	1.5	94984	1131	377108	6158370	64.84
1941-1944	5-9	0.00099	0.00495	2.33	93853	465	468022	5781262	61.60
1941-1944	10-14	0.00112	0.00558	2.69	93388	521	465734	5313240	56.89
1941-1944	15-19	0.00191	0.00950	2.72	92867	883	462323	4847506	52.20
1941-1944	20-24	0.00296	0.01467	2.6	91984	1350	456679	4385184	47.67
1941-1944	25-29	0.00322	0.01596	2.5	90635	1447	449563	3928504	43.34
1941-1944	30-34	0.00376	0.01861	2.61	89188	1660	441976	3478941	39.01
1941-1944	35-39	0.00528	0.02606	2.62	87528	2281	432209	3036965	34.70
1941-1944	40-44	0.00714	0.03510	2.63	85247	2992	419131	2604756	30.56
1941-1944	45-49	0.01075	0.05243	2.63	82255	4312	401038	2185625	26.57
1941-1944	50-54	0.01577	0.07599	2.62	77943	5923	375614	1784588	22.90
1941-1944	55-59	0.02071	0.09850	2.52	72020	7094	342511	1408974	19.56
1941-1944	60-64	0.02850	0.13352	2.64	64925	8669	304191	1066463	16.43
1941-1944	65-69	0.04075	0.18479	2.48	56257	10395	255121	762273	13.55
1941-1944	70-74	0.05626	0.24721	2.55	45861	11337	201508	507152	11.06
1941-1944	75-79	0.08047	0.33409	2.46	34524	11534	143330	305644	8.85
1941-1944	80-84	0.11543	0.44385	2.4	22990	10204	88399	162314	7.06
1941-1944	85-89	0.15077	0.53517	2.29	12786	6843	45385	73915	5.78
1941-1944	90-94	0.18887	0.61840	2.21	5943	3675	19459	28530	4.80
1941-1944	95-99	0.23375	0.69808	2.12	2268	1583	6773	9070	4.00
1941-1944	100-104	0.28536	0.76988	2.01	685	527	1847	2297	3.36
1941-1944	105-109	0.34312	0.83065	1.9	158	131	381	450	2.86
1941-1944	110+	0.38966	1.00000	2.57	27	27	68	68	2.57
1945-1949	0	0.04048	0.03915	0.16	100000	3915	96714	6571139	65.71
1945-1949	1-4	0.00199	0.00791	1.55	96085	760	382477	6474425	67.38
1945-1949	5-9	0.00079	0.00394	2.21	95325	376	475579	6091948	63.91
1945-1949	10-14	0.00079	0.00394	2.74	94949	374	473901	5616369	59.15
1945-1949	15-19	0.00144	0.00720	2.68	94575	681	471298	5142468	54.37
1945-1949	20-24	0.00198	0.00987	2.57	93894	927	467217	4671171	49.75
1945-1949	25-29	0.00225	0.01120	2.54	92967	1041	462275	4203954	45.22
1945-1949	30-34	0.00266	0.01323	2.61	91926	1217	456725	3741679	40.70
1945-1949	35-39	0.00400	0.01983	2.66	90709	1799	449331	3284953	36.21
1945-1949	40-44	0.00573	0.02828	2.63	88910	2514	438589	2835623	31.89
1945-1949	45-49	0.00850	0.04168	2.68	86396	3601	423631	2397034	27.74
1945-1949	50-54	0.01361	0.06590	2.61	82795	5456	400951	1973402	23.83
1945-1949	55-59	0.01928	0.09214	2.61	77339	7126	369664	1572451	20.33
1945-1949	60-64	0.02459	0.11594	2.53	70213	8140	330980	1202787	17.13
1945-1949	65-69	0.03783	0.17361	2.63	62072	10776	284851	871808	14.05
1945-1949	70-74	0.05108	0.22656	2.51	51296	11621	227524	586956	11.44
1945-1949	75-79	0.07743	0.32472	2.52	39675	12883	166379	359432	9.06
1945-1949	80-84	0.11007	0.42829	2.41	26792	11474	104247	193052	7.21
1945-1949	85-89	0.14720	0.52741	2.31	15317	8078	54880	88806	5.80
1945-1949	90-94	0.19167	0.62502	2.22	7239	4524	23606	33926	4.69
