LA: LA, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03954	0.03827	0.16	100000	3827	96799	6700967	67.01
1941-1949	1	0.00379	0.00379	0.5	96173	364	95991	6604168	68.67
1941-1949	2	0.00218	0.00217	0.5	95809	208	95705	6508177	67.93
1941-1949	3	0.00161	0.00161	0.5	95600	154	95524	6412472	67.08
1941-1949	4	0.00125	0.00125	0.5	95447	119	95387	6316949	66.18
1941-1949	5	0.00101	0.00101	0.5	95328	96	95280	6221562	65.27
1941-1949	6	0.00084	0.00084	0.5	95232	80	95192	6126282	64.33
1941-1949	7	0.00072	0.00072	0.5	95151	69	95117	6031090	63.38
1941-1949	8	0.00064	0.00064	0.5	95083	61	95052	5935973	62.43
1941-1949	9	0.00061	0.00061	0.5	95022	58	94993	5840921	61.47
1941-1949	10	0.00062	0.00062	0.5	94964	59	94934	5745929	60.51
1941-1949	11	0.00066	0.00066	0.5	94905	63	94873	5650994	59.54
1941-1949	12	0.00073	0.00073	0.5	94842	69	94808	5556121	58.58
1941-1949	13	0.00082	0.00081	0.5	94773	77	94735	5461313	57.63
1941-1949	14	0.00092	0.00092	0.5	94696	87	94652	5366579	56.67
1941-1949	15	0.00105	0.00105	0.5	94609	99	94559	5271926	55.72
1941-1949	16	0.00118	0.00118	0.5	94509	112	94454	5177367	54.78
1941-1949	17	0.00132	0.00132	0.5	94398	124	94336	5082914	53.85
1941-1949	18	0.00146	0.00146	0.5	94273	138	94205	4988578	52.92
1941-1949	19	0.00161	0.00161	0.5	94136	151	94060	4894373	51.99
1941-1949	20	0.00176	0.00176	0.5	93984	165	93902	4800313	51.08
1941-1949	21	0.00189	0.00189	0.5	93819	177	93730	4706412	50.16
1941-1949	22	0.00199	0.00199	0.5	93642	186	93549	4612681	49.26
1941-1949	23	0.00208	0.00208	0.5	93455	194	93358	4519133	48.36
1941-1949	24	0.00213	0.00213	0.5	93261	199	93162	4425774	47.46
1941-1949	25	0.00217	0.00217	0.5	93063	202	92962	4332612	46.56
1941-1949	26	0.00221	0.00221	0.5	92861	205	92758	4239650	45.66
1941-1949	27	0.00227	0.00226	0.5	92656	210	92551	4146892	44.76
1941-1949	28	0.00235	0.00235	0.5	92446	217	92338	4054341	43.86
1941-1949	29	0.00245	0.00244	0.5	92229	225	92117	3962003	42.96
1941-1949	30	0.00256	0.00256	0.5	92004	235	91886	3869887	42.06
1941-1949	31	0.00268	0.00267	0.5	91769	245	91646	3778000	41.17
1941-1949	32	0.00283	0.00282	0.5	91523	258	91394	3686354	40.28
1941-1949	33	0.00302	0.00301	0.5	91265	275	91127	3594960	39.39
1941-1949	34	0.00322	0.00321	0.5	90990	292	90844	3503833	38.51
1941-1949	35	0.00347	0.00346	0.5	90698	314	90541	3412989	37.63
1941-1949	36	0.00371	0.00370	0.5	90384	334	90217	3322448	36.76
1941-1949	37	0.00397	0.00396	0.5	90050	356	89872	3232231	35.89
1941-1949	38	0.00429	0.00428	0.5	89693	384	89502	3142359	35.03
1941-1949	39	0.00462	0.00461	0.5	89310	411	89104	3052858	34.18
1941-1949	40	0.00493	0.00491	0.5	88898	437	88680	2963754	33.34
1941-1949	41	0.00518	0.00517	0.5	88461	457	88233	2875074	32.50
1941-1949	42	0.00554	0.00552	0.5	88004	486	87761	2786841	31.67
