PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,f,1941,0,0.05638,0.05398,0.21,100000,5398,95740,6376175,63.76
LA,f,1941,1-4,0.00302,0.01198,1.35,94602,1133,375404,6280434,66.39
LA,f,1941,5-9,0.00092,0.00459,2.23,93469,429,466157,5905030,63.18
LA,f,1941,10-14,0.00090,0.00449,2.72,93040,417,464248,5438873,58.46
LA,f,1941,15-19,0.00173,0.00863,2.71,92622,799,461280,4974625,53.71
LA,f,1941,20-24,0.00256,0.01273,2.61,91823,1169,456321,4513345,49.15
LA,f,1941,25-29,0.00294,0.01461,2.56,90654,1324,450037,4057025,44.75
LA,f,1941,30-34,0.00391,0.01935,2.64,89330,1729,442569,3606988,40.38
LA,f,1941,35-39,0.00501,0.02476,2.59,87601,2169,432772,3164418,36.12
LA,f,1941,40-44,0.00687,0.03382,2.71,85432,2889,420560,2731646,31.97
LA,f,1941,45-49,0.00971,0.04744,2.59,82543,3916,403285,2311086,28.00
LA,f,1941,50-54,0.01352,0.06551,2.67,78627,5151,381122,1907802,24.26
LA,f,1941,55-59,0.01681,0.08072,2.55,73476,5931,352833,1526680,20.78
LA,f,1941,60-64,0.02431,0.11519,2.73,67545,7781,320061,1173847,17.38
LA,f,1941,65-69,0.03450,0.15928,2.59,59765,9519,275904,853786,14.29
LA,f,1941,70-74,0.05056,0.22566,2.62,50245,11338,224263,577882,11.50
LA,f,1941,75-79,0.07955,0.33315,2.56,38907,12962,162945,353619,9.09
LA,f,1941,80-84,0.10870,0.42484,2.43,25945,11023,101401,190674,7.35
LA,f,1941,85-89,0.14442,0.51971,2.3,14922,7755,53701,89273,5.98
LA,f,1941,90-94,0.18143,0.60339,2.23,7167,4325,23836,35572,4.96
LA,f,1941,95-99,0.22530,0.68446,2.13,2843,1946,8635,11736,4.13
LA,f,1941,100-104,0.27607,0.75835,2.03,897,680,2464,3100,3.46
LA,f,1941,105-109,0.33324,0.82155,1.91,217,178,534,636,2.94
LA,f,1941,110+,0.37930,1.00000,2.64,39,39,102,102,2.64
LA,f,1942,0,0.04508,0.04347,0.18,100000,4347,96432,6543898,65.44
LA,f,1942,1-4,0.00261,0.01038,1.56,95653,993,380186,6447466,67.40
LA,f,1942,5-9,0.00079,0.00394,2.52,94660,373,472376,6067280,64.10
LA,f,1942,10-14,0.00092,0.00457,2.65,94287,431,470423,5594904,59.34
LA,f,1942,15-19,0.00155,0.00770,2.76,93857,723,467661,5124481,54.60
LA,f,1942,20-24,0.00251,0.01249,2.63,93134,1163,462910,4656820,50.00
LA,f,1942,25-29,0.00282,0.01400,2.53,91971,1288,456667,4193910,45.60
LA,f,1942,30-34,0.00344,0.01707,2.63,90683,1548,449749,3737243,41.21
LA,f,1942,35-39,0.00462,0.02286,2.64,89135,2038,440865,3287494,36.88
LA,f,1942,40-44,0.00655,0.03224,2.69,87097,2808,429010,2846630,32.68
LA,f,1942,45-49,0.00928,0.04539,2.62,84289,3826,412335,2417619,28.68
LA,f,1942,50-54,0.01286,0.06242,2.65,80463,5023,390536,2005284,24.92
LA,f,1942,55-59,0.01599,0.07694,2.56,75441,5804,363016,1614748,21.40
LA,f,1942,60-64,0.02415,0.11443,2.72,69636,7968,329977,1251732,17.98
LA,f,1942,65-69,0.03173,0.14695,2.49,61668,9062,285612,921755,14.95
LA,f,1942,70-74,0.04412,0.19996,2.66,52606,10519,238396,636143,12.09
LA,f,1942,75-79,0.07376,0.31346,2.61,42087,13193,178863,397747,9.45
LA,f,1942,80-84,0.10472,0.41303,2.44,28894,11934,113958,218884,7.58
LA,f,1942,85-89,0.13849,0.50482,2.32,16960,8562,61823,104926,6.19
LA,f,1942,90-94,0.17429,0.58843,2.24,8398,4942,28354,43103,5.13
LA,f,1942,95-99,0.21689,0.67027,2.15,3456,2317,10682,14750,4.27
LA,f,1942,100-104,0.26642,0.74573,2.05,1140,850,3190,4068,3.57
LA,f,1942,105-109,0.32247,0.81101,1.94,290,235,729,878,3.03
LA,f,1942,110+,0.36757,1.00000,2.72,55,55,149,149,2.72
LA,f,1943,0,0.04379,0.04226,0.18,100000,4226,96516,6513361,65.13
LA,f,1943,1-4,0.00290,0.01152,1.56,95774,1104,380398,6416845,67.00
LA,f,1943,5-9,0.00083,0.00416,2.41,94670,394,472330,6036447,63.76
LA,f,1943,10-14,0.00114,0.00570,2.68,94276,537,470132,5564117,59.02
LA,f,1943,15-19,0.00161,0.00801,2.62,93739,751,466910,5093986,54.34
LA,f,1943,20-24,0.00217,0.01079,2.62,92988,1003,462550,4627075,49.76
LA,f,1943,25-29,0.00283,0.01406,2.54,91985,1293,456738,4164525,45.27
LA,f,1943,30-34,0.00320,0.01587,2.59,90691,1439,449990,3707787,40.88
LA,f,1943,35-39,0.00461,0.02282,2.62,89252,2037,441415,3257797,36.50
LA,f,1943,40-44,0.00619,0.03047,2.58,87215,2658,429651,2816382,32.29
LA,f,1943,45-49,0.00907,0.04439,2.61,84558,3754,413829,2386731,28.23
LA,f,1943,50-54,0.01327,0.06428,2.6,80804,5194,391564,1972901,24.42
LA,f,1943,55-59,0.01758,0.08418,2.48,75610,6365,362034,1581337,20.91
LA,f,1943,60-64,0.02350,0.11125,2.61,69245,7704,327836,1219303,17.61
LA,f,1943,65-69,0.03415,0.15702,2.44,61541,9663,282925,891467,14.49
LA,f,1943,70-74,0.05015,0.22328,2.55,51878,11584,230966,608542,11.73
LA,f,1943,75-79,0.07264,0.30558,2.4,40294,12313,169498,377576,9.37
LA,f,1943,80-84,0.10686,0.41885,2.42,27981,11720,109673,208079,7.44
LA,f,1943,85-89,0.14240,0.51468,2.31,16261,8369,58774,98406,6.05
LA,f,1943,90-94,0.17893,0.59821,2.23,7892,4721,26384,39632,5.02
LA,f,1943,95-99,0.22228,0.67941,2.14,3171,2154,9692,13247,4.18
LA,f,1943,100-104,0.27251,0.75375,2.04,1017,766,2812,3555,3.50
LA,f,1943,105-109,0.32917,0.81762,1.92,250,205,622,744,2.97
LA,f,1943,110+,0.37479,1.00000,2.67,46,46,122,122,2.67
LA,f,1944,0,0.04102,0.03967,0.17,100000,3967,96699,6580772,65.81
LA,f,1944,1-4,0.00268,0.01066,1.63,96033,1024,381709,6484073,67.52
LA,f,1944,5-9,0.00093,0.00462,2.14,95009,439,473790,6102365,64.23
LA,f,1944,10-14,0.00084,0.00420,2.64,94570,397,471909,5628575,59.52
LA,f,1944,15-19,0.00140,0.00695,2.76,94172,655,469395,5156666,54.76
LA,f,1944,20-24,0.00235,0.01170,2.57,93517,1095,464921,4687270,50.12
LA,f,1944,25-29,0.00253,0.01256,2.55,92423,1161,459269,4222349,45.69
LA,f,1944,30-34,0.00334,0.01655,2.59,91262,1510,452665,3763079,41.23
LA,f,1944,35-39,0.00465,0.02300,2.62,89752,2064,443837,3310414,36.88
LA,f,1944,40-44,0.00614,0.03022,2.49,87687,2650,431785,2866577,32.69
LA,f,1944,45-49,0.00827,0.04053,2.63,85037,3447,417017,2434792,28.63
LA,f,1944,50-54,0.01283,0.06218,2.56,81591,5073,395572,2017775,24.73
LA,f,1944,55-59,0.01661,0.07971,2.5,76517,6099,367323,1622203,21.20
LA,f,1944,60-64,0.02200,0.10456,2.63,70418,7363,334644,1254880,17.82
LA,f,1944,65-69,0.03680,0.16841,2.48,63055,10619,288540,920236,14.59
LA,f,1944,70-74,0.04791,0.21393,2.5,52436,11218,234117,631696,12.05
LA,f,1944,75-79,0.06525,0.27930,2.42,41218,11512,176445,397579,9.65
LA,f,1944,80-84,0.10690,0.41904,2.42,29706,12448,116449,221134,7.44
LA,f,1944,85-89,0.14082,0.51102,2.32,17258,8819,62627,104685,6.07
LA,f,1944,90-94,0.17953,0.59984,2.23,8439,5062,28195,42058,4.98
LA,f,1944,95-99,0.22593,0.68594,2.14,3377,2316,10252,13862,4.11
LA,f,1944,100-104,0.28007,0.76388,2.02,1061,810,2893,3610,3.40
LA,f,1944,105-109,0.34133,0.82955,1.9,250,208,609,718,2.87
LA,f,1944,110+,0.39102,1.00000,2.56,43,43,109,109,2.56
LA,f,1945,0,0.03724,0.03611,0.16,100000,3611,96957,6754672,67.55
LA,f,1945,1-4,0.00202,0.00806,1.51,96389,777,383620,6657715,69.07
LA,f,1945,5-9,0.00089,0.00442,2.21,95612,422,476883,6274096,65.62
LA,f,1945,10-14,0.00073,0.00366,2.73,95190,348,475158,5797213,60.90
LA,f,1945,15-19,0.00146,0.00727,2.65,94842,689,472592,5322055,56.12
LA,f,1945,20-24,0.00177,0.00882,2.54,94153,830,468721,4849463,51.51
LA,f,1945,25-29,0.00222,0.01102,2.61,93322,1028,464156,4380741,46.94
LA,f,1945,30-34,0.00289,0.01435,2.64,92294,1325,458345,3916586,42.44
LA,f,1945,35-39,0.00450,0.02224,2.62,90969,2023,450031,3458241,38.02
LA,f,1945,40-44,0.00519,0.02565,2.55,88946,2281,439152,3008210,33.82
LA,f,1945,45-49,0.00813,0.03990,2.69,86665,3458,425341,2569057,29.64
LA,f,1945,50-54,0.01074,0.05234,2.58,83207,4355,405507,2143716,25.76
LA,f,1945,55-59,0.01595,0.07683,2.61,78853,6058,379766,1738209,22.04
