LA: LA, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.07057	0.06695	0.23	100000	6695	94874	5891327	58.91
1941	1	0.00676	0.00674	0.5	93305	629	92990	5796453	62.12
1941	2	0.00389	0.00388	0.5	92676	360	92496	5703463	61.54
1941	3	0.00203	0.00203	0.5	92316	187	92223	5610966	60.78
1941	4	0.00163	0.00162	0.5	92129	150	92054	5518744	59.90
1941	5	0.00133	0.00133	0.5	91980	122	91918	5426689	59.00
1941	6	0.00106	0.00106	0.5	91857	97	91809	5334771	58.08
1941	7	0.00089	0.00089	0.5	91760	82	91719	5242963	57.14
1941	8	0.00082	0.00082	0.5	91678	75	91641	5151243	56.19
1941	9	0.00082	0.00082	0.5	91603	75	91566	5059603	55.23
1941	10	0.00094	0.00094	0.5	91528	86	91485	4968037	54.28
1941	11	0.00108	0.00108	0.5	91442	99	91393	4876552	53.33
1941	12	0.00123	0.00123	0.5	91344	112	91288	4785159	52.39
1941	13	0.00135	0.00135	0.5	91232	123	91170	4693871	51.45
1941	14	0.00149	0.00149	0.5	91108	135	91041	4602701	50.52
1941	15	0.00171	0.00171	0.5	90973	156	90895	4511660	49.59
1941	16	0.00198	0.00198	0.5	90817	179	90727	4420765	48.68
1941	17	0.00222	0.00222	0.5	90638	201	90537	4330038	47.77
1941	18	0.00245	0.00245	0.5	90437	222	90326	4239501	46.88
1941	19	0.00269	0.00268	0.5	90215	242	90094	4149175	45.99
1941	20	0.00309	0.00309	0.5	89973	278	89834	4059081	45.11
1941	21	0.00351	0.00350	0.5	89695	314	89538	3969247	44.25
1941	22	0.00371	0.00370	0.5	89381	331	89216	3879708	43.41
1941	23	0.00395	0.00394	0.5	89050	351	88875	3790492	42.57
1941	24	0.00412	0.00411	0.5	88699	364	88517	3701617	41.73
1941	25	0.00412	0.00411	0.5	88335	363	88153	3613100	40.90
1941	26	0.00404	0.00403	0.5	87972	354	87795	3524947	40.07
1941	27	0.00405	0.00404	0.5	87618	354	87441	3437152	39.23
1941	28	0.00404	0.00403	0.5	87264	352	87088	3349711	38.39
1941	29	0.00394	0.00394	0.5	86912	342	86741	3262624	37.54
1941	30	0.00392	0.00391	0.5	86570	338	86400	3175883	36.69
1941	31	0.00393	0.00393	0.5	86231	339	86062	3089482	35.83
1941	32	0.00442	0.00441	0.5	85893	379	85703	3003421	34.97
1941	33	0.00486	0.00484	0.5	85514	414	85307	2917717	34.12
1941	34	0.00510	0.00509	0.5	85100	433	84883	2832410	33.28
1941	35	0.00563	0.00562	0.5	84667	476	84429	2747527	32.45
1941	36	0.00572	0.00571	0.5	84191	481	83951	2663099	31.63
1941	37	0.00622	0.00620	0.5	83710	519	83451	2579148	30.81
1941	38	0.00698	0.00695	0.5	83192	578	82903	2495697	30.00
1941	39	0.00690	0.00688	0.5	82613	568	82329	2412794	29.21
1941	40	0.00656	0.00654	0.5	82045	537	81777	2330465	28.40
1941	41	0.00663	0.00661	0.5	81509	538	81239	2248688	27.59
1941	42	0.00821	0.00817	0.5	80970	662	80639	2167449	26.77
1941	43	0.00941	0.00937	0.5	80308	752	79932	2086810	25.98
1941	44	0.00998	0.00993	0.5	79556	790	79161	2006877	25.23
1941	45	0.01145	0.01138	0.5	78766	896	78318	1927717	24.47
1941	46	0.01152	0.01145	0.5	77869	892	77423	1849399	23.75
1941	47	0.01299	0.01290	0.5	76977	993	76481	1771976	23.02
1941	48	0.01476	0.01465	0.5	75984	1113	75428	1695495	22.31
1941	49	0.01476	0.01465	0.5	74871	1097	74323	1620067	21.64
1941	50	0.01522	0.01510	0.5	73774	1114	73217	1545744	20.95
1941	51	0.01595	0.01583	0.5	72660	1150	72085	1472527	20.27
1941	52	0.01886	0.01868	0.5	71510	1336	70842	1400442	19.58
1941	53	0.02116	0.02094	0.5	70174	1469	69439	1329600	18.95
1941	54	0.02194	0.02170	0.5	68705	1491	67959	1260161	18.34
1941	55	0.02337	0.02310	0.5	67213	1553	66437	1192202	17.74
1941	56	0.02326	0.02300	0.5	65661	1510	64906	1125765	17.15
1941	57	0.02494	0.02463	0.5	64151	1580	63361	1060859	16.54
1941	58	0.02767	0.02730	0.5	62571	1708	61717	997498	15.94
1941	59	0.02795	0.02756	0.5	60863	1678	60024	935782	15.38
1941	60	0.02819	0.02780	0.5	59185	1645	58363	875758	14.80
1941	61	0.02866	0.02825	0.5	57540	1626	56727	817395	14.21
1941	62	0.03462	0.03403	0.5	55914	1903	54963	760668	13.60
1941	63	0.04198	0.04112	0.5	54011	2221	52901	705705	13.07
1941	64	0.04273	0.04184	0.5	51791	2167	50707	652804	12.60
1941	65	0.04478	0.04380	0.5	49624	2174	48537	602097	12.13
1941	66	0.04194	0.04108	0.5	47450	1949	46475	553560	11.67
1941	67	0.04578	0.04475	0.5	45501	2036	44483	507085	11.14
1941	68	0.05371	0.05230	0.5	43465	2273	42328	462602	10.64
1941	69	0.05515	0.05367	0.5	41191	2211	40086	420275	10.20
1941	70	0.05698	0.05540	0.5	38981	2160	37901	380189	9.75
1941	71	0.05814	0.05650	0.5	36821	2080	35781	342288	9.30
1941	72	0.06845	0.06619	0.5	34741	2299	33591	306507	8.82
1941	73	0.07763	0.07473	0.5	32441	2424	31229	272916	8.41
1941	74	0.07865	0.07568	0.5	30017	2272	28881	241687	8.05
1941	75	0.08683	0.08322	0.5	27745	2309	26591	212806	7.67
1941	76	0.08880	0.08503	0.5	25436	2163	24355	186215	7.32
1941	77	0.10399	0.09885	0.5	23273	2301	22123	161860	6.95
1941	78	0.13350	0.12515	0.5	20973	2625	19660	139737	6.66
1941	79	0.12315	0.11600	0.5	18348	2128	17284	120077	6.54
1941	80	0.11896	0.11228	0.5	16220	1821	15309	102793	6.34
1941	81	0.12137	0.11442	0.5	14399	1648	13575	87484	6.08
1941	82	0.12758	0.11993	0.5	12751	1529	11986	73909	5.80
1941	83	0.14566	0.13577	0.5	11222	1524	10460	61923	5.52
1941	84	0.15307	0.14219	0.5	9698	1379	9009	51463	5.31
1941	85	0.16079	0.14883	0.5	8319	1238	7700	42454	5.10
1941	86	0.16883	0.15569	0.5	7081	1102	6530	34754	4.91
1941	87	0.17718	0.16276	0.5	5979	973	5492	28224	4.72
1941	88	0.18585	0.17005	0.5	5006	851	4580	22732	4.54
1941	89	0.19485	0.17755	0.5	4154	738	3786	18152	4.37
1941	90	0.20417	0.18526	0.5	3417	633	3100	14366	4.20
1941	91	0.21382	0.19317	0.5	2784	538	2515	11266	4.05
1941	92	0.22380	0.20128	0.5	2246	452	2020	8751	3.90
1941	93	0.23410	0.20957	0.5	1794	376	1606	6731	3.75
1941	94	0.24473	0.21805	0.5	1418	309	1263	5125	3.61
1941	95	0.25568	0.22670	0.5	1109	251	983	3862	3.48
1941	96	0.26695	0.23552	0.5	857	202	756	2879	3.36
1941	97	0.27853	0.24448	0.5	655	160	575	2122	3.24
1941	98	0.29041	0.25359	0.5	495	126	432	1547	3.12
1941	99	0.30259	0.26282	0.5	370	97	321	1115	3.02
1941	100	0.31505	0.27217	0.5	272	74	235	793	2.91
1941	101	0.32778	0.28162	0.5	198	56	170	558	2.81
1941	102	0.34077	0.29116	0.5	142	41	122	388	2.72
1941	103	0.35400	0.30077	0.5	101	30	86	266	2.63
1941	104	0.36746	0.31043	0.5	71	22	60	180	2.55
1941	105	0.38114	0.32013	0.5	49	16	41	120	2.47
1941	106	0.39500	0.32985	0.5	33	11	28	80	2.40
1941	107	0.40903	0.33958	0.5	22	8	18	52	2.34
1941	108	0.42321	0.34930	0.5	15	5	12	33	2.28
1941	109	0.43753	0.35899	0.5	10	3	8	21	2.24
1941	110+	0.45194	1.00000	2.21	6	6	14	14	2.21
1942	0	0.05833	0.05574	0.2	100000	5574	95550	6013228	60.13
1942	1	0.00528	0.00527	0.5	94426	498	94178	5917678	62.67
1942	2	0.00392	0.00391	0.5	93929	367	93745	5823500	62.00
1942	3	0.00160	0.00160	0.5	93561	150	93486	5729755	61.24
1942	4	0.00148	0.00148	0.5	93411	138	93342	5636269	60.34
1942	5	0.00144	0.00144	0.5	93273	135	93206	5542926	59.43
1942	6	0.00133	0.00133	0.5	93138	124	93077	5449721	58.51
1942	7	0.00123	0.00123	0.5	93015	114	92958	5356644	57.59
1942	8	0.00118	0.00118	0.5	92901	110	92846	5263686	56.66
1942	9	0.00115	0.00115	0.5	92791	106	92738	5170840	55.73
1942	10	0.00112	0.00112	0.5	92685	103	92633	5078103	54.79
1942	11	0.00116	0.00116	0.5	92581	107	92528	4985469	53.85
1942	12	0.00124	0.00124	0.5	92474	115	92417	4892942	52.91
1942	13	0.00136	0.00135	0.5	92360	125	92297	4800524	51.98
1942	14	0.00147	0.00147	0.5	92235	136	92167	4708227	51.05
1942	15	0.00163	0.00163	0.5	92099	150	92024	4616060	50.12
1942	16	0.00191	0.00191	0.5	91949	175	91861	4524036	49.20
1942	17	0.00225	0.00225	0.5	91774	206	91670	4432175	48.29
1942	18	0.00260	0.00260	0.5	91567	238	91448	4340504	47.40
1942	19	0.00296	0.00295	0.5	91329	270	91194	4249056	46.52
1942	20	0.00331	0.00330	0.5	91060	301	90909	4157862	45.66
1942	21	0.00374	0.00374	0.5	90759	339	90589	4066952	44.81
1942	22	0.00409	0.00408	0.5	90420	369	90236	3976363	43.98
1942	23	0.00414	0.00413	0.5	90051	372	89865	3886127	43.15
1942	24	0.00413	0.00412	0.5	89679	369	89495	3796262	42.33
1942	25	0.00396	0.00395	0.5	89310	353	89134	3706767	41.50
1942	26	0.00374	0.00373	0.5	88957	332	88791	3617634	40.67
1942	27	0.00357	0.00356	0.5	88625	316	88467	3528842	39.82
1942	28	0.00360	0.00359	0.5	88309	317	88151	3440375	38.96
1942	29	0.00372	0.00371	0.5	87992	326	87829	3352225	38.10
1942	30	0.00382	0.00381	0.5	87665	334	87498	3264396	37.24
1942	31	0.00399	0.00398	0.5	87331	348	87157	3176898	36.38
