PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,m,1941,0,0.07057,0.06695,0.23,100000,6695,94874,5891327,58.91
LA,m,1941,1-4,0.00358,0.01420,1.39,93305,1325,369764,5796453,62.12
LA,m,1941,5-9,0.00098,0.00491,2.24,91980,451,458652,5426689,59.00
LA,m,1941,10-14,0.00122,0.00607,2.72,91528,555,456377,4968037,54.28
LA,m,1941,15-19,0.00221,0.01099,2.71,90973,1000,452579,4511660,49.59
LA,m,1941,20-24,0.00367,0.01821,2.63,89973,1638,445980,4059081,45.11
LA,m,1941,25-29,0.00404,0.01998,2.48,88335,1765,437217,3613100,40.90
LA,m,1941,30-34,0.00444,0.02198,2.64,86570,1903,428356,3175883,36.69
LA,m,1941,35-39,0.00629,0.03096,2.61,84667,2621,417062,2747527,32.45
LA,m,1941,40-44,0.00814,0.03997,2.72,82045,3279,402749,2330465,28.40
LA,m,1941,45-49,0.01307,0.06337,2.62,78766,4992,381972,1927717,24.47
LA,m,1941,50-54,0.01856,0.08893,2.66,73774,6561,353542,1545744,20.95
LA,m,1941,55-59,0.02537,0.11945,2.56,67213,8028,316444,1192202,17.74
LA,m,1941,60-64,0.03494,0.16155,2.67,59185,9561,273661,875758,14.80
LA,m,1941,65-69,0.04796,0.21448,2.54,49624,10643,221909,602097,12.13
LA,m,1941,70-74,0.06712,0.28823,2.55,38981,11235,167383,380189,9.75
LA,m,1941,75-79,0.10477,0.41541,2.51,27745,11526,110013,212806,7.67
LA,m,1941,80-84,0.13093,0.48709,2.37,16220,7900,60339,102793,6.34
LA,m,1941,85-89,0.17454,0.58929,2.24,8319,4902,28088,42454,5.10
LA,m,1941,90-94,0.21971,0.67548,2.15,3417,2308,10505,14366,4.20
LA,m,1941,95-99,0.27255,0.75424,2.04,1109,836,3068,3862,3.48
LA,m,1941,100-104,0.33254,0.82130,1.92,272,224,673,793,2.91
LA,m,1941,105-109,0.39842,0.87450,1.79,49,43,107,120,2.47
LA,m,1941,110+,0.45194,1.00000,2.21,6,6,14,14,2.21
LA,m,1942,0,0.05833,0.05574,0.2,100000,5574,95550,6013228,60.13
LA,m,1942,1-4,0.00308,0.01221,1.44,94426,1153,374751,5917678,62.67
LA,m,1942,5-9,0.00127,0.00631,2.38,93273,588,464824,5542926,59.43
LA,m,1942,10-14,0.00127,0.00632,2.64,92685,586,462042,5078103,54.79
LA,m,1942,15-19,0.00227,0.01129,2.79,92099,1039,458198,4616060,50.12
LA,m,1942,20-24,0.00388,0.01921,2.6,91060,1750,451094,4157862,45.66
LA,m,1942,25-29,0.00372,0.01841,2.46,89310,1645,442371,3706767,41.50
LA,m,1942,30-34,0.00433,0.02142,2.63,87665,1878,433886,3264396,37.24
LA,m,1942,35-39,0.00588,0.02900,2.65,85788,2488,423080,2830510,32.99
LA,m,1942,40-44,0.00832,0.04080,2.66,83299,3399,408552,2407430,28.90
LA,m,1942,45-49,0.01198,0.05826,2.66,79901,4655,388598,1998878,25.02
LA,m,1942,50-54,0.01865,0.08935,2.65,75245,6723,360443,1610280,21.40
LA,m,1942,55-59,0.02344,0.11082,2.54,68522,7594,323933,1249837,18.24
