LA: LA, Lifetables (period 5x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05820	0.05561	0.2	100000	5561	95558	6021130	60.21
1941-1944	1-4	0.00321	0.01273	1.48	94439	1202	374726	5925572	62.75
1941-1944	5-9	0.00112	0.00557	2.33	93237	519	464800	5550847	59.53
1941-1944	10-14	0.00129	0.00643	2.7	92718	597	462214	5086047	54.86
1941-1944	15-19	0.00225	0.01122	2.73	92121	1033	458260	4623833	50.19
1941-1944	20-24	0.00355	0.01760	2.6	91088	1603	451584	4165573	45.73
1941-1944	25-29	0.00369	0.01827	2.47	89485	1635	443291	3713988	41.50
1941-1944	30-34	0.00406	0.02013	2.61	87850	1768	435027	3270697	37.23
1941-1944	35-39	0.00586	0.02888	2.62	86082	2486	424498	2835670	32.94
1941-1944	40-44	0.00791	0.03882	2.63	83596	3246	410289	2411171	28.84
1941-1944	45-49	0.01241	0.06027	2.63	80351	4842	390297	2000883	24.90
1941-1944	50-54	0.01840	0.08814	2.62	75508	6655	361682	1610586	21.33
1941-1944	55-59	0.02456	0.11576	2.52	68853	7971	324510	1248904	18.14
1941-1944	60-64	0.03368	0.15590	2.62	60882	9491	281844	924394	15.18
1941-1944	65-69	0.04768	0.21271	2.47	51391	10931	229278	642550	12.50
1941-1944	70-74	0.06511	0.28034	2.52	40460	11342	174213	413272	10.21
1941-1944	75-79	0.09017	0.36621	2.44	29117	10663	118249	239059	8.21
1941-1944	80-84	0.12723	0.47647	2.37	18454	8793	69111	120810	6.55
1941-1944	85-89	0.16536	0.56905	2.26	9661	5498	33247	51699	5.35
1941-1944	90-94	0.20714	0.65316	2.17	4164	2719	13129	18452	4.43
1941-1944	95-99	0.25608	0.73165	2.07	1444	1057	4126	5324	3.69
1941-1944	100-104	0.31191	0.80025	1.96	388	310	994	1198	3.09
1941-1944	105-109	0.37371	0.85638	1.84	77	66	177	204	2.63
