MA: MA, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03542	0.03438	0.15	100000	3438	97065	6592972	65.93
1941-1944	1-4	0.00198	0.00787	1.68	96562	760	384482	6495907	67.27
1941-1944	5-9	0.00086	0.00428	2.23	95802	410	477874	6111425	63.79
1941-1944	10-14	0.00073	0.00364	2.6	95392	347	476128	5633551	59.06
1941-1944	15-19	0.00107	0.00533	2.66	95045	506	474037	5157422	54.26
1941-1944	20-24	0.00149	0.00744	2.6	94538	703	471001	4683386	49.54
1941-1944	25-29	0.00182	0.00904	2.57	93835	848	467113	4212385	44.89
1941-1944	30-34	0.00232	0.01152	2.62	92987	1071	462381	3745272	40.28
1941-1944	35-39	0.00341	0.01690	2.66	91915	1553	455943	3282890	35.72
1941-1944	40-44	0.00506	0.02499	2.66	90362	2258	446532	2826947	31.28
1941-1944	45-49	0.00808	0.03965	2.65	88104	3494	432320	2380415	27.02
1941-1944	50-54	0.01206	0.05863	2.64	84611	4961	411329	1948095	23.02
1941-1944	55-59	0.01811	0.08680	2.62	79650	6914	381766	1536766	19.29
1941-1944	60-64	0.02710	0.12727	2.62	72736	9257	341636	1155000	15.88
1941-1944	65-69	0.04001	0.18232	2.57	63479	11574	289288	813364	12.81
1941-1944	70-74	0.06194	0.26865	2.53	51905	13945	225138	524076	10.10
1941-1944	75-79	0.08923	0.36401	2.47	37961	13818	154867	298939	7.87
1941-1944	80-84	0.13391	0.49660	2.4	24143	11989	89530	144072	5.97
1941-1944	85-89	0.19804	0.64184	2.26	12153	7801	39388	54542	4.49
1941-1944	90-94	0.26716	0.75133	2.09	4353	3270	12242	15154	3.48
1941-1944	95-99	0.35842	0.84842	1.9	1082	918	2562	2912	2.69
1941-1944	100-104	0.46112	0.91377	1.7	164	150	325	350	2.13
1941-1944	105-109	0.56769	0.95223	1.51	14	13	24	25	1.75
1941-1944	110+	0.65304	1.00000	1.53	1	1	1	1	1.53
1945-1949	0	0.02983	0.02907	0.13	100000	2907	97473	6791545	67.92
1945-1949	1-4	0.00134	0.00535	1.72	97093	520	387185	6694072	68.95
1945-1949	5-9	0.00067	0.00332	2.25	96573	321	481984	6306887	65.31
1945-1949	10-14	0.00055	0.00273	2.62	96252	263	480634	5824903	60.52
1945-1949	15-19	0.00083	0.00412	2.65	95989	396	479018	5344269	55.68
1945-1949	20-24	0.00112	0.00558	2.59	95594	533	476682	4865251	50.90
1945-1949	25-29	0.00137	0.00682	2.58	95060	648	473737	4388569	46.17
1945-1949	30-34	0.00181	0.00900	2.64	94413	850	470057	3914832	41.47
1945-1949	35-39	0.00275	0.01367	2.67	93563	1279	464831	3444775	36.82
1945-1949	40-44	0.00440	0.02179	2.68	92283	2011	456759	2979944	32.29
1945-1949	45-49	0.00689	0.03391	2.68	90273	3061	444257	2523185	27.95
1945-1949	50-54	0.01116	0.05437	2.64	87211	4742	424871	2078928	23.84
1945-1949	55-59	0.01646	0.07922	2.63	82470	6533	396877	1654057	20.06
1945-1949	60-64	0.02436	0.11505	2.6	75936	8737	358718	1257180	16.56
1945-1949	65-69	0.03736	0.17147	2.6	67200	11522	308375	898462	13.37
1945-1949	70-74	0.05597	0.24610	2.55	55677	13702	244820	590088	10.60
1945-1949	75-79	0.08443	0.34824	2.49	41975	14617	173128	345268	8.23
1945-1949	80-84	0.12347	0.46865	2.43	27357	12821	103838	172139	6.29
1945-1949	85-89	0.18764	0.62110	2.28	14536	9029	48118	68302	4.70
1945-1949	90-94	0.25140	0.72937	2.12	5508	4017	15979	20184	3.66
1945-1949	95-99	0.34002	0.83246	1.93	1491	1241	3649	4204	2.82
1945-1949	100-104	0.44148	0.90396	1.73	250	226	511	555	2.22
1945-1949	105-109	0.54861	0.94693	1.54	24	23	41	43	1.81
1945-1949	110+	0.63526	1.00000	1.57	1	1	2	2	1.57
1950-1954	0	0.02383	0.02334	0.11	100000	2334	97933	6978363	69.78
1950-1954	1-4	0.00105	0.00419	1.68	97666	409	389716	6880430	70.45
1950-1954	5-9	0.00049	0.00245	2.2	97257	238	485616	6490714	66.74
1950-1954	10-14	0.00041	0.00205	2.68	97018	199	484630	6005097	61.90
1950-1954	15-19	0.00070	0.00349	2.67	96820	338	483310	5520468	57.02
1950-1954	20-24	0.00090	0.00447	2.55	96482	431	481356	5037157	52.21
1950-1954	25-29	0.00105	0.00522	2.58	96051	501	479044	4555801	47.43
1950-1954	30-34	0.00141	0.00702	2.64	95550	671	476167	4076757	42.67
1950-1954	35-39	0.00215	0.01067	2.7	94879	1013	472063	3600590	37.95
1950-1954	40-44	0.00364	0.01804	2.7	93866	1693	465431	3128527	33.33
1950-1954	45-49	0.00606	0.02990	2.69	92173	2756	454494	2663096	28.89
1950-1954	50-54	0.00951	0.04650	2.66	89417	4158	437371	2208602	24.70
1950-1954	55-59	0.01493	0.07212	2.63	85259	6149	411751	1771231	20.77
1950-1954	60-64	0.02294	0.10878	2.63	79110	8606	375147	1359480	17.18
1950-1954	65-69	0.03394	0.15690	2.6	70504	11062	325925	984333	13.96
1950-1954	70-74	0.05235	0.23209	2.56	59442	13796	263557	658408	11.08
1950-1954	75-79	0.07656	0.32152	2.51	45646	14676	191687	394851	8.65
1950-1954	80-84	0.11662	0.44884	2.43	30970	13900	119194	203164	6.56
1950-1954	85-89	0.17211	0.58813	2.31	17070	10039	58328	83970	4.92
1950-1954	90-94	0.25120	0.73032	2.13	7030	5134	20440	25642	3.65
1950-1954	95-99	0.34960	0.84230	1.92	1896	1597	4568	5202	2.74
1950-1954	100-104	0.46316	0.91580	1.7	299	274	591	634	2.12
1950-1954	105-109	0.58169	0.95648	1.49	25	24	41	43	1.71
1950-1954	110+	0.67616	1.00000	1.48	1	1	2	2	1.48
1955-1959	0	0.02299	0.02253	0.11	100000	2253	98000	7043242	70.43
1955-1959	1-4	0.00086	0.00344	1.65	97747	336	390197	6945242	71.05
1955-1959	5-9	0.00046	0.00230	2.31	97410	224	486449	6555046	67.29
1955-1959	10-14	0.00038	0.00188	2.6	97186	182	485494	6068596	62.44
1955-1959	15-19	0.00065	0.00323	2.67	97004	314	484290	5583103	57.56
1955-1959	20-24	0.00089	0.00445	2.54	96690	430	482393	5098812	52.73
1955-1959	25-29	0.00092	0.00461	2.57	96260	443	480223	4616420	47.96
1955-1959	30-34	0.00127	0.00632	2.66	95817	605	477665	4136197	43.17
1955-1959	35-39	0.00201	0.01000	2.71	95211	952	473872	3658532	38.43
1955-1959	40-44	0.00328	0.01628	2.7	94259	1535	467766	3184660	33.79
1955-1959	45-49	0.00561	0.02769	2.69	92725	2568	457683	2716895	29.30
1955-1959	50-54	0.00898	0.04400	2.66	90157	3967	441490	2259211	25.06
1955-1959	55-59	0.01378	0.06673	2.67	86190	5752	417527	1817721	21.09
1955-1959	60-64	0.02155	0.10252	2.63	80439	8247	382666	1400194	17.41
1955-1959	65-69	0.03340	0.15453	2.59	72192	11156	334045	1017529	14.09
1955-1959	70-74	0.04925	0.21996	2.58	61037	13426	272632	683484	11.20
1955-1959	75-79	0.07624	0.32066	2.52	47611	15267	200247	410852	8.63
1955-1959	80-84	0.11624	0.44817	2.45	32344	14496	124710	210605	6.51
1955-1959	85-89	0.17764	0.60022	2.3	17848	10713	60309	85895	4.81
1955-1959	90-94	0.25610	0.73733	2.12	7135	5261	20543	25587	3.59
1955-1959	95-99	0.35708	0.84895	1.91	1874	1591	4456	5043	2.69
1955-1959	100-104	0.47397	0.92093	1.68	283	261	550	587	2.08
1955-1959	105-109	0.59501	0.95973	1.47	22	21	36	37	1.67
