PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MA,f,1941,0,0.03269,0.03180,0.14,100000,3180,97280,6817432,68.17
MA,f,1941,1-4,0.00185,0.00738,1.72,96820,714,385649,6720152,69.41
MA,f,1941,5-9,0.00061,0.00303,1.71,96106,291,479570,6334504,65.91
MA,f,1941,10-14,0.00047,0.00233,2.87,95815,223,478599,5854934,61.11
MA,f,1941,15-19,0.00090,0.00450,2.64,95592,431,476943,5376335,56.24
MA,f,1941,20-24,0.00119,0.00594,2.62,95161,565,474463,4899392,51.49
MA,f,1941,25-29,0.00166,0.00825,2.62,94596,781,471120,4424929,46.78
MA,f,1941,30-34,0.00208,0.01036,2.57,93815,972,466714,3953809,42.14
MA,f,1941,35-39,0.00270,0.01342,2.67,92843,1246,461314,3487095,37.56
MA,f,1941,40-44,0.00427,0.02114,2.69,91598,1937,453519,3025781,33.03
MA,f,1941,45-49,0.00637,0.03139,2.64,89661,2815,441664,2572262,28.69
MA,f,1941,50-54,0.00953,0.04660,2.67,86846,4047,424790,2130598,24.53
MA,f,1941,55-59,0.01420,0.06868,2.64,82799,5687,400577,1705808,20.60
MA,f,1941,60-64,0.02221,0.10561,2.69,77113,8144,366754,1305231,16.93
MA,f,1941,65-69,0.03491,0.16128,2.64,68969,11124,318596,938477,13.61
MA,f,1941,70-74,0.05318,0.23573,2.59,57845,13636,256403,619881,10.72
MA,f,1941,75-79,0.08459,0.35130,2.59,44209,15531,183595,363479,8.22
MA,f,1941,80-84,0.12473,0.47198,2.42,28679,13536,108522,179884,6.27
MA,f,1941,85-89,0.18497,0.61466,2.27,15143,9308,50320,71361,4.71
MA,f,1941,90-94,0.25600,0.73620,2.11,5835,4296,16781,21041,3.61
MA,f,1941,95-99,0.34713,0.83903,1.92,1539,1292,3721,4260,2.77
MA,f,1941,100-104,0.45083,0.90891,1.72,248,225,500,540,2.18
MA,f,1941,105-109,0.55929,0.95005,1.53,23,21,38,40,1.78
MA,f,1941,110+,0.64637,1.00000,1.55,1,1,2,2,1.55
MA,f,1942,0,0.03216,0.03130,0.14,100000,3130,97318,6843072,68.43
MA,f,1942,1-4,0.00173,0.00690,1.61,96870,668,385887,6745754,69.64
MA,f,1942,5-9,0.00069,0.00346,2.35,96202,333,480128,6359867,66.11
MA,f,1942,10-14,0.00048,0.00238,2.55,95869,228,478787,5879739,61.33
MA,f,1942,15-19,0.00083,0.00414,2.76,95641,396,477317,5400952,56.47
MA,f,1942,20-24,0.00140,0.00699,2.66,95245,666,474665,4923635,51.69
MA,f,1942,25-29,0.00182,0.00908,2.53,94579,859,470776,4448970,47.04
MA,f,1942,30-34,0.00203,0.01011,2.62,93720,948,466343,3978193,42.45
MA,f,1942,35-39,0.00303,0.01506,2.6,92772,1397,460513,3511851,37.85
MA,f,1942,40-44,0.00378,0.01876,2.71,91375,1714,452953,3051338,33.39
MA,f,1942,45-49,0.00676,0.03327,2.66,89661,2983,441321,2598384,28.98
MA,f,1942,50-54,0.00904,0.04425,2.64,86677,3836,424341,2157063,24.89
MA,f,1942,55-59,0.01395,0.06757,2.68,82842,5597,401216,1732722,20.92
MA,f,1942,60-64,0.02205,0.10483,2.66,77244,8097,367286,1331506,17.24
MA,f,1942,65-69,0.03211,0.14924,2.63,69147,10319,321329,964220,13.94
MA,f,1942,70-74,0.05319,0.23583,2.6,58828,13873,260829,642891,10.93
MA,f,1942,75-79,0.07897,0.33096,2.55,44955,14878,188391,382062,8.50
MA,f,1942,80-84,0.12021,0.45950,2.44,30077,13820,114971,193671,6.44
MA,f,1942,85-89,0.18085,0.60715,2.29,16256,9870,54575,78700,4.84
MA,f,1942,90-94,0.24287,0.71640,2.14,6386,4575,18837,24124,3.78
MA,f,1942,95-99,0.32745,0.82026,1.96,1811,1486,4537,5287,2.92
MA,f,1942,100-104,0.42469,0.89434,1.76,326,291,686,750,2.30
MA,f,1942,105-109,0.52829,0.94035,1.58,34,32,61,65,1.88
MA,f,1942,110+,0.61249,1.00000,1.63,2,2,3,3,1.63
MA,f,1943,0,0.03117,0.03036,0.14,100000,3036,97390,6787893,67.88
MA,f,1943,1-4,0.00190,0.00757,1.7,96964,734,386164,6690503,69.00
MA,f,1943,5-9,0.00080,0.00401,2.09,96229,386,480026,6304339,65.51
MA,f,1943,10-14,0.00061,0.00305,2.57,95844,293,478507,5824313,60.77
MA,f,1943,15-19,0.00084,0.00420,2.72,95551,402,476839,5345806,55.95
MA,f,1943,20-24,0.00139,0.00693,2.6,95149,660,474165,4868967,51.17
MA,f,1943,25-29,0.00159,0.00794,2.54,94490,750,470607,4394802,46.51
MA,f,1943,30-34,0.00207,0.01029,2.63,93740,964,466410,3924195,41.86
MA,f,1943,35-39,0.00304,0.01507,2.63,92775,1398,460559,3457785,37.27
MA,f,1943,40-44,0.00416,0.02059,2.62,91377,1881,452410,2997226,32.80
MA,f,1943,45-49,0.00663,0.03262,2.64,89496,2919,440596,2544816,28.44
MA,f,1943,50-54,0.00970,0.04739,2.63,86577,4103,423155,2104220,24.30
MA,f,1943,55-59,0.01469,0.07094,2.6,82474,5851,398347,1681065,20.38
MA,f,1943,60-64,0.02206,0.10478,2.62,76623,8029,364002,1282718,16.74
MA,f,1943,65-69,0.03481,0.16042,2.56,68594,11004,316126,918716,13.39
MA,f,1943,70-74,0.05650,0.24801,2.54,57590,14283,252784,602590,10.46
MA,f,1943,75-79,0.08395,0.34528,2.43,43307,14953,178116,349806,8.08
MA,f,1943,80-84,0.12925,0.48410,2.41,28354,13726,106196,171689,6.06
MA,f,1943,85-89,0.19468,0.63699,2.29,14628,9318,47861,65493,4.48
MA,f,1943,90-94,0.28150,0.76881,2.05,5310,4082,14502,17632,3.32
MA,f,1943,95-99,0.37957,0.86611,1.86,1228,1063,2801,3129,2.55
MA,f,1943,100-104,0.49404,0.92892,1.64,164,153,309,328,2.00
MA,f,1943,105-109,0.60972,0.96266,1.45,12,11,18,19,1.63
MA,f,1943,110+,0.70008,1.00000,1.43,0,0,1,1,1.43
MA,f,1944,0,0.02913,0.02841,0.13,100000,2841,97541,6907463,69.07
MA,f,1944,1-4,0.00158,0.00630,1.6,97159,612,387163,6809923,70.09
MA,f,1944,5-9,0.00064,0.00319,2.43,96546,308,481936,6422760,66.53
MA,f,1944,10-14,0.00055,0.00274,2.5,96238,263,480530,5940823,61.73
MA,f,1944,15-19,0.00077,0.00385,2.7,95974,369,479023,5460293,56.89
MA,f,1944,20-24,0.00120,0.00597,2.62,95605,571,476668,4981270,52.10
MA,f,1944,25-29,0.00154,0.00765,2.58,95034,727,473409,4504602,47.40
MA,f,1944,30-34,0.00185,0.00922,2.57,94307,870,469427,4031194,42.75
MA,f,1944,35-39,0.00254,0.01262,2.66,93438,1179,464427,3561766,38.12
MA,f,1944,40-44,0.00390,0.01932,2.64,92259,1783,457086,3097339,33.57
MA,f,1944,45-49,0.00641,0.03157,2.64,90476,2856,445645,2640254,29.18
MA,f,1944,50-54,0.00900,0.04406,2.59,87620,3861,428786,2194609,25.05
