MA: MA, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03587	0.03480	0.14	100000	3480	97012	6451784	64.52
1941-1949	1	0.00255	0.00254	0.5	96520	245	96397	6354772	65.84
1941-1949	2	0.00174	0.00174	0.5	96275	167	96191	6258375	65.01
1941-1949	3	0.00151	0.00151	0.5	96107	145	96035	6162184	64.12
1941-1949	4	0.00127	0.00127	0.5	95963	122	95902	6066149	63.21
1941-1949	5	0.00109	0.00109	0.5	95841	104	95789	5970247	62.29
1941-1949	6	0.00096	0.00096	0.5	95737	92	95691	5874457	61.36
1941-1949	7	0.00087	0.00087	0.5	95645	83	95603	5778767	60.42
1941-1949	8	0.00080	0.00080	0.5	95562	76	95524	5683163	59.47
1941-1949	9	0.00074	0.00074	0.5	95486	71	95450	5587640	58.52
1941-1949	10	0.00071	0.00071	0.5	95415	68	95381	5492190	57.56
1941-1949	11	0.00072	0.00072	0.5	95347	68	95313	5396809	56.60
1941-1949	12	0.00075	0.00075	0.5	95278	72	95242	5301496	55.64
1941-1949	13	0.00082	0.00082	0.5	95207	78	95168	5206254	54.68
1941-1949	14	0.00090	0.00090	0.5	95129	86	95086	5111086	53.73
1941-1949	15	0.00101	0.00101	0.5	95043	96	94995	5016000	52.78
1941-1949	16	0.00111	0.00111	0.5	94947	105	94894	4921005	51.83
1941-1949	17	0.00119	0.00119	0.5	94841	113	94785	4826111	50.89
1941-1949	18	0.00127	0.00126	0.5	94729	120	94669	4731326	49.95
1941-1949	19	0.00133	0.00133	0.5	94609	125	94546	4636657	49.01
1941-1949	20	0.00138	0.00138	0.5	94483	130	94418	4542111	48.07
1941-1949	21	0.00144	0.00144	0.5	94353	136	94285	4447693	47.14
1941-1949	22	0.00149	0.00149	0.5	94217	141	94147	4353408	46.21
1941-1949	23	0.00154	0.00154	0.5	94077	145	94004	4259262	45.27
1941-1949	24	0.00158	0.00158	0.5	93932	149	93858	4165257	44.34
1941-1949	25	0.00163	0.00163	0.5	93783	152	93707	4071400	43.41
1941-1949	26	0.00168	0.00168	0.5	93631	157	93553	3977692	42.48
1941-1949	27	0.00173	0.00173	0.5	93474	162	93393	3884140	41.55
1941-1949	28	0.00180	0.00180	0.5	93312	168	93228	3790746	40.62
1941-1949	29	0.00188	0.00187	0.5	93145	175	93057	3697518	39.70
1941-1949	30	0.00197	0.00197	0.5	92970	183	92879	3604461	38.77
1941-1949	31	0.00209	0.00209	0.5	92787	194	92690	3511582	37.85
1941-1949	32	0.00225	0.00224	0.5	92593	208	92490	3418892	36.92
1941-1949	33	0.00244	0.00244	0.5	92386	225	92273	3326402	36.01
1941-1949	34	0.00268	0.00268	0.5	92160	247	92037	3234129	35.09
1941-1949	35	0.00299	0.00298	0.5	91914	274	91777	3142092	34.19
1941-1949	36	0.00330	0.00329	0.5	91640	302	91489	3050316	33.29
1941-1949	37	0.00363	0.00362	0.5	91338	331	91172	2958827	32.39
1941-1949	38	0.00400	0.00399	0.5	91007	363	90825	2867655	31.51
1941-1949	39	0.00439	0.00438	0.5	90644	397	90445	2776829	30.63
1941-1949	40	0.00480	0.00478	0.5	90247	432	90031	2686384	29.77
1941-1949	41	0.00523	0.00522	0.5	89815	469	89581	2596353	28.91
1941-1949	42	0.00578	0.00576	0.5	89346	515	89089	2506772	28.06
1941-1949	43	0.00638	0.00636	0.5	88832	565	88549	2417683	27.22
1941-1949	44	0.00696	0.00694	0.5	88267	612	87961	2329133	26.39
1941-1949	45	0.00764	0.00761	0.5	87655	667	87321	2241173	25.57
1941-1949	46	0.00835	0.00832	0.5	86988	723	86626	2153851	24.76
1941-1949	47	0.00912	0.00908	0.5	86264	783	85873	2067226	23.96
1941-1949	48	0.01002	0.00997	0.5	85481	852	85055	1981353	23.18
1941-1949	49	0.01107	0.01101	0.5	84629	931	84163	1896298	22.41
1941-1949	50	0.01224	0.01217	0.5	83697	1018	83188	1812135	21.65
1941-1949	51	0.01332	0.01323	0.5	82679	1094	82132	1728946	20.91
1941-1949	52	0.01447	0.01437	0.5	81585	1172	80999	1646814	20.19
1941-1949	53	0.01575	0.01562	0.5	80413	1256	79785	1565815	19.47
1941-1949	54	0.01706	0.01692	0.5	79157	1339	78487	1486031	18.77
1941-1949	55	0.01854	0.01837	0.5	77817	1430	77103	1407544	18.09
1941-1949	56	0.02001	0.01981	0.5	76388	1513	75631	1330441	17.42
1941-1949	57	0.02156	0.02133	0.5	74875	1597	74076	1254810	16.76
1941-1949	58	0.02337	0.02310	0.5	73278	1693	72431	1180734	16.11
1941-1949	59	0.02530	0.02498	0.5	71585	1788	70691	1108302	15.48
1941-1949	60	0.02732	0.02695	0.5	69797	1881	68856	1037612	14.87
1941-1949	61	0.02928	0.02886	0.5	67916	1960	66936	968755	14.26
1941-1949	62	0.03160	0.03111	0.5	65956	2052	64930	901820	13.67
1941-1949	63	0.03431	0.03373	0.5	63904	2156	62826	836890	13.10
1941-1949	64	0.03709	0.03642	0.5	61748	2249	60624	774063	12.54
1941-1949	65	0.04028	0.03949	0.5	59500	2350	58325	713439	11.99
1941-1949	66	0.04335	0.04243	0.5	57150	2425	55938	655114	11.46
1941-1949	67	0.04671	0.04564	0.5	54725	2498	53476	599177	10.95
1941-1949	68	0.05078	0.04952	0.5	52227	2586	50934	545700	10.45
1941-1949	69	0.05496	0.05349	0.5	49641	2655	48313	494766	9.97
1941-1949	70	0.05967	0.05794	0.5	46986	2722	45624	446453	9.50
1941-1949	71	0.06408	0.06209	0.5	44263	2748	42889	400829	9.06
1941-1949	72	0.06899	0.06669	0.5	41515	2769	40131	357940	8.62
1941-1949	73	0.07456	0.07188	0.5	38746	2785	37354	317809	8.20
1941-1949	74	0.08006	0.07698	0.5	35961	2768	34577	280456	7.80
1941-1949	75	0.08648	0.08290	0.5	33193	2752	31817	245879	7.41
