PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MA,m,1941-1944,0,0.03941,0.03814,0.15,100000,3814,96761,6350109,63.50
MA,m,1941-1944,1,0.00327,0.00326,0.5,96186,314,96030,6253348,65.01
MA,m,1941-1944,2,0.00204,0.00204,0.5,95873,196,95775,6157318,64.22
MA,m,1941-1944,3,0.00185,0.00185,0.5,95677,177,95589,6061543,63.35
MA,m,1941-1944,4,0.00156,0.00156,0.5,95500,149,95426,5965954,62.47
MA,m,1941-1944,5,0.00129,0.00129,0.5,95351,123,95290,5870529,61.57
MA,m,1941-1944,6,0.00110,0.00110,0.5,95228,105,95175,5775239,60.65
MA,m,1941-1944,7,0.00097,0.00097,0.5,95123,93,95077,5680064,59.71
MA,m,1941-1944,8,0.00089,0.00089,0.5,95030,85,94988,5584987,58.77
MA,m,1941-1944,9,0.00085,0.00085,0.5,94945,81,94905,5489999,57.82
MA,m,1941-1944,10,0.00086,0.00086,0.5,94864,81,94824,5395094,56.87
MA,m,1941-1944,11,0.00088,0.00088,0.5,94783,83,94742,5300270,55.92
MA,m,1941-1944,12,0.00092,0.00092,0.5,94700,87,94657,5205529,54.97
MA,m,1941-1944,13,0.00097,0.00097,0.5,94613,92,94567,5110872,54.02
MA,m,1941-1944,14,0.00104,0.00104,0.5,94521,99,94472,5016305,53.07
MA,m,1941-1944,15,0.00113,0.00113,0.5,94423,106,94369,4921833,52.13
MA,m,1941-1944,16,0.00121,0.00121,0.5,94316,114,94259,4827464,51.18
MA,m,1941-1944,17,0.00130,0.00130,0.5,94202,122,94140,4733205,50.25
MA,m,1941-1944,18,0.00138,0.00138,0.5,94079,130,94014,4639064,49.31
MA,m,1941-1944,19,0.00147,0.00146,0.5,93949,138,93880,4545050,48.38
MA,m,1941-1944,20,0.00155,0.00155,0.5,93812,146,93739,4451170,47.45
MA,m,1941-1944,21,0.00164,0.00164,0.5,93666,154,93589,4357431,46.52
MA,m,1941-1944,22,0.00171,0.00171,0.5,93512,160,93433,4263842,45.60
MA,m,1941-1944,23,0.00177,0.00177,0.5,93353,165,93270,4170409,44.67
MA,m,1941-1944,24,0.00182,0.00182,0.5,93188,169,93103,4077139,43.75
MA,m,1941-1944,25,0.00186,0.00186,0.5,93018,173,92932,3984036,42.83
MA,m,1941-1944,26,0.00191,0.00190,0.5,92846,177,92757,3891104,41.91
MA,m,1941-1944,27,0.00197,0.00197,0.5,92669,182,92578,3798347,40.99
MA,m,1941-1944,28,0.00205,0.00205,0.5,92486,190,92392,3705769,40.07
MA,m,1941-1944,29,0.00216,0.00216,0.5,92297,199,92197,3613377,39.15
MA,m,1941-1944,30,0.00231,0.00230,0.5,92097,212,91991,3521180,38.23
MA,m,1941-1944,31,0.00246,0.00246,0.5,91885,226,91772,3429189,37.32
MA,m,1941-1944,32,0.00263,0.00263,0.5,91660,241,91539,3337417,36.41
MA,m,1941-1944,33,0.00282,0.00282,0.5,91419,258,91290,3245877,35.51
MA,m,1941-1944,34,0.00305,0.00304,0.5,91161,278,91022,3154587,34.60
MA,m,1941-1944,35,0.00334,0.00334,0.5,90884,303,90732,3063565,33.71
MA,m,1941-1944,36,0.00364,0.00363,0.5,90580,329,90416,2972833,32.82
MA,m,1941-1944,37,0.00399,0.00398,0.5,90251,359,90072,2882417,31.94
MA,m,1941-1944,38,0.00442,0.00441,0.5,89892,396,89694,2792345,31.06
MA,m,1941-1944,39,0.00482,0.00481,0.5,89496,430,89281,2702651,30.20
MA,m,1941-1944,40,0.00522,0.00521,0.5,89066,464,88834,2613369,29.34
MA,m,1941-1944,41,0.00562,0.00561,0.5,88602,497,88354,2524535,28.49
MA,m,1941-1944,42,0.00611,0.00610,0.5,88105,537,87837,2436181,27.65
MA,m,1941-1944,43,0.00667,0.00665,0.5,87568,583,87277,2348345,26.82
MA,m,1941-1944,44,0.00733,0.00730,0.5,86986,635,86668,2261068,25.99
MA,m,1941-1944,45,0.00817,0.00813,0.5,86351,702,86000,2174399,25.18
MA,m,1941-1944,46,0.00883,0.00879,0.5,85648,753,85272,2088400,24.38
MA,m,1941-1944,47,0.00956,0.00952,0.5,84896,808,84492,2003128,23.60
MA,m,1941-1944,48,0.01055,0.01049,0.5,84088,882,83647,1918636,22.82
MA,m,1941-1944,49,0.01152,0.01145,0.5,83206,953,82729,1834989,22.05
MA,m,1941-1944,50,0.01263,0.01255,0.5,82253,1032,81737,1752260,21.30
MA,m,1941-1944,51,0.01367,0.01358,0.5,81221,1103,80669,1670523,20.57
MA,m,1941-1944,52,0.01483,0.01473,0.5,80118,1180,79528,1589853,19.84
MA,m,1941-1944,53,0.01616,0.01603,0.5,78938,1266,78305,1510325,19.13
MA,m,1941-1944,54,0.01759,0.01744,0.5,77673,1355,76995,1432020,18.44
MA,m,1941-1944,55,0.01931,0.01912,0.5,76318,1459,75588,1355024,17.75
MA,m,1941-1944,56,0.02070,0.02049,0.5,74859,1534,74092,1279436,17.09
MA,m,1941-1944,57,0.02220,0.02195,0.5,73325,1610,72520,1205344,16.44
MA,m,1941-1944,58,0.02415,0.02386,0.5,71715,1711,70859,1132825,15.80
MA,m,1941-1944,59,0.02603,0.02569,0.5,70004,1799,69105,1061965,15.17
MA,m,1941-1944,60,0.02821,0.02782,0.5,68205,1897,67257,992861,14.56
