MD: MD, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04803	0.04621	0.18	100000	4621	96215	6240848	62.41
1941-1944	1-4	0.00286	0.01136	1.51	95379	1083	378817	6144633	64.42
1941-1944	5-9	0.00112	0.00558	2.32	94296	527	470064	5765816	61.15
1941-1944	10-14	0.00092	0.00460	2.7	93769	432	467853	5295752	56.48
1941-1944	15-19	0.00186	0.00924	2.68	93337	863	464687	4827899	51.73
1941-1944	20-24	0.00236	0.01175	2.56	92475	1086	459726	4363211	47.18
1941-1944	25-29	0.00281	0.01398	2.55	91388	1277	453818	3903485	42.71
1941-1944	30-34	0.00343	0.01702	2.6	90111	1534	446873	3449667	38.28
1941-1944	35-39	0.00493	0.02435	2.66	88577	2157	437837	3002794	33.90
1941-1944	40-44	0.00716	0.03518	2.62	86420	3041	424850	2564957	29.68
1941-1944	45-49	0.01064	0.05188	2.64	83379	4326	406670	2140107	25.67
1941-1944	50-54	0.01549	0.07467	2.6	79054	5903	381111	1733437	21.93
1941-1944	55-59	0.02124	0.10101	2.58	73151	7389	347903	1352326	18.49
1941-1944	60-64	0.03110	0.14470	2.6	65762	9516	306015	1004423	15.27
1941-1944	65-69	0.04458	0.20084	2.54	56247	11297	253421	698408	12.42
1941-1944	70-74	0.06484	0.27914	2.51	44950	12547	193504	444987	9.90
1941-1944	75-79	0.09381	0.37872	2.46	32403	12271	130817	251483	7.76
1941-1944	80-84	0.13510	0.49915	2.39	20131	10049	74381	120666	5.99
1941-1944	85-89	0.19155	0.62711	2.25	10083	6323	33010	46286	4.59
1941-1944	90-94	0.26330	0.74562	2.09	3760	2803	10647	13276	3.53
1941-1944	95-99	0.35033	0.84116	1.91	956	804	2296	2629	2.75
1941-1944	100-104	0.44899	0.90752	1.72	152	138	307	332	2.19
1941-1944	105-109	0.55262	0.94789	1.53	14	13	24	25	1.80
1941-1944	110+	0.63639	1.00000	1.57	1	1	1	1	1.57
1945-1949	0	0.03364	0.03269	0.14	100000	3269	97194	6554840	65.55
1945-1949	1-4	0.00164	0.00652	1.66	96731	631	385450	6457646	66.76
1945-1949	5-9	0.00075	0.00373	2.26	96100	358	479516	6072196	63.19
1945-1949	10-14	0.00071	0.00357	2.77	95741	342	477946	5592681	58.41
1945-1949	15-19	0.00143	0.00711	2.68	95400	678	475427	5114735	53.61
1945-1949	20-24	0.00186	0.00924	2.52	94721	875	471441	4639308	48.98
1945-1949	25-29	0.00196	0.00976	2.57	93846	916	467006	4167867	44.41
1945-1949	30-34	0.00261	0.01298	2.62	92931	1206	461784	3700861	39.82
1945-1949	35-39	0.00377	0.01870	2.67	91725	1715	454622	3239077	35.31
1945-1949	40-44	0.00608	0.02998	2.67	90010	2698	443768	2784455	30.94
1945-1949	45-49	0.00895	0.04383	2.64	87311	3827	427528	2340687	26.81
1945-1949	50-54	0.01368	0.06622	2.62	83485	5528	404243	1913159	22.92
1945-1949	55-59	0.01916	0.09161	2.61	77957	7142	372730	1508916	19.36
1945-1949	60-64	0.02752	0.12900	2.58	70815	9135	331994	1136187	16.04
1945-1949	65-69	0.04081	0.18567	2.58	61680	11452	280638	804192	13.04
1945-1949	70-74	0.05868	0.25646	2.55	50228	12882	219517	523555	10.42
1945-1949	75-79	0.08774	0.35886	2.46	37346	13402	152750	304038	8.14
1945-1949	80-84	0.12456	0.47141	2.42	23944	11288	90617	151288	6.32
1945-1949	85-89	0.18104	0.60603	2.27	12657	7670	42369	60671	4.79
1945-1949	90-94	0.25140	0.72902	2.12	4986	3635	14460	18302	3.67
1945-1949	95-99	0.33721	0.82949	1.94	1351	1121	3324	3843	2.84
1945-1949	100-104	0.43498	0.90010	1.74	230	207	477	519	2.25
1945-1949	105-109	0.53823	0.94352	1.56	23	22	40	42	1.84
1945-1949	110+	0.62183	1.00000	1.61	1	1	2	2	1.61
1950-1954	0	0.02795	0.02729	0.13	100000	2729	97614	6785193	67.85
1950-1954	1-4	0.00128	0.00511	1.59	97271	497	387885	6687579	68.75
1950-1954	5-9	0.00056	0.00279	2.29	96774	270	483139	6299694	65.10
1950-1954	10-14	0.00046	0.00228	2.7	96504	220	482014	5816555	60.27
1950-1954	15-19	0.00098	0.00488	2.73	96284	470	480351	5334542	55.40
1950-1954	20-24	0.00129	0.00645	2.54	95813	618	477544	4854191	50.66
1950-1954	25-29	0.00146	0.00728	2.57	95195	693	474296	4376647	45.98
1950-1954	30-34	0.00197	0.00980	2.65	94502	926	470332	3902351	41.29
1950-1954	35-39	0.00291	0.01446	2.67	93576	1353	464723	3432020	36.68
1950-1954	40-44	0.00470	0.02323	2.68	92223	2143	456147	2967296	32.18
1950-1954	45-49	0.00750	0.03684	2.67	90080	3319	442669	2511150	27.88
1950-1954	50-54	0.01130	0.05503	2.64	86761	4774	422555	2068481	23.84
1950-1954	55-59	0.01732	0.08316	2.62	81987	6818	393677	1645926	20.08
1950-1954	60-64	0.02554	0.12036	2.61	75169	9048	354235	1252249	16.66
1950-1954	65-69	0.03661	0.16816	2.58	66121	11119	303683	898014	13.58
1950-1954	70-74	0.05554	0.24444	2.55	55003	13445	242072	594331	10.81
1950-1954	75-79	0.08088	0.33633	2.5	41558	13977	172809	352259	8.48
1950-1954	80-84	0.11705	0.45044	2.44	27581	12424	106137	179450	6.51
1950-1954	85-89	0.17612	0.59676	2.3	15157	9045	51358	73313	4.84
1950-1954	90-94	0.25561	0.73687	2.13	6112	4504	17620	21956	3.59
1950-1954	95-99	0.35639	0.84829	1.91	1608	1364	3828	4336	2.70
1950-1954	100-104	0.47260	0.92029	1.68	244	225	475	508	2.08
1950-1954	105-109	0.59332	0.95934	1.47	19	19	31	33	1.68
1950-1954	110+	0.68900	1.00000	1.45	1	1	1	1	1.45
1955-1959	0	0.02872	0.02801	0.13	100000	2801	97556	6845326	68.45
1955-1959	1-4	0.00106	0.00423	1.61	97199	411	387813	6747770	69.42
1955-1959	5-9	0.00051	0.00256	2.32	96788	248	483274	6359956	65.71
1955-1959	10-14	0.00045	0.00224	2.65	96540	216	482192	5876682	60.87
1955-1959	15-19	0.00082	0.00408	2.69	96324	393	480710	5394490	56.00
1955-1959	20-24	0.00109	0.00543	2.53	95930	521	478365	4913780	51.22
1955-1959	25-29	0.00126	0.00630	2.57	95409	601	475585	4435415	46.49
1955-1959	30-34	0.00168	0.00835	2.65	94808	791	472184	3959830	41.77
1955-1959	35-39	0.00262	0.01302	2.68	94017	1224	467247	3487646	37.10
1955-1959	40-44	0.00417	0.02064	2.68	92793	1916	459525	3020400	32.55
1955-1959	45-49	0.00681	0.03352	2.69	90877	3046	447349	2560874	28.18
1955-1959	50-54	0.01099	0.05357	2.67	87831	4705	428193	2113526	24.06
1955-1959	55-59	0.01647	0.07924	2.64	83126	6587	400062	1685333	20.27
1955-1959	60-64	0.02423	0.11449	2.6	76538	8763	361671	1285271	16.79
1955-1959	65-69	0.03789	0.17354	2.58	67776	11762	310429	923600	13.63
1955-1959	70-74	0.05274	0.23347	2.54	56014	13077	247964	613171	10.95
1955-1959	75-79	0.08023	0.33434	2.51	42937	14355	178919	365207	8.51
1955-1959	80-84	0.11573	0.44661	2.45	28581	12765	110300	186287	6.52
1955-1959	85-89	0.17715	0.59942	2.3	15816	9481	53519	75987	4.80
1955-1959	90-94	0.25930	0.74235	2.12	6336	4703	18139	22468	3.55
1955-1959	95-99	0.36281	0.85378	1.9	1632	1394	3842	4330	2.65
1955-1959	100-104	0.48147	0.92427	1.67	239	221	458	488	2.04
1955-1959	105-109	0.60359	0.96168	1.46	18	17	29	30	1.65
1955-1959	110+	0.69959	1.00000	1.43	1	1	1	1	1.43
1960-1964	0	0.02648	0.02588	0.12	100000	2588	97727	6907431	69.07
1960-1964	1-4	0.00099	0.00394	1.63	97412	384	388740	6809704	69.91
1960-1964	5-9	0.00047	0.00235	2.28	97028	228	484521	6420964	66.18
1960-1964	10-14	0.00040	0.00201	2.73	96800	194	483561	5936444	61.33
1960-1964	15-19	0.00077	0.00385	2.78	96606	372	482204	5452883	56.44
1960-1964	20-24	0.00111	0.00552	2.52	96233	531	479850	4970679	51.65
1960-1964	25-29	0.00129	0.00643	2.57	95702	615	477019	4490829	46.92
1960-1964	30-34	0.00167	0.00833	2.66	95087	792	473585	4013810	42.21
1960-1964	35-39	0.00253	0.01260	2.69	94295	1188	468733	3540225	37.54
1960-1964	40-44	0.00401	0.01987	2.68	93107	1850	461252	3071493	32.99
1960-1964	45-49	0.00636	0.03134	2.7	91257	2860	449721	2610241	28.60
1960-1964	50-54	0.01046	0.05105	2.65	88397	4513	431365	2160519	24.44
1960-1964	55-59	0.01579	0.07613	2.63	83885	6386	404318	1729154	20.61
1960-1964	60-64	0.02390	0.11307	2.62	77499	8763	366609	1324836	17.09
