MD: MD, Lifetables (period 1x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05319	0.05102	0.2	100000	5102	95928	6416224	64.16
1941	1	0.00680	0.00678	0.5	94898	643	94576	6320295	66.60
1941	2	0.00219	0.00219	0.5	94255	206	94152	6225719	66.05
1941	3	0.00246	0.00245	0.5	94049	231	93933	6131568	65.20
1941	4	0.00197	0.00196	0.5	93818	184	93726	6037634	64.35
1941	5	0.00146	0.00146	0.5	93634	137	93565	5943909	63.48
1941	6	0.00115	0.00115	0.5	93497	107	93443	5850344	62.57
1941	7	0.00091	0.00091	0.5	93389	85	93347	5756901	61.64
1941	8	0.00073	0.00073	0.5	93304	68	93270	5663554	60.70
1941	9	0.00061	0.00061	0.5	93236	56	93207	5570284	59.74
1941	10	0.00056	0.00056	0.5	93179	52	93153	5477077	58.78
1941	11	0.00060	0.00060	0.5	93127	56	93099	5383924	57.81
1941	12	0.00073	0.00073	0.5	93071	68	93037	5290825	56.85
1941	13	0.00094	0.00094	0.5	93003	87	92959	5197787	55.89
1941	14	0.00124	0.00124	0.5	92916	116	92858	5104828	54.94
1941	15	0.00162	0.00162	0.5	92800	150	92725	5011970	54.01
1941	16	0.00188	0.00188	0.5	92650	174	92562	4919246	53.10
1941	17	0.00202	0.00202	0.5	92475	187	92382	4826683	52.19
1941	18	0.00211	0.00211	0.5	92288	194	92191	4734301	51.30
1941	19	0.00203	0.00203	0.5	92094	187	92000	4642110	50.41
1941	20	0.00192	0.00191	0.5	91907	176	91819	4550110	49.51
1941	21	0.00190	0.00190	0.5	91731	174	91644	4458291	48.60
1941	22	0.00194	0.00194	0.5	91557	178	91468	4366646	47.69
1941	23	0.00205	0.00204	0.5	91380	187	91286	4275178	46.78
1941	24	0.00218	0.00218	0.5	91193	199	91094	4183892	45.88
1941	25	0.00236	0.00236	0.5	90994	215	90887	4092798	44.98
1941	26	0.00246	0.00246	0.5	90780	223	90668	4001911	44.08
1941	27	0.00261	0.00261	0.5	90556	236	90438	3911243	43.19
1941	28	0.00280	0.00280	0.5	90320	253	90194	3820805	42.30
1941	29	0.00288	0.00288	0.5	90068	259	89938	3730611	41.42
1941	30	0.00291	0.00290	0.5	89809	261	89678	3640673	40.54
1941	31	0.00288	0.00287	0.5	89548	257	89419	3550995	39.65
1941	32	0.00303	0.00303	0.5	89291	270	89156	3461575	38.77
1941	33	0.00316	0.00316	0.5	89021	281	88880	3372419	37.88
1941	34	0.00322	0.00321	0.5	88740	285	88597	3283539	37.00
1941	35	0.00338	0.00337	0.5	88455	298	88306	3194942	36.12
1941	36	0.00336	0.00336	0.5	88157	296	88009	3106637	35.24
1941	37	0.00364	0.00363	0.5	87861	319	87701	3018628	34.36
1941	38	0.00415	0.00414	0.5	87542	363	87360	2930927	33.48
1941	39	0.00437	0.00436	0.5	87179	380	86989	2843566	32.62
1941	40	0.00444	0.00443	0.5	86799	385	86607	2756577	31.76
1941	41	0.00457	0.00456	0.5	86414	394	86217	2669970	30.90
1941	42	0.00545	0.00544	0.5	86020	468	85786	2583753	30.04
1941	43	0.00614	0.00612	0.5	85553	524	85291	2497967	29.20
1941	44	0.00640	0.00638	0.5	85029	543	84757	2412676	28.37
1941	45	0.00708	0.00706	0.5	84486	596	84188	2327919	27.55
1941	46	0.00715	0.00713	0.5	83890	598	83591	2243731	26.75
1941	47	0.00783	0.00780	0.5	83292	649	82967	2160140	25.93
1941	48	0.00879	0.00875	0.5	82642	723	82281	2077173	25.13
1941	49	0.00918	0.00914	0.5	81919	749	81545	1994892	24.35
1941	50	0.00989	0.00984	0.5	81171	799	80771	1913348	23.57
1941	51	0.01037	0.01032	0.5	80372	829	79957	1832576	22.80
1941	52	0.01204	0.01197	0.5	79543	952	79067	1752619	22.03
1941	53	0.01363	0.01354	0.5	78590	1064	78058	1673552	21.29
1941	54	0.01386	0.01376	0.5	77527	1067	76993	1595494	20.58
1941	55	0.01470	0.01459	0.5	76460	1116	75902	1518501	19.86
1941	56	0.01487	0.01476	0.5	75344	1112	74788	1442599	19.15
1941	57	0.01612	0.01599	0.5	74232	1187	73639	1367811	18.43
1941	58	0.01813	0.01797	0.5	73045	1313	72389	1294172	17.72
1941	59	0.01850	0.01833	0.5	71732	1315	71075	1221784	17.03
1941	60	0.01916	0.01898	0.5	70418	1336	69750	1150709	16.34
1941	61	0.01977	0.01958	0.5	69081	1352	68405	1080959	15.65
1941	62	0.02387	0.02358	0.5	67729	1597	66930	1012554	14.95
1941	63	0.02845	0.02805	0.5	66132	1855	65204	945624	14.30
1941	64	0.02900	0.02858	0.5	64276	1837	63358	880420	13.70
1941	65	0.03111	0.03064	0.5	62439	1913	61483	817062	13.09
1941	66	0.03097	0.03049	0.5	60526	1846	59603	755580	12.48
