PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MD,f,1941,0,0.05319,0.05102,0.2,100000,5102,95928,6416224,64.16
MD,f,1941,1-4,0.00336,0.01333,1.47,94898,1265,376387,6320295,66.60
MD,f,1941,5-9,0.00097,0.00485,2.06,93634,454,466832,5943909,63.48
MD,f,1941,10-14,0.00082,0.00407,2.92,93179,379,465106,5477077,58.78
MD,f,1941,15-19,0.00193,0.00962,2.6,92800,893,461861,5011970,54.01
MD,f,1941,20-24,0.00200,0.00993,2.56,91907,913,457311,4550110,49.51
MD,f,1941,25-29,0.00262,0.01303,2.6,90994,1186,452125,4092798,44.98
MD,f,1941,30-34,0.00304,0.01508,2.55,89809,1354,445731,3640673,40.54
MD,f,1941,35-39,0.00378,0.01872,2.64,88455,1656,438365,3194942,36.12
MD,f,1941,40-44,0.00540,0.02665,2.69,86799,2313,428659,2756577,31.76
MD,f,1941,45-49,0.00800,0.03924,2.63,84486,3316,414571,2327919,27.55
MD,f,1941,50-54,0.01193,0.05804,2.66,81171,4711,394847,1913348,23.57
MD,f,1941,55-59,0.01643,0.07902,2.6,76460,6042,367792,1518501,19.86
MD,f,1941,60-64,0.02391,0.11330,2.69,70418,7979,333646,1150709,16.34
MD,f,1941,65-69,0.03785,0.17388,2.67,62439,10857,286847,817062,13.09
MD,f,1941,70-74,0.05832,0.25593,2.61,51582,13202,226361,530215,10.28
MD,f,1941,75-79,0.09361,0.38133,2.57,38381,14636,156354,303854,7.92
MD,f,1941,80-84,0.13047,0.48696,2.4,23745,11563,88623,147501,6.21
MD,f,1941,85-89,0.18070,0.60460,2.26,12182,7365,40760,58878,4.83
MD,f,1941,90-94,0.24537,0.71926,2.12,4817,3465,14120,18118,3.76
MD,f,1941,95-99,0.32364,0.81558,1.96,1352,1103,3408,3998,2.96
MD,f,1941,100-104,0.41297,0.88653,1.78,249,221,535,591,2.37
MD,f,1941,105-109,0.50852,0.93288,1.61,28,26,52,55,1.95
MD,f,1941,110+,0.58648,1.00000,1.71,2,2,3,3,1.71
MD,f,1942,0,0.04233,0.04089,0.17,100000,4089,96612,6526019,65.26
MD,f,1942,1-4,0.00273,0.01083,1.39,95911,1039,380929,6429407,67.04
MD,f,1942,5-9,0.00086,0.00431,2.35,94872,409,473277,6048478,63.75
MD,f,1942,10-14,0.00057,0.00283,2.88,94463,267,471749,5575200,59.02
MD,f,1942,15-19,0.00176,0.00879,2.73,94196,828,469102,5103452,54.18
MD,f,1942,20-24,0.00217,0.01079,2.52,93368,1007,464338,4634350,49.64
MD,f,1942,25-29,0.00215,0.01068,2.53,92361,986,459363,4170011,45.15
MD,f,1942,30-34,0.00269,0.01338,2.61,91375,1222,453949,3710648,40.61
MD,f,1942,35-39,0.00389,0.01929,2.71,90152,1739,446781,3256699,36.12
MD,f,1942,40-44,0.00601,0.02965,2.62,88413,2622,435834,2809918,31.78
MD,f,1942,45-49,0.00800,0.03926,2.65,85792,3368,421029,2374083,27.67
MD,f,1942,50-54,0.01250,0.06073,2.66,82423,5005,400400,1953054,23.70
MD,f,1942,55-59,0.01661,0.07987,2.6,77418,6183,372227,1552654,20.06
MD,f,1942,60-64,0.02491,0.11777,2.7,71234,8389,336835,1180428,16.57
MD,f,1942,65-69,0.03866,0.17696,2.61,62845,11121,287653,843592,13.42
MD,f,1942,70-74,0.05542,0.24402,2.56,51724,12622,227760,555940,10.75
MD,f,1942,75-79,0.08178,0.34105,2.57,39102,13336,163060,328179,8.39
MD,f,1942,80-84,0.12025,0.46025,2.45,25766,11859,98623,165119,6.41
MD,f,1942,85-89,0.17974,0.60422,2.29,13907,8403,46751,66496,4.78
MD,f,1942,90-94,0.25693,0.73807,2.12,5504,4062,15811,19744,3.59
MD,f,1942,95-99,0.35237,0.84410,1.91,1442,1217,3454,3933,2.73
MD,f,1942,100-104,0.46106,0.91432,1.7,225,206,446,479,2.13
MD,f,1942,105-109,0.57397,0.95422,1.5,19,18,32,33,1.73
MD,f,1942,110+,0.66400,1.00000,1.51,1,1,1,1,1.51
MD,f,1943,0,0.04106,0.03971,0.17,100000,3971,96696,6458250,64.58
MD,f,1943,1-4,0.00287,0.01138,1.56,96029,1093,381453,6361554,66.25
MD,f,1943,5-9,0.00114,0.00568,2.33,94936,539,473241,5980101,62.99
MD,f,1943,10-14,0.00085,0.00422,2.52,94397,399,470995,5506860,58.34
MD,f,1943,15-19,0.00136,0.00679,2.77,93998,638,468569,5035865,53.57
MD,f,1943,20-24,0.00226,0.01123,2.58,93360,1049,464260,4567296,48.92
MD,f,1943,25-29,0.00230,0.01145,2.47,92311,1057,458876,4103036,44.45
MD,f,1943,30-34,0.00267,0.01328,2.61,91254,1212,453370,3644160,39.93
MD,f,1943,35-39,0.00413,0.02043,2.67,90042,1840,445926,3190790,35.44
MD,f,1943,40-44,0.00621,0.03057,2.58,88202,2696,434490,2744864,31.12
MD,f,1943,45-49,0.00905,0.04428,2.6,85505,3786,418447,2310374,27.02
MD,f,1943,50-54,0.01217,0.05910,2.57,81719,4830,396878,1891927,23.15
MD,f,1943,55-59,0.01720,0.08255,2.59,76890,6348,369129,1495049,19.44
MD,f,1943,60-64,0.02654,0.12468,2.58,70542,8795,331429,1125920,15.96
MD,f,1943,65-69,0.03790,0.17315,2.51,61747,10691,282098,794490,12.87
MD,f,1943,70-74,0.06130,0.26598,2.52,51056,13580,221545,512392,10.04
MD,f,1943,75-79,0.09459,0.37916,2.39,37476,14210,150226,290847,7.76
MD,f,1943,80-84,0.12973,0.48461,2.39,23267,11275,86916,140621,6.04
MD,f,1943,85-89,0.19446,0.63509,2.27,11991,7616,39163,53705,4.48
MD,f,1943,90-94,0.28064,0.77011,2.07,4376,3370,12008,14542,3.32
MD,f,1943,95-99,0.38447,0.86976,1.85,1006,875,2276,2534,2.52
MD,f,1943,100-104,0.50000,0.93129,1.63,131,122,244,259,1.97
MD,f,1943,105-109,0.61616,0.96402,1.44,9,9,14,15,1.62
MD,f,1943,110+,0.70651,1.00000,1.42,0,0,0,0,1.42
MD,f,1944,0,0.03707,0.03595,0.16,100000,3595,96969,6609750,66.10
MD,f,1944,1-4,0.00224,0.00892,1.51,96405,860,383476,6512781,67.56
MD,f,1944,5-9,0.00091,0.00453,2.39,95545,433,476597,6129306,64.15
MD,f,1944,10-14,0.00075,0.00375,2.6,95112,356,474707,5652709,59.43
MD,f,1944,15-19,0.00130,0.00648,2.69,94756,614,472364,5178002,54.65
MD,f,1944,20-24,0.00186,0.00924,2.62,94142,869,468645,4705638,49.98
MD,f,1944,25-29,0.00259,0.01289,2.57,93273,1202,463447,4236993,45.43
MD,f,1944,30-34,0.00290,0.01440,2.51,92071,1326,457053,3773547,40.99
MD,f,1944,35-39,0.00365,0.01809,2.68,90745,1642,449916,3316494,36.55
MD,f,1944,40-44,0.00592,0.02918,2.56,89103,2600,439175,2866578,32.17
MD,f,1944,45-49,0.00782,0.03838,2.59,86503,3320,424519,2427403,28.06
MD,f,1944,50-54,0.01077,0.05251,2.61,83184,4368,405465,2002884,24.08
MD,f,1944,55-59,0.01687,0.08105,2.57,78816,6388,378580,1597419,20.27
MD,f,1944,60-64,0.02265,0.10734,2.56,72428,7774,343205,1218839,16.83
MD,f,1944,65-69,0.03550,0.16328,2.55,64654,10557,297357,875634,13.54
MD,f,1944,70-74,0.05622,0.24666,2.51,54097,13343,237326,578277,10.69
MD,f,1944,75-79,0.08401,0.34498,2.41,40754,14059,167349,340951,8.37
MD,f,1944,80-84,0.12148,0.46252,2.42,26694,12347,101632,173603,6.50
MD,f,1944,85-89,0.17170,0.58574,2.29,14348,8404,48948,71971,5.02
MD,f,1944,90-94,0.23643,0.70594,2.15,5944,4196,17747,23023,3.87
MD,f,1944,95-99,0.31580,0.80799,1.98,1748,1412,4472,5276,3.02
MD,f,1944,100-104,0.40732,0.88330,1.79,336,296,728,804,2.40
MD,f,1944,105-109,0.50583,0.93211,1.61,39,37,72,77,1.96
MD,f,1944,110+,0.58640,1.00000,1.71,3,3,5,5,1.71
MD,f,1945,0,0.03561,0.03457,0.15,100000,3457,97071,6624759,66.25
MD,f,1945,1-4,0.00204,0.00812,1.6,96543,784,384286,6527688,67.61
MD,f,1945,5-9,0.00096,0.00477,2.35,95759,457,477584,6143402,64.15
MD,f,1945,10-14,0.00098,0.00487,2.56,95302,464,475375,5665818,59.45
MD,f,1945,15-19,0.00126,0.00630,2.7,94838,597,472815,5190442,54.73
MD,f,1945,20-24,0.00200,0.00993,2.59,94240,936,468950,4717627,50.06
MD,f,1945,25-29,0.00233,0.01159,2.56,93305,1081,463888,4248678,45.54
MD,f,1945,30-34,0.00288,0.01428,2.64,92223,1317,458012,3784790,41.04
MD,f,1945,35-39,0.00420,0.02077,2.63,90906,1888,450057,3326778,36.60
MD,f,1945,40-44,0.00532,0.02628,2.6,89018,2339,439481,2876721,32.32
MD,f,1945,45-49,0.00799,0.03922,2.71,86679,3400,425617,2437239,28.12
MD,f,1945,50-54,0.01144,0.05567,2.58,83279,4636,405165,2011622,24.16
MD,f,1945,55-59,0.01563,0.07536,2.64,78643,5927,379245,1606457,20.43
MD,f,1945,60-64,0.02304,0.10927,2.65,72716,7946,344936,1227212,16.88
MD,f,1945,65-69,0.03637,0.16728,2.6,64770,10835,297866,882277,13.62
MD,f,1945,70-74,0.05275,0.23414,2.6,53936,12628,239401,584411,10.84
MD,f,1945,75-79,0.08468,0.35060,2.55,41307,14482,171031,345010,8.35
MD,f,1945,80-84,0.12209,0.46437,2.42,26825,12457,102028,173979,6.49
MD,f,1945,85-89,0.17278,0.58764,2.28,14368,8443,48866,71951,5.01
MD,f,1945,90-94,0.23528,0.70380,2.15,5925,4170,17723,23084,3.90
MD,f,1945,95-99,0.31193,0.80358,1.98,1755,1410,4521,5361,3.05
MD,f,1945,100-104,0.40021,0.87837,1.81,345,303,757,840,2.44
MD,f,1945,105-109,0.49553,0.92791,1.63,42,39,79,84,2.00
MD,f,1945,110+,0.57361,1.00000,1.74,3,3,5,5,1.74
MD,f,1946,0,0.03182,0.03097,0.14,100000,3097,97343,6780357,67.80
MD,f,1946,1-4,0.00164,0.00652,1.6,96903,632,386095,6683014,68.97
MD,f,1946,5-9,0.00072,0.00362,2.12,96271,348,480352,6296919,65.41
MD,f,1946,10-14,0.00050,0.00250,2.93,95923,240,479119,5816566,60.64
MD,f,1946,15-19,0.00144,0.00718,2.73,95683,687,476854,5337447,55.78
MD,f,1946,20-24,0.00189,0.00939,2.52,94996,892,472769,4860594,51.17
MD,f,1946,25-29,0.00204,0.01015,2.58,94104,955,468206,4387825,46.63
MD,f,1946,30-34,0.00247,0.01228,2.58,93148,1144,462978,3919619,42.08
MD,f,1946,35-39,0.00323,0.01604,2.66,92005,1475,456576,3456641,37.57
MD,f,1946,40-44,0.00510,0.02518,2.65,90529,2280,447287,3000065,33.14
MD,f,1946,45-49,0.00695,0.03421,2.71,88250,3019,434330,2552778,28.93
MD,f,1946,50-54,0.01105,0.05383,2.61,85230,4588,415171,2118448,24.86
MD,f,1946,55-59,0.01481,0.07155,2.64,80642,5770,389607,1703277,21.12
MD,f,1946,60-64,0.02072,0.09876,2.64,74872,7395,356895,1313670,17.55
MD,f,1946,65-69,0.03189,0.14831,2.65,67478,10008,313821,956775,14.18
MD,f,1946,70-74,0.04920,0.22045,2.64,57470,12669,257498,642953,11.19
MD,f,1946,75-79,0.08054,0.33726,2.59,44801,15110,187613,385455,8.60
MD,f,1946,80-84,0.11520,0.44568,2.46,29691,13233,114869,197843,6.66
MD,f,1946,85-89,0.17054,0.58216,2.27,16458,9581,56182,82974,5.04
MD,f,1946,90-94,0.23434,0.70296,2.15,6877,4834,20629,26792,3.90
MD,f,1946,95-99,0.31571,0.80822,1.98,2043,1651,5230,6163,3.02
MD,f,1946,100-104,0.40990,0.88522,1.79,392,347,846,933,2.38
MD,f,1946,105-109,0.51129,0.93434,1.6,45,42,82,87,1.94
MD,f,1946,110+,0.59417,1.00000,1.68,3,3,5,5,1.68
MD,f,1947,0,0.02888,0.02818,0.13,100000,2818,97560,6836812,68.37
MD,f,1947,1-4,0.00144,0.00574,1.6,97182,558,387389,6739252,69.35
MD,f,1947,5-9,0.00050,0.00249,2.05,96624,240,482414,6351863,65.74
MD,f,1947,10-14,0.00056,0.00277,2.92,96384,267,481365,5869449,60.90
MD,f,1947,15-19,0.00121,0.00604,2.69,96117,581,479241,5388084,56.06
MD,f,1947,20-24,0.00158,0.00788,2.53,95536,753,475822,4908844,51.38
MD,f,1947,25-29,0.00174,0.00865,2.6,94784,820,471949,4433021,46.77
MD,f,1947,30-34,0.00228,0.01133,2.58,93964,1064,467246,3961072,42.16
MD,f,1947,35-39,0.00296,0.01471,2.66,92899,1367,461300,3493826,37.61
MD,f,1947,40-44,0.00486,0.02402,2.68,91532,2198,452564,3032526,33.13
MD,f,1947,45-49,0.00670,0.03299,2.64,89334,2947,439715,2579962,28.88
MD,f,1947,50-54,0.00998,0.04873,2.64,86387,4210,421988,2140247,24.78
MD,f,1947,55-59,0.01470,0.07107,2.69,82177,5840,397392,1718259,20.91
MD,f,1947,60-64,0.02188,0.10390,2.59,76337,7931,362572,1320866,17.30
MD,f,1947,65-69,0.03207,0.14914,2.66,68406,10202,318157,958295,14.01
MD,f,1947,70-74,0.05168,0.22989,2.6,58203,13380,258917,640138,11.00
MD,f,1947,75-79,0.07819,0.32842,2.56,44823,14721,188264,381221,8.51
MD,f,1947,80-84,0.12379,0.47129,2.47,30102,14187,114605,192957,6.41
MD,f,1947,85-89,0.17900,0.59778,2.22,15915,9514,53152,78352,4.92
MD,f,1947,90-94,0.23310,0.69989,2.15,6401,4480,19221,25200,3.94
MD,f,1947,95-99,0.30593,0.79664,1.99,1921,1530,5003,5980,3.11
MD,f,1947,100-104,0.38970,0.87075,1.82,391,340,873,977,2.50
MD,f,1947,105-109,0.48052,0.92137,1.65,50,47,97,104,2.06
MD,f,1947,110+,0.55505,1.00000,1.8,4,4,7,7,1.80
MD,f,1948,0,0.02380,0.02331,0.12,100000,2331,97948,6918089,69.18
MD,f,1948,1-4,0.00112,0.00448,1.82,97669,437,389726,6820141,69.83
MD,f,1948,5-9,0.00058,0.00290,2.39,97232,282,485424,6430415,66.13
MD,f,1948,10-14,0.00048,0.00238,2.78,96951,231,484239,5944991,61.32
MD,f,1948,15-19,0.00105,0.00523,2.63,96720,506,482400,5460752,56.46
MD,f,1948,20-24,0.00119,0.00595,2.57,96213,573,479674,4978352,51.74
MD,f,1948,25-29,0.00165,0.00822,2.63,95641,786,476342,4498678,47.04
MD,f,1948,30-34,0.00225,0.01117,2.58,94855,1059,471713,4022336,42.41
MD,f,1948,35-39,0.00301,0.01495,2.61,93796,1403,465633,3550623,37.85
MD,f,1948,40-44,0.00453,0.02243,2.67,92393,2072,457130,3084990,33.39
MD,f,1948,45-49,0.00666,0.03279,2.58,90321,2962,444433,2627860,29.09
MD,f,1948,50-54,0.00997,0.04870,2.62,87359,4254,426656,2183428,24.99
MD,f,1948,55-59,0.01401,0.06780,2.6,83105,5634,402012,1756772,21.14
MD,f,1948,60-64,0.02064,0.09824,2.55,77471,7611,368723,1354760,17.49
MD,f,1948,65-69,0.03344,0.15470,2.59,69860,10807,323223,986038,14.11
MD,f,1948,70-74,0.04912,0.21889,2.51,59053,12926,263137,662815,11.22
MD,f,1948,75-79,0.07866,0.32785,2.46,46127,15123,192247,399678,8.66
MD,f,1948,80-84,0.11005,0.42995,2.46,31004,13330,121131,207431,6.69
MD,f,1948,85-89,0.17285,0.59045,2.32,17674,10435,60371,86300,4.88
MD,f,1948,90-94,0.25589,0.73784,2.13,7238,5341,20871,25929,3.58
MD,f,1948,95-99,0.36068,0.85225,1.91,1898,1617,4484,5058,2.67
MD,f,1948,100-104,0.48049,0.92393,1.67,280,259,539,574,2.05
MD,f,1948,105-109,0.60322,0.96161,1.46,21,21,34,35,1.65
MD,f,1948,110+,0.69930,1.00000,1.43,1,1,1,1,1.43
MD,f,1949,0,0.02760,0.02695,0.13,100000,2695,97656,6946094,69.46
MD,f,1949,1-4,0.00123,0.00491,1.62,97305,478,388082,6848438,70.38
MD,f,1949,5-9,0.00059,0.00296,2.35,96827,287,483372,6460357,66.72
MD,f,1949,10-14,0.00053,0.00263,2.64,96540,254,482100,5976984,61.91
MD,f,1949,15-19,0.00090,0.00448,2.66,96286,431,480421,5494885,57.07
MD,f,1949,20-24,0.00116,0.00579,2.56,95855,555,477917,5014464,52.31
MD,f,1949,25-29,0.00144,0.00720,2.64,95299,686,474880,4536547,47.60
MD,f,1949,30-34,0.00214,0.01066,2.55,94613,1008,470594,4061668,42.93
MD,f,1949,35-39,0.00230,0.01143,2.6,93605,1070,465460,3591074,38.36
MD,f,1949,40-44,0.00422,0.02092,2.76,92535,1936,458332,3125614,33.78
MD,f,1949,45-49,0.00684,0.03362,2.55,90599,3046,445537,2667282,29.44
MD,f,1949,50-54,0.00941,0.04600,2.6,87553,4027,428100,2221744,25.38
MD,f,1949,55-59,0.01274,0.06181,2.59,83526,5162,405169,1793644,21.47
MD,f,1949,60-64,0.02003,0.09556,2.59,78363,7488,373788,1388476,17.72
MD,f,1949,65-69,0.03196,0.14842,2.6,70875,10519,329155,1014688,14.32
MD,f,1949,70-74,0.04885,0.21781,2.51,60356,13146,269099,685533,11.36
MD,f,1949,75-79,0.07599,0.31898,2.48,47210,15059,198170,416434,8.82
MD,f,1949,80-84,0.11084,0.43275,2.47,32151,13913,125522,218264,6.79
MD,f,1949,85-89,0.16735,0.57577,2.29,18238,10501,62748,92742,5.09
MD,f,1949,90-94,0.23478,0.70433,2.16,7737,5449,23211,29994,3.88
MD,f,1949,95-99,0.32129,0.81463,1.97,2288,1864,5800,6783,2.97
MD,f,1949,100-104,0.42177,0.89304,1.77,424,379,898,983,2.32
MD,f,1949,105-109,0.52934,0.94098,1.58,45,43,81,85,1.87
MD,f,1949,110+,0.61685,1.00000,1.62,3,3,4,4,1.62
MD,f,1950,0,0.02563,0.02507,0.12,100000,2507,97806,6998864,69.99
MD,f,1950,1-4,0.00111,0.00444,1.59,97493,433,388927,6901058,70.79
MD,f,1950,5-9,0.00049,0.00243,2.27,97060,236,484657,6512131,67.09
MD,f,1950,10-14,0.00045,0.00223,2.57,96824,216,483598,6027474,62.25
