MD: MD, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04274	0.04128	0.17	100000	4128	96584	6509484	65.09
1941-1944	1-4	0.00275	0.01092	1.49	95872	1047	380862	6412900	66.89
1941-1944	5-9	0.00097	0.00484	2.28	94824	459	472875	6032037	63.61
1941-1944	10-14	0.00074	0.00372	2.72	94365	351	471028	5559162	58.91
1941-1944	15-19	0.00159	0.00791	2.69	94015	743	468359	5088135	54.12
1941-1944	20-24	0.00207	0.01030	2.57	93271	960	464022	4619775	49.53
1941-1944	25-29	0.00242	0.01201	2.54	92311	1109	458832	4155753	45.02
1941-1944	30-34	0.00282	0.01402	2.57	91202	1279	452901	3696921	40.54
1941-1944	35-39	0.00386	0.01912	2.68	89923	1720	445621	3244020	36.08
1941-1944	40-44	0.00587	0.02895	2.61	88204	2553	434924	2798399	31.73
1941-1944	45-49	0.00821	0.04028	2.62	85650	3450	420029	2363474	27.59
1941-1944	50-54	0.01182	0.05747	2.62	82200	4724	399778	1943445	23.64
1941-1944	55-59	0.01677	0.08059	2.59	77476	6244	372325	1543667	19.92
1941-1944	60-64	0.02442	0.11544	2.63	71232	8223	336672	1171341	16.44
1941-1944	65-69	0.03731	0.17112	2.58	63009	10782	288954	834669	13.25
1941-1944	70-74	0.05763	0.25249	2.55	52227	13187	228812	545715	10.45
1941-1944	75-79	0.08785	0.35949	2.47	39041	14035	159762	316903	8.12
1941-1944	80-84	0.12541	0.47353	2.41	25006	11841	94420	157141	6.28
1941-1944	85-89	0.18185	0.60800	2.28	13165	8004	44016	62721	4.76
1941-1944	90-94	0.25470	0.73414	2.12	5161	3789	14875	18705	3.62
1941-1944	95-99	0.34392	0.83597	1.93	1372	1147	3335	3831	2.79
1941-1944	100-104	0.44549	0.90601	1.73	225	204	458	496	2.20
1941-1944	105-109	0.55209	0.94790	1.54	21	20	36	38	1.80
1941-1944	110+	0.63794	1.00000	1.57	1	1	2	2	1.57
1945-1949	0	0.02920	0.02848	0.13	100000	2848	97535	6827824	68.28
1945-1949	1-4	0.00147	0.00585	1.64	97152	569	387265	6730289	69.28
1945-1949	5-9	0.00066	0.00329	2.28	96583	317	482051	6343023	65.67
1945-1949	10-14	0.00061	0.00302	2.74	96266	291	480671	5860972	60.88
1945-1949	15-19	0.00118	0.00587	2.69	95975	564	478569	5380302	56.06
1945-1949	20-24	0.00156	0.00779	2.55	95411	743	475234	4901733	51.37
1945-1949	25-29	0.00182	0.00908	2.6	94668	859	471273	4426499	46.76
1945-1949	30-34	0.00239	0.01189	2.59	93808	1115	466353	3955225	42.16
1945-1949	35-39	0.00311	0.01544	2.63	92693	1431	460078	3488872	37.64
1945-1949	40-44	0.00479	0.02367	2.67	91262	2160	451277	3028794	33.19
1945-1949	45-49	0.00699	0.03436	2.64	89102	3061	438276	2577518	28.93
1945-1949	50-54	0.01035	0.05048	2.61	86040	4344	419811	2139242	24.86
1945-1949	55-59	0.01432	0.06925	2.63	81697	5657	395083	1719431	21.05
1945-1949	60-64	0.02118	0.10080	2.6	76039	7665	361832	1324348	17.42
1945-1949	65-69	0.03303	0.15310	2.62	68375	10468	316946	962516	14.08
1945-1949	70-74	0.05012	0.22344	2.57	57907	12939	258136	645570	11.15
1945-1949	75-79	0.07915	0.33100	2.53	44968	14884	188051	387434	8.62
1945-1949	80-84	0.11617	0.44837	2.46	30084	13489	116115	199382	6.63
1945-1949	85-89	0.17045	0.58353	2.3	16595	9684	56812	83267	5.02
1945-1949	90-94	0.23890	0.71042	2.15	6911	4910	20552	26455	3.83
1945-1949	95-99	0.32356	0.81654	1.97	2001	1634	5051	5903	2.95
1945-1949	100-104	0.42131	0.89246	1.77	367	328	778	852	2.32
1945-1949	105-109	0.52580	0.93960	1.58	39	37	71	74	1.89
1945-1949	110+	0.61084	1.00000	1.64	2	2	4	4	1.64
1950-1954	0	0.02477	0.02425	0.12	100000	2425	97872	7085855	70.86
1950-1954	1-4	0.00115	0.00459	1.64	97575	448	389244	6987983	71.62
1950-1954	5-9	0.00045	0.00224	2.1	97128	218	485006	6598739	67.94
1950-1954	10-14	0.00036	0.00178	2.71	96910	173	484154	6113734	63.09
1950-1954	15-19	0.00065	0.00325	2.7	96737	314	482962	5629580	58.19
1950-1954	20-24	0.00091	0.00455	2.6	96423	439	481060	5146617	53.38
1950-1954	25-29	0.00116	0.00580	2.6	95984	556	478587	4665557	48.61
1950-1954	30-34	0.00162	0.00808	2.66	95428	771	475333	4186970	43.88
1950-1954	35-39	0.00239	0.01191	2.65	94657	1127	470636	3711637	39.21
1950-1954	40-44	0.00364	0.01805	2.67	93530	1688	463712	3241001	34.65
1950-1954	45-49	0.00567	0.02799	2.67	91842	2571	453210	2777289	30.24
1950-1954	50-54	0.00831	0.04074	2.63	89271	3637	437744	2324079	26.03
