PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MD,m,1941-1944,0,0.05313,0.05093,0.19,100000,5093,95862,5996980,59.97
MD,m,1941-1944,1,0.00515,0.00514,0.5,94907,487,94663,5901118,62.18
MD,m,1941-1944,2,0.00291,0.00291,0.5,94420,275,94282,5806455,61.50
MD,m,1941-1944,3,0.00210,0.00210,0.5,94145,198,94046,5712172,60.67
MD,m,1941-1944,4,0.00168,0.00168,0.5,93947,158,93868,5618126,59.80
MD,m,1941-1944,5,0.00147,0.00147,0.5,93789,138,93720,5524258,58.90
MD,m,1941-1944,6,0.00136,0.00135,0.5,93651,127,93588,5430538,57.99
MD,m,1941-1944,7,0.00127,0.00126,0.5,93525,118,93465,5336950,57.06
MD,m,1941-1944,8,0.00117,0.00117,0.5,93406,109,93352,5243484,56.14
MD,m,1941-1944,9,0.00107,0.00107,0.5,93297,99,93247,5150133,55.20
MD,m,1941-1944,10,0.00097,0.00097,0.5,93197,91,93152,5056886,54.26
MD,m,1941-1944,11,0.00095,0.00095,0.5,93107,88,93063,4963733,53.31
MD,m,1941-1944,12,0.00102,0.00101,0.5,93019,94,92971,4870671,52.36
MD,m,1941-1944,13,0.00116,0.00116,0.5,92924,108,92870,4777699,51.41
MD,m,1941-1944,14,0.00140,0.00140,0.5,92816,130,92751,4684829,50.47
MD,m,1941-1944,15,0.00169,0.00169,0.5,92687,157,92608,4592077,49.54
MD,m,1941-1944,16,0.00196,0.00195,0.5,92530,181,92440,4499469,48.63
MD,m,1941-1944,17,0.00218,0.00217,0.5,92349,201,92249,4407029,47.72
MD,m,1941-1944,18,0.00235,0.00235,0.5,92148,216,92040,4314781,46.82
MD,m,1941-1944,19,0.00245,0.00245,0.5,91932,225,91820,4222740,45.93
MD,m,1941-1944,20,0.00251,0.00251,0.5,91707,230,91592,4130921,45.04
MD,m,1941-1944,21,0.00257,0.00256,0.5,91477,234,91360,4039329,44.16
MD,m,1941-1944,22,0.00262,0.00262,0.5,91243,239,91123,3947969,43.27
MD,m,1941-1944,23,0.00272,0.00272,0.5,91004,247,90880,3856845,42.38
MD,m,1941-1944,24,0.00285,0.00285,0.5,90756,258,90627,3765965,41.50
MD,m,1941-1944,25,0.00299,0.00298,0.5,90498,270,90363,3675338,40.61
MD,m,1941-1944,26,0.00311,0.00310,0.5,90228,280,90088,3584975,39.73
MD,m,1941-1944,27,0.00321,0.00320,0.5,89948,288,89804,3494887,38.85
MD,m,1941-1944,28,0.00332,0.00331,0.5,89660,297,89512,3405082,37.98
MD,m,1941-1944,29,0.00344,0.00343,0.5,89363,307,89210,3315571,37.10
MD,m,1941-1944,30,0.00359,0.00358,0.5,89056,319,88897,3226361,36.23
MD,m,1941-1944,31,0.00374,0.00374,0.5,88738,332,88572,3137464,35.36
MD,m,1941-1944,32,0.00396,0.00395,0.5,88406,349,88231,3048892,34.49
MD,m,1941-1944,33,0.00426,0.00425,0.5,88057,374,87870,2960661,33.62
MD,m,1941-1944,34,0.00463,0.00462,0.5,87683,405,87480,2872792,32.76
MD,m,1941-1944,35,0.00508,0.00507,0.5,87278,442,87057,2785311,31.91
MD,m,1941-1944,36,0.00546,0.00544,0.5,86835,473,86599,2698255,31.07
MD,m,1941-1944,37,0.00589,0.00587,0.5,86363,507,86109,2611656,30.24
MD,m,1941-1944,38,0.00646,0.00644,0.5,85856,553,85579,2525546,29.42
MD,m,1941-1944,39,0.00697,0.00694,0.5,85303,592,85007,2439967,28.60
MD,m,1941-1944,40,0.00745,0.00742,0.5,84711,629,84396,2354960,27.80
MD,m,1941-1944,41,0.00781,0.00778,0.5,84082,654,83755,2270564,27.00
MD,m,1941-1944,42,0.00827,0.00824,0.5,83428,687,83084,2186809,26.21
MD,m,1941-1944,43,0.00888,0.00884,0.5,82741,731,82375,2103724,25.43
MD,m,1941-1944,44,0.00969,0.00965,0.5,82010,791,81614,2021349,24.65
MD,m,1941-1944,45,0.01089,0.01083,0.5,81219,880,80779,1939735,23.88
MD,m,1941-1944,46,0.01179,0.01172,0.5,80339,942,79868,1858956,23.14
MD,m,1941-1944,47,0.01276,0.01268,0.5,79397,1007,78894,1779088,22.41
MD,m,1941-1944,48,0.01409,0.01400,0.5,78390,1097,77842,1700195,21.69
MD,m,1941-1944,49,0.01533,0.01521,0.5,77293,1176,76705,1622353,20.99
