ME: ME, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05157	0.04950	0.19	100000	4950	95998	6513087	65.13
1941-1944	1-4	0.00271	0.01078	1.51	95050	1025	377642	6417089	67.51
1941-1944	5-9	0.00109	0.00541	2.35	94025	509	468775	6039447	64.23
1941-1944	10-14	0.00102	0.00510	2.6	93516	477	466433	5570672	59.57
1941-1944	15-19	0.00145	0.00724	2.64	93038	673	463605	5104239	54.86
1941-1944	20-24	0.00198	0.00983	2.58	92365	908	459631	4640634	50.24
1941-1944	25-29	0.00210	0.01044	2.5	91457	955	454897	4181004	45.72
1941-1944	30-34	0.00235	0.01170	2.59	90503	1059	449962	3726107	41.17
1941-1944	35-39	0.00339	0.01682	2.66	89444	1504	443704	3276146	36.63
1941-1944	40-44	0.00486	0.02402	2.63	87939	2112	434681	2832442	32.21
1941-1944	45-49	0.00706	0.03470	2.64	85827	2978	422097	2397761	27.94
1941-1944	50-54	0.01042	0.05086	2.65	82849	4214	404340	1975664	23.85
1941-1944	55-59	0.01584	0.07636	2.63	78635	6004	378972	1571324	19.98
1941-1944	60-64	0.02423	0.11455	2.63	72631	8320	343420	1192352	16.42
1941-1944	65-69	0.03591	0.16526	2.59	64311	10628	295964	848932	13.20
1941-1944	70-74	0.05615	0.24694	2.56	53683	13257	236088	552968	10.30
1941-1944	75-79	0.08693	0.35748	2.52	40426	14451	166234	316881	7.84
1941-1944	80-84	0.13661	0.50408	2.4	25975	13093	95842	150647	5.80
1941-1944	85-89	0.20641	0.65785	2.24	12882	8474	41055	54805	4.25
1941-1944	90-94	0.30111	0.79537	2.03	4407	3506	11642	13751	3.12
1941-1944	95-99	0.41659	0.89186	1.79	902	804	1931	2109	2.34
1941-1944	100-104	0.54302	0.94655	1.56	98	92	170	178	1.82
1941-1944	105-109	0.66573	0.97307	1.36	5	5	8	8	1.50
1941-1944	110+	0.75787	1.00000	1.32	0	0	0	0	1.32
1945-1949	0	0.03905	0.03780	0.16	100000	3780	96812	6764426	67.64
1945-1949	1-4	0.00179	0.00713	1.63	96220	686	383252	6667614	69.30
1945-1949	5-9	0.00087	0.00433	2.25	95534	413	476535	6284362	65.78
1945-1949	10-14	0.00072	0.00358	2.69	95121	340	474817	5807827	61.06
1945-1949	15-19	0.00130	0.00647	2.64	94781	614	472456	5333010	56.27
1945-1949	20-24	0.00142	0.00707	2.49	94167	666	469166	4860554	51.62
1945-1949	25-29	0.00159	0.00791	2.6	93501	740	465734	4391388	46.97
1945-1949	30-34	0.00214	0.01065	2.6	92761	988	461433	3925654	42.32
1945-1949	35-39	0.00280	0.01390	2.64	91773	1276	455855	3464221	37.75
1945-1949	40-44	0.00441	0.02181	2.66	90498	1974	447871	3008366	33.24
1945-1949	45-49	0.00629	0.03099	2.65	88524	2744	436182	2560495	28.92
1945-1949	50-54	0.00995	0.04859	2.63	85780	4168	419028	2124313	24.76
1945-1949	55-59	0.01408	0.06812	2.63	81612	5559	394886	1705285	20.89
1945-1949	60-64	0.02137	0.10168	2.63	76053	7733	361905	1310399	17.23
1945-1949	65-69	0.03349	0.15502	2.61	68320	10591	316235	948494	13.88
1945-1949	70-74	0.05046	0.22482	2.58	57729	12978	257209	632259	10.95
1945-1949	75-79	0.08084	0.33659	2.52	44750	15062	186322	375051	8.38
1945-1949	80-84	0.11824	0.45400	2.44	29688	13478	113985	188728	6.36
1945-1949	85-89	0.18553	0.61767	2.29	16210	10012	53965	74743	4.61
1945-1949	90-94	0.27632	0.76603	2.09	6198	4747	17181	20778	3.35
1945-1949	95-99	0.39017	0.87508	1.85	1450	1269	3252	3598	2.48
1945-1949	100-104	0.51803	0.93872	1.6	181	170	328	345	1.91
1945-1949	105-109	0.64479	0.96980	1.4	11	11	17	17	1.54
1945-1949	110+	0.74099	1.00000	1.35	0	0	0	0	1.35
1950-1954	0	0.02929	0.02856	0.13	100000	2856	97514	6957555	69.58
1950-1954	1-4	0.00148	0.00589	1.6	97144	572	387201	6860040	70.62
1950-1954	5-9	0.00062	0.00309	2.3	96572	298	482055	6472839	67.03
1950-1954	10-14	0.00049	0.00243	2.65	96274	234	480821	5990784	62.23
1950-1954	15-19	0.00092	0.00459	2.71	96040	441	479187	5509963	57.37
1950-1954	20-24	0.00123	0.00612	2.53	95599	585	476549	5030777	52.62
1950-1954	25-29	0.00125	0.00621	2.54	95014	590	473617	4554228	47.93
1950-1954	30-34	0.00158	0.00786	2.6	94423	742	470339	4080611	43.22
1950-1954	35-39	0.00215	0.01069	2.67	93681	1002	466075	3610273	38.54
1950-1954	40-44	0.00356	0.01764	2.69	92680	1635	459624	3144198	33.93
1950-1954	45-49	0.00577	0.02847	2.67	91045	2592	449188	2684573	29.49
1950-1954	50-54	0.00861	0.04218	2.65	88453	3731	433489	2235386	25.27
1950-1954	55-59	0.01350	0.06543	2.65	84721	5543	410572	1801897	21.27
1950-1954	60-64	0.02117	0.10081	2.64	79178	7982	377054	1391325	17.57
1950-1954	65-69	0.03165	0.14705	2.59	71196	10470	330765	1014270	14.25
1950-1954	70-74	0.04824	0.21609	2.59	60726	13122	271996	683505	11.26
1950-1954	75-79	0.07642	0.32108	2.51	47604	15285	199999	411509	8.64
1950-1954	80-84	0.11435	0.44252	2.45	32319	14302	125069	211510	6.54
1950-1954	85-89	0.17660	0.59877	2.31	18017	10788	61087	86441	4.80
1950-1954	90-94	0.26229	0.74699	2.12	7229	5400	20588	25354	3.51
1950-1954	95-99	0.36982	0.85968	1.89	1829	1572	4252	4766	2.61
1950-1954	100-104	0.49181	0.92868	1.65	257	238	485	514	2.00
1950-1954	105-109	0.61545	0.96420	1.44	18	18	29	30	1.62
1950-1954	110+	0.71144	1.00000	1.41	1	1	1	1	1.41
1955-1959	0	0.02605	0.02547	0.12	100000	2547	97760	7031922	70.32
1955-1959	1-4	0.00113	0.00449	1.62	97453	438	388771	6934161	71.15
1955-1959	5-9	0.00050	0.00248	2.23	97015	240	484411	6545390	67.47
1955-1959	10-14	0.00040	0.00202	2.65	96775	196	483416	6060979	62.63
1955-1959	15-19	0.00087	0.00435	2.76	96579	420	481956	5577563	57.75
1955-1959	20-24	0.00119	0.00594	2.44	96159	572	479332	5095607	52.99
1955-1959	25-29	0.00121	0.00603	2.55	95587	576	476527	4616275	48.29
1955-1959	30-34	0.00144	0.00716	2.6	95011	680	473421	4139748	43.57
1955-1959	35-39	0.00207	0.01028	2.63	94331	969	469352	3666327	38.87
1955-1959	40-44	0.00320	0.01586	2.69	93361	1481	463387	3196975	34.24
