PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ME,f,1941,0,0.04839,0.04656,0.19,100000,4656,96222,6685895,66.86
ME,f,1941,1,0.00485,0.00483,0.5,95344,461,95113,6589674,69.11
ME,f,1941,2,0.00166,0.00166,0.5,94883,157,94804,6494560,68.45
ME,f,1941,3,0.00128,0.00128,0.5,94726,121,94665,6399756,67.56
ME,f,1941,4,0.00195,0.00195,0.5,94604,184,94512,6305091,66.65
ME,f,1941,5,0.00161,0.00161,0.5,94420,152,94344,6210579,65.78
ME,f,1941,6,0.00113,0.00113,0.5,94267,106,94214,6116235,64.88
ME,f,1941,7,0.00079,0.00079,0.5,94161,75,94124,6022021,63.95
ME,f,1941,8,0.00056,0.00056,0.5,94087,53,94060,5927897,63.00
ME,f,1941,9,0.00047,0.00047,0.5,94033,44,94011,5833837,62.04
ME,f,1941,10,0.00050,0.00050,0.5,93990,47,93966,5739826,61.07
ME,f,1941,11,0.00055,0.00055,0.5,93943,52,93917,5645860,60.10
ME,f,1941,12,0.00059,0.00059,0.5,93891,56,93863,5551943,59.13
ME,f,1941,13,0.00062,0.00062,0.5,93836,58,93806,5458079,58.17
ME,f,1941,14,0.00065,0.00065,0.5,93777,61,93747,5364273,57.20
ME,f,1941,15,0.00069,0.00069,0.5,93716,64,93684,5270526,56.24
ME,f,1941,16,0.00074,0.00074,0.5,93652,69,93617,5176842,55.28
ME,f,1941,17,0.00086,0.00086,0.5,93582,80,93542,5083225,54.32
ME,f,1941,18,0.00103,0.00103,0.5,93502,96,93454,4989683,53.36
ME,f,1941,19,0.00122,0.00122,0.5,93406,114,93349,4896229,52.42
ME,f,1941,20,0.00149,0.00149,0.5,93292,139,93223,4802879,51.48
ME,f,1941,21,0.00179,0.00179,0.5,93153,166,93070,4709657,50.56
ME,f,1941,22,0.00201,0.00200,0.5,92987,186,92894,4616586,49.65
ME,f,1941,23,0.00214,0.00214,0.5,92801,198,92701,4523693,48.75
ME,f,1941,24,0.00222,0.00222,0.5,92602,205,92500,4430991,47.85
ME,f,1941,25,0.00225,0.00225,0.5,92397,208,92293,4338492,46.95
ME,f,1941,26,0.00222,0.00222,0.5,92189,204,92087,4246198,46.06
ME,f,1941,27,0.00217,0.00217,0.5,91985,199,91885,4154111,45.16
ME,f,1941,28,0.00215,0.00215,0.5,91785,197,91687,4062226,44.26
ME,f,1941,29,0.00212,0.00211,0.5,91588,194,91491,3970540,43.35
ME,f,1941,30,0.00206,0.00205,0.5,91394,188,91301,3879049,42.44
ME,f,1941,31,0.00201,0.00201,0.5,91207,183,91115,3787748,41.53
ME,f,1941,32,0.00207,0.00206,0.5,91024,188,90930,3696633,40.61
ME,f,1941,33,0.00218,0.00218,0.5,90836,198,90737,3605703,39.69
ME,f,1941,34,0.00234,0.00234,0.5,90638,212,90532,3514966,38.78
ME,f,1941,35,0.00262,0.00262,0.5,90426,237,90308,3424433,37.87
ME,f,1941,36,0.00286,0.00285,0.5,90189,257,90060,3334126,36.97
ME,f,1941,37,0.00314,0.00313,0.5,89932,282,89791,3244065,36.07
ME,f,1941,38,0.00349,0.00349,0.5,89650,313,89494,3154274,35.18
ME,f,1941,39,0.00374,0.00373,0.5,89337,333,89171,3064781,34.31
ME,f,1941,40,0.00394,0.00393,0.5,89004,350,88829,2975610,33.43
ME,f,1941,41,0.00420,0.00419,0.5,88654,372,88468,2886781,32.56
ME,f,1941,42,0.00474,0.00473,0.5,88282,418,88074,2798313,31.70
ME,f,1941,43,0.00500,0.00499,0.5,87865,438,87646,2710239,30.85
ME,f,1941,44,0.00517,0.00516,0.5,87426,451,87201,2622594,30.00
ME,f,1941,45,0.00567,0.00565,0.5,86975,492,86730,2535393,29.15
ME,f,1941,46,0.00599,0.00597,0.5,86484,516,86226,2448663,28.31
ME,f,1941,47,0.00637,0.00635,0.5,85968,546,85695,2362437,27.48
ME,f,1941,48,0.00663,0.00661,0.5,85422,564,85139,2276743,26.65
ME,f,1941,49,0.00681,0.00679,0.5,84857,576,84569,2191603,25.83
ME,f,1941,50,0.00723,0.00721,0.5,84281,608,83977,2107034,25.00
ME,f,1941,51,0.00773,0.00770,0.5,83674,645,83351,2023057,24.18
ME,f,1941,52,0.00873,0.00869,0.5,83029,722,82668,1939705,23.36
ME,f,1941,53,0.00953,0.00949,0.5,82307,781,81917,1857037,22.56
ME,f,1941,54,0.01039,0.01034,0.5,81527,843,81105,1775120,21.77
ME,f,1941,55,0.01189,0.01182,0.5,80684,954,80207,1694015,21.00
ME,f,1941,56,0.01312,0.01304,0.5,79730,1039,79210,1613808,20.24
ME,f,1941,57,0.01429,0.01419,0.5,78691,1116,78133,1534597,19.50
ME,f,1941,58,0.01545,0.01533,0.5,77574,1189,76980,1456465,18.78
ME,f,1941,59,0.01605,0.01593,0.5,76385,1216,75777,1379485,18.06
ME,f,1941,60,0.01633,0.01619,0.5,75169,1217,74560,1303708,17.34
ME,f,1941,61,0.01719,0.01705,0.5,73952,1261,73321,1229148,16.62
ME,f,1941,62,0.01985,0.01966,0.5,72691,1429,71976,1155826,15.90
ME,f,1941,63,0.02180,0.02156,0.5,71262,1537,70494,1083850,15.21
ME,f,1941,64,0.02225,0.02200,0.5,69725,1534,68958,1013356,14.53
ME,f,1941,65,0.02423,0.02394,0.5,68191,1633,67375,944398,13.85
ME,f,1941,66,0.02571,0.02538,0.5,66559,1690,65714,877023,13.18
ME,f,1941,67,0.02932,0.02889,0.5,64869,1874,63932,811309,12.51
ME,f,1941,68,0.03515,0.03455,0.5,62995,2176,61907,747377,11.86
ME,f,1941,69,0.03902,0.03827,0.5,60819,2328,59655,685470,11.27
ME,f,1941,70,0.04341,0.04249,0.5,58491,2485,57248,625816,10.70
ME,f,1941,71,0.04760,0.04650,0.5,56006,2604,54704,568568,10.15
ME,f,1941,72,0.05504,0.05356,0.5,53402,2860,51971,513864,9.62
ME,f,1941,73,0.06138,0.05956,0.5,50541,3010,49036,461893,9.14
ME,f,1941,74,0.06444,0.06242,0.5,47531,2967,46048,412857,8.69
ME,f,1941,75,0.07053,0.06813,0.5,44564,3036,43046,366809,8.23
ME,f,1941,76,0.07388,0.07125,0.5,41528,2959,40048,323763,7.80
ME,f,1941,77,0.08016,0.07707,0.5,38569,2972,37083,283715,7.36
ME,f,1941,78,0.09639,0.09196,0.5,35597,3274,33960,246632,6.93
ME,f,1941,79,0.10164,0.09673,0.5,32323,3127,30760,212672,6.58
ME,f,1941,80,0.10017,0.09539,0.5,29197,2785,27804,181912,6.23
ME,f,1941,81,0.11075,0.10494,0.5,26411,2772,25026,154108,5.83
ME,f,1941,82,0.12191,0.11491,0.5,23640,2716,22282,129083,5.46
ME,f,1941,83,0.13470,0.12620,0.5,20923,2641,19603,106801,5.10
ME,f,1941,84,0.14894,0.13861,0.5,18283,2534,17016,87198,4.77
ME,f,1941,85,0.16416,0.15171,0.5,15749,2389,14554,70182,4.46
ME,f,1941,86,0.18061,0.16565,0.5,13359,2213,12253,55628,4.16
ME,f,1941,87,0.19832,0.18042,0.5,11146,2011,10141,43375,3.89
ME,f,1941,88,0.21730,0.19600,0.5,9135,1791,8240,33234,3.64
ME,f,1941,89,0.23756,0.21234,0.5,7345,1560,6565,24994,3.40
ME,f,1941,90,0.25908,0.22937,0.5,5785,1327,5122,18429,3.19
ME,f,1941,91,0.28184,0.24703,0.5,4458,1101,3908,13308,2.98
ME,f,1941,92,0.30576,0.26522,0.5,3357,890,2912,9400,2.80
ME,f,1941,93,0.33079,0.28384,0.5,2467,700,2117,6488,2.63
ME,f,1941,94,0.35681,0.30279,0.5,1766,535,1499,4372,2.47
ME,f,1941,95,0.38370,0.32194,0.5,1232,397,1033,2873,2.33
ME,f,1941,96,0.41132,0.34116,0.5,835,285,693,1839,2.20
ME,f,1941,97,0.43951,0.36033,0.5,550,198,451,1147,2.08
ME,f,1941,98,0.46810,0.37932,0.5,352,134,285,696,1.98
ME,f,1941,99,0.49690,0.39802,0.5,218,87,175,410,1.88
ME,f,1941,100,0.52572,0.41630,0.5,132,55,104,235,1.79
ME,f,1941,101,0.55437,0.43406,0.5,77,33,60,131,1.71
ME,f,1941,102,0.58267,0.45121,0.5,43,20,34,71,1.64
ME,f,1941,103,0.61043,0.46768,0.5,24,11,18,37,1.57
ME,f,1941,104,0.63749,0.48341,0.5,13,6,10,19,1.51
ME,f,1941,105,0.66370,0.49833,0.5,7,3,5,10,1.46
ME,f,1941,106,0.68895,0.51243,0.5,3,2,2,5,1.41
ME,f,1941,107,0.71312,0.52568,0.5,2,1,1,2,1.37
ME,f,1941,108,0.73613,0.53808,0.5,1,0,1,1,1.33
ME,f,1941,109,0.75793,0.54963,0.5,0,0,0,0,1.30
ME,f,1941,110+,0.77846,1.00000,1.28,0,0,0,0,1.28
ME,f,1942,0,0.03970,0.03843,0.16,100000,3843,96788,6779173,67.79
ME,f,1942,1,0.00574,0.00572,0.5,96157,550,95882,6682385,69.49
ME,f,1942,2,0.00226,0.00226,0.5,95607,216,95499,6586503,68.89
ME,f,1942,3,0.00135,0.00135,0.5,95391,129,95326,6491004,68.05
ME,f,1942,4,0.00085,0.00085,0.5,95262,81,95221,6395677,67.14
ME,f,1942,5,0.00079,0.00079,0.5,95181,76,95143,6300456,66.19
ME,f,1942,6,0.00088,0.00088,0.5,95105,84,95063,6205313,65.25
ME,f,1942,7,0.00095,0.00095,0.5,95021,90,94976,6110250,64.30
ME,f,1942,8,0.00100,0.00100,0.5,94931,95,94884,6015274,63.36
ME,f,1942,9,0.00099,0.00099,0.5,94837,94,94790,5920390,62.43
ME,f,1942,10,0.00093,0.00093,0.5,94743,88,94699,5825600,61.49
ME,f,1942,11,0.00090,0.00090,0.5,94655,85,94612,5730901,60.55
ME,f,1942,12,0.00089,0.00089,0.5,94570,84,94528,5636288,59.60
ME,f,1942,13,0.00086,0.00086,0.5,94486,82,94445,5541761,58.65
ME,f,1942,14,0.00083,0.00083,0.5,94404,79,94365,5447316,57.70
ME,f,1942,15,0.00082,0.00082,0.5,94325,78,94287,5352951,56.75
ME,f,1942,16,0.00084,0.00084,0.5,94248,79,94208,5258664,55.80
ME,f,1942,17,0.00088,0.00088,0.5,94168,82,94127,5164456,54.84
ME,f,1942,18,0.00096,0.00096,0.5,94086,91,94041,5070329,53.89
ME,f,1942,19,0.00111,0.00111,0.5,93995,104,93943,4976288,52.94
ME,f,1942,20,0.00124,0.00124,0.5,93891,117,93833,4882345,52.00
ME,f,1942,21,0.00141,0.00140,0.5,93775,132,93709,4788512,51.06
ME,f,1942,22,0.00158,0.00158,0.5,93643,148,93569,4694803,50.14
ME,f,1942,23,0.00170,0.00170,0.5,93495,159,93415,4601234,49.21
ME,f,1942,24,0.00176,0.00176,0.5,93336,165,93253,4507819,48.30
ME,f,1942,25,0.00179,0.00179,0.5,93171,167,93088,4414566,47.38
ME,f,1942,26,0.00181,0.00181,0.5,93004,168,92920,4321478,46.47
ME,f,1942,27,0.00177,0.00177,0.5,92836,164,92754,4228558,45.55
ME,f,1942,28,0.00171,0.00171,0.5,92672,158,92593,4135804,44.63
ME,f,1942,29,0.00166,0.00166,0.5,92514,154,92437,4043211,43.70
ME,f,1942,30,0.00161,0.00160,0.5,92360,148,92286,3950775,42.78
ME,f,1942,31,0.00158,0.00158,0.5,92212,146,92139,3858489,41.84
ME,f,1942,32,0.00162,0.00162,0.5,92066,149,91991,3766350,40.91
ME,f,1942,33,0.00178,0.00178,0.5,91917,163,91835,3674359,39.97
ME,f,1942,34,0.00202,0.00201,0.5,91754,185,91661,3582523,39.05
ME,f,1942,35,0.00233,0.00233,0.5,91569,213,91462,3490862,38.12
ME,f,1942,36,0.00278,0.00278,0.5,91356,254,91229,3399400,37.21
ME,f,1942,37,0.00322,0.00321,0.5,91102,292,90956,3308171,36.31
