ME: ME, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04429	0.04273	0.18	100000	4273	96483	6739155	67.39
1941-1944	1	0.00495	0.00494	0.5	95727	473	95490	6642672	69.39
1941-1944	2	0.00216	0.00215	0.5	95254	205	95151	6547182	68.73
1941-1944	3	0.00149	0.00149	0.5	95049	141	94978	6452030	67.88
1941-1944	4	0.00138	0.00138	0.5	94907	131	94842	6357052	66.98
1941-1944	5	0.00118	0.00118	0.5	94777	112	94721	6262211	66.07
1941-1944	6	0.00103	0.00103	0.5	94665	97	94616	6167490	65.15
1941-1944	7	0.00092	0.00092	0.5	94568	87	94524	6072874	64.22
1941-1944	8	0.00085	0.00085	0.5	94481	80	94441	5978350	63.28
1941-1944	9	0.00079	0.00079	0.5	94401	75	94363	5883909	62.33
1941-1944	10	0.00076	0.00076	0.5	94326	72	94290	5789546	61.38
1941-1944	11	0.00074	0.00074	0.5	94254	70	94219	5695255	60.42
1941-1944	12	0.00073	0.00073	0.5	94184	69	94150	5601036	59.47
1941-1944	13	0.00073	0.00073	0.5	94116	69	94081	5506886	58.51
1941-1944	14	0.00075	0.00075	0.5	94047	70	94011	5412805	57.55
1941-1944	15	0.00077	0.00077	0.5	93976	72	93940	5318794	56.60
1941-1944	16	0.00081	0.00081	0.5	93904	76	93866	5224853	55.64
1941-1944	17	0.00090	0.00089	0.5	93828	84	93786	5130987	54.69
1941-1944	18	0.00101	0.00101	0.5	93744	95	93697	5037201	53.73
1941-1944	19	0.00116	0.00115	0.5	93649	108	93595	4943504	52.79
1941-1944	20	0.00134	0.00134	0.5	93541	125	93479	4849909	51.85
1941-1944	21	0.00152	0.00152	0.5	93416	142	93345	4756430	50.92
1941-1944	22	0.00169	0.00169	0.5	93274	157	93196	4663085	49.99
1941-1944	23	0.00184	0.00184	0.5	93117	171	93032	4569889	49.08
1941-1944	24	0.00196	0.00195	0.5	92946	182	92855	4476858	48.17
1941-1944	25	0.00203	0.00203	0.5	92765	188	92670	4384002	47.26
1941-1944	26	0.00208	0.00207	0.5	92576	192	92480	4291332	46.35
1941-1944	27	0.00209	0.00209	0.5	92384	193	92288	4198852	45.45
1941-1944	28	0.00208	0.00208	0.5	92191	192	92095	4106564	44.54
1941-1944	29	0.00205	0.00205	0.5	91999	188	91905	4014468	43.64
1941-1944	30	0.00201	0.00200	0.5	91811	184	91719	3922563	42.72
1941-1944	31	0.00199	0.00199	0.5	91627	182	91536	3830844	41.81
1941-1944	32	0.00203	0.00202	0.5	91445	185	91352	3739308	40.89
1941-1944	33	0.00211	0.00211	0.5	91260	192	91164	3647956	39.97
1941-1944	34	0.00225	0.00225	0.5	91068	205	90965	3556792	39.06
1941-1944	35	0.00248	0.00248	0.5	90863	225	90750	3465827	38.14
1941-1944	36	0.00274	0.00273	0.5	90638	248	90514	3375077	37.24
1941-1944	37	0.00303	0.00303	0.5	90390	274	90253	3284563	36.34
1941-1944	38	0.00338	0.00338	0.5	90116	304	89964	3194310	35.45
1941-1944	39	0.00372	0.00371	0.5	89812	334	89645	3104346	34.56
1941-1944	40	0.00405	0.00404	0.5	89478	362	89298	3014701	33.69
1941-1944	41	0.00431	0.00430	0.5	89117	383	88925	2925403	32.83
1941-1944	42	0.00454	0.00453	0.5	88734	402	88532	2836478	31.97
1941-1944	43	0.00472	0.00471	0.5	88331	416	88123	2747945	31.11
1941-1944	44	0.00486	0.00485	0.5	87915	426	87702	2659822	30.25
1941-1944	45	0.00503	0.00502	0.5	87489	439	87269	2572120	29.40
1941-1944	46	0.00522	0.00520	0.5	87050	453	86823	2484850	28.55
1941-1944	47	0.00555	0.00553	0.5	86597	479	86357	2398027	27.69
1941-1944	48	0.00603	0.00602	0.5	86118	518	85859	2311670	26.84
1941-1944	49	0.00658	0.00656	0.5	85600	561	85319	2225811	26.00
1941-1944	50	0.00725	0.00722	0.5	85038	614	84731	2140492	25.17
1941-1944	51	0.00793	0.00790	0.5	84424	667	84091	2055761	24.35
1941-1944	52	0.00873	0.00869	0.5	83757	728	83393	1971670	23.54
1941-1944	53	0.00958	0.00954	0.5	83029	792	82633	1888277	22.74
1941-1944	54	0.01039	0.01034	0.5	82238	850	81812	1805643	21.96
1941-1944	55	0.01129	0.01123	0.5	81387	914	80930	1723831	21.18
1941-1944	56	0.01216	0.01208	0.5	80474	972	79987	1642900	20.42
1941-1944	57	0.01312	0.01304	0.5	79501	1036	78983	1562913	19.66
1941-1944	58	0.01427	0.01417	0.5	78465	1112	77909	1483930	18.91
1941-1944	59	0.01541	0.01529	0.5	77353	1183	76762	1406021	18.18
1941-1944	60	0.01664	0.01651	0.5	76171	1257	75542	1329259	17.45
1941-1944	61	0.01795	0.01779	0.5	74914	1333	74247	1253716	16.74
1941-1944	62	0.01954	0.01936	0.5	73581	1424	72869	1179469	16.03
