PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ME,m,1941-1949,0,0.04982,0.04786,0.18,100000,4786,96069,6430495,64.30
ME,m,1941-1949,1,0.00373,0.00372,0.5,95214,354,95037,6334426,66.53
ME,m,1941-1949,2,0.00227,0.00226,0.5,94860,215,94753,6239389,65.77
ME,m,1941-1949,3,0.00199,0.00199,0.5,94645,188,94551,6144636,64.92
ME,m,1941-1949,4,0.00146,0.00146,0.5,94457,138,94388,6050085,64.05
ME,m,1941-1949,5,0.00124,0.00124,0.5,94319,117,94261,5955697,63.14
ME,m,1941-1949,6,0.00116,0.00116,0.5,94202,110,94147,5861436,62.22
ME,m,1941-1949,7,0.00110,0.00110,0.5,94092,104,94041,5767289,61.29
ME,m,1941-1949,8,0.00104,0.00104,0.5,93989,98,93940,5673249,60.36
ME,m,1941-1949,9,0.00099,0.00099,0.5,93891,93,93844,5579309,59.42
ME,m,1941-1949,10,0.00095,0.00095,0.5,93798,89,93754,5485464,58.48
ME,m,1941-1949,11,0.00097,0.00097,0.5,93709,91,93664,5391711,57.54
ME,m,1941-1949,12,0.00103,0.00103,0.5,93618,97,93570,5298047,56.59
ME,m,1941-1949,13,0.00116,0.00116,0.5,93522,108,93468,5204477,55.65
ME,m,1941-1949,14,0.00134,0.00134,0.5,93413,125,93351,5111009,54.71
ME,m,1941-1949,15,0.00156,0.00156,0.5,93288,145,93216,5017659,53.79
ME,m,1941-1949,16,0.00174,0.00174,0.5,93143,162,93062,4924443,52.87
ME,m,1941-1949,17,0.00188,0.00188,0.5,92981,175,92893,4831381,51.96
ME,m,1941-1949,18,0.00198,0.00198,0.5,92806,183,92714,4738488,51.06
ME,m,1941-1949,19,0.00200,0.00200,0.5,92622,185,92530,4645774,50.16
ME,m,1941-1949,20,0.00198,0.00197,0.5,92437,182,92346,4553244,49.26
ME,m,1941-1949,21,0.00196,0.00196,0.5,92255,181,92164,4460898,48.35
ME,m,1941-1949,22,0.00196,0.00196,0.5,92074,180,91984,4368734,47.45
ME,m,1941-1949,23,0.00195,0.00195,0.5,91894,179,91804,4276751,46.54
ME,m,1941-1949,24,0.00195,0.00195,0.5,91714,179,91625,4184947,45.63
ME,m,1941-1949,25,0.00194,0.00194,0.5,91535,178,91447,4093322,44.72
ME,m,1941-1949,26,0.00196,0.00195,0.5,91358,178,91269,4001875,43.80
ME,m,1941-1949,27,0.00199,0.00199,0.5,91179,182,91088,3910607,42.89
ME,m,1941-1949,28,0.00206,0.00206,0.5,90998,187,90904,3819518,41.97
ME,m,1941-1949,29,0.00215,0.00215,0.5,90810,195,90713,3728614,41.06
ME,m,1941-1949,30,0.00225,0.00225,0.5,90615,204,90513,3637902,40.15
ME,m,1941-1949,31,0.00237,0.00236,0.5,90411,214,90304,3547388,39.24
ME,m,1941-1949,32,0.00248,0.00248,0.5,90198,224,90086,3457084,38.33
ME,m,1941-1949,33,0.00262,0.00261,0.5,89974,235,89856,3366998,37.42
ME,m,1941-1949,34,0.00277,0.00276,0.5,89739,248,89615,3277142,36.52
ME,m,1941-1949,35,0.00295,0.00294,0.5,89491,263,89359,3187528,35.62
ME,m,1941-1949,36,0.00314,0.00314,0.5,89227,280,89087,3098169,34.72
ME,m,1941-1949,37,0.00338,0.00337,0.5,88947,300,88797,3009081,33.83
ME,m,1941-1949,38,0.00368,0.00367,0.5,88647,326,88485,2920284,32.94
ME,m,1941-1949,39,0.00404,0.00403,0.5,88322,356,88144,2831799,32.06
ME,m,1941-1949,40,0.00442,0.00441,0.5,87966,388,87772,2743656,31.19
ME,m,1941-1949,41,0.00481,0.00480,0.5,87578,420,87368,2655883,30.33
ME,m,1941-1949,42,0.00529,0.00528,0.5,87158,460,86928,2568515,29.47
ME,m,1941-1949,43,0.00581,0.00580,0.5,86698,502,86447,2481587,28.62
ME,m,1941-1949,44,0.00631,0.00629,0.5,86195,542,85924,2395141,27.79
ME,m,1941-1949,45,0.00685,0.00683,0.5,85653,585,85361,2309216,26.96
ME,m,1941-1949,46,0.00739,0.00736,0.5,85069,626,84755,2223855,26.14
ME,m,1941-1949,47,0.00797,0.00794,0.5,84442,670,84107,2139100,25.33
ME,m,1941-1949,48,0.00864,0.00860,0.5,83772,721,83412,2054993,24.53
ME,m,1941-1949,49,0.00941,0.00937,0.5,83051,778,82662,1971581,23.74
ME,m,1941-1949,50,0.01025,0.01020,0.5,82273,839,81854,1888919,22.96
ME,m,1941-1949,51,0.01106,0.01100,0.5,81435,896,80987,1807065,22.19
ME,m,1941-1949,52,0.01199,0.01192,0.5,80539,960,80059,1726078,21.43
ME,m,1941-1949,53,0.01302,0.01293,0.5,79578,1029,79064,1646020,20.68
ME,m,1941-1949,54,0.01405,0.01395,0.5,78549,1096,78002,1566956,19.95
ME,m,1941-1949,55,0.01517,0.01506,0.5,77454,1166,76871,1488954,19.22
ME,m,1941-1949,56,0.01641,0.01627,0.5,76287,1241,75667,1412084,18.51
ME,m,1941-1949,57,0.01784,0.01769,0.5,75046,1327,74382,1336417,17.81
ME,m,1941-1949,58,0.01944,0.01925,0.5,73719,1419,73009,1262035,17.12
ME,m,1941-1949,59,0.02114,0.02092,0.5,72300,1512,71544,1189026,16.45
ME,m,1941-1949,60,0.02292,0.02266,0.5,70787,1604,69986,1117482,15.79
ME,m,1941-1949,61,0.02479,0.02449,0.5,69184,1694,68337,1047496,15.14
ME,m,1941-1949,62,0.02708,0.02672,0.5,67489,1803,66588,979160,14.51
ME,m,1941-1949,63,0.02955,0.02912,0.5,65686,1912,64730,912572,13.89
ME,m,1941-1949,64,0.03196,0.03146,0.5,63774,2006,62770,847842,13.29
