PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,f,1941-1949,0,0.03156,0.03072,0.14,100000,3072,97362,6909915,69.10
MI,f,1941-1949,1,0.00264,0.00264,0.5,96928,256,96800,6812553,70.28
MI,f,1941-1949,2,0.00141,0.00141,0.5,96672,136,96604,6715754,69.47
MI,f,1941-1949,3,0.00116,0.00116,0.5,96536,112,96480,6619150,68.57
MI,f,1941-1949,4,0.00094,0.00094,0.5,96424,91,96379,6522670,67.65
MI,f,1941-1949,5,0.00080,0.00080,0.5,96334,77,96295,6426291,66.71
MI,f,1941-1949,6,0.00073,0.00073,0.5,96256,70,96221,6329996,65.76
MI,f,1941-1949,7,0.00067,0.00067,0.5,96186,65,96154,6233775,64.81
MI,f,1941-1949,8,0.00063,0.00062,0.5,96122,60,96091,6137621,63.85
MI,f,1941-1949,9,0.00058,0.00058,0.5,96061,56,96033,6041529,62.89
MI,f,1941-1949,10,0.00055,0.00055,0.5,96006,53,95979,5945496,61.93
MI,f,1941-1949,11,0.00054,0.00054,0.5,95953,52,95927,5849517,60.96
MI,f,1941-1949,12,0.00056,0.00056,0.5,95900,54,95873,5753590,60.00
MI,f,1941-1949,13,0.00061,0.00061,0.5,95846,58,95817,5657717,59.03
MI,f,1941-1949,14,0.00067,0.00067,0.5,95788,65,95756,5561899,58.06
MI,f,1941-1949,15,0.00076,0.00076,0.5,95724,73,95687,5466144,57.10
MI,f,1941-1949,16,0.00084,0.00084,0.5,95651,81,95611,5370456,56.15
MI,f,1941-1949,17,0.00092,0.00092,0.5,95571,88,95526,5274845,55.19
MI,f,1941-1949,18,0.00101,0.00101,0.5,95482,96,95434,5179319,54.24
MI,f,1941-1949,19,0.00109,0.00109,0.5,95386,104,95334,5083885,53.30
MI,f,1941-1949,20,0.00118,0.00118,0.5,95282,112,95226,4988551,52.36
MI,f,1941-1949,21,0.00125,0.00125,0.5,95169,119,95110,4893326,51.42
MI,f,1941-1949,22,0.00132,0.00132,0.5,95050,125,94988,4798216,50.48
MI,f,1941-1949,23,0.00136,0.00136,0.5,94925,129,94860,4703228,49.55
MI,f,1941-1949,24,0.00140,0.00140,0.5,94796,133,94729,4608368,48.61
MI,f,1941-1949,25,0.00143,0.00143,0.5,94663,135,94595,4513638,47.68
MI,f,1941-1949,26,0.00147,0.00147,0.5,94528,139,94458,4419043,46.75
MI,f,1941-1949,27,0.00152,0.00152,0.5,94389,143,94317,4324585,45.82
MI,f,1941-1949,28,0.00159,0.00159,0.5,94245,150,94170,4230268,44.89
MI,f,1941-1949,29,0.00168,0.00168,0.5,94095,158,94016,4136097,43.96
MI,f,1941-1949,30,0.00179,0.00178,0.5,93937,168,93853,4042081,43.03
MI,f,1941-1949,31,0.00189,0.00189,0.5,93770,177,93681,3948228,42.11
MI,f,1941-1949,32,0.00202,0.00201,0.5,93592,188,93498,3854547,41.18
MI,f,1941-1949,33,0.00215,0.00215,0.5,93404,201,93303,3761049,40.27
MI,f,1941-1949,34,0.00230,0.00229,0.5,93203,214,93096,3667745,39.35
MI,f,1941-1949,35,0.00246,0.00246,0.5,92989,229,92875,3574649,38.44
MI,f,1941-1949,36,0.00263,0.00263,0.5,92761,244,92639,3481774,37.54
MI,f,1941-1949,37,0.00281,0.00281,0.5,92517,260,92387,3389135,36.63
MI,f,1941-1949,38,0.00302,0.00301,0.5,92257,278,92118,3296749,35.73
MI,f,1941-1949,39,0.00323,0.00322,0.5,91979,296,91830,3204631,34.84
MI,f,1941-1949,40,0.00344,0.00344,0.5,91682,315,91525,3112801,33.95
MI,f,1941-1949,41,0.00367,0.00366,0.5,91367,335,91200,3021276,33.07
MI,f,1941-1949,42,0.00397,0.00397,0.5,91032,361,90852,2930076,32.19
MI,f,1941-1949,43,0.00433,0.00432,0.5,90671,392,90476,2839224,31.31
MI,f,1941-1949,44,0.00470,0.00468,0.5,90280,423,90068,2748749,30.45
MI,f,1941-1949,45,0.00512,0.00511,0.5,89857,459,89627,2658681,29.59
MI,f,1941-1949,46,0.00556,0.00554,0.5,89398,495,89150,2569053,28.74
MI,f,1941-1949,47,0.00599,0.00597,0.5,88902,531,88637,2479903,27.89
MI,f,1941-1949,48,0.00645,0.00643,0.5,88371,569,88087,2391266,27.06
MI,f,1941-1949,49,0.00695,0.00693,0.5,87803,609,87498,2303180,26.23
MI,f,1941-1949,50,0.00753,0.00750,0.5,87194,654,86867,2215681,25.41
MI,f,1941-1949,51,0.00807,0.00804,0.5,86540,695,86193,2128814,24.60
MI,f,1941-1949,52,0.00867,0.00863,0.5,85845,741,85474,2042621,23.79
MI,f,1941-1949,53,0.00936,0.00932,0.5,85104,793,84707,1957147,23.00
MI,f,1941-1949,54,0.01010,0.01005,0.5,84311,847,83887,1872439,22.21
MI,f,1941-1949,55,0.01093,0.01087,0.5,83464,907,83010,1788552,21.43
MI,f,1941-1949,56,0.01181,0.01174,0.5,82557,969,82072,1705542,20.66
