MI: MI, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03499	0.03398	0.15	100000	3398	97115	6790057	67.90
1941-1944	1	0.00331	0.00330	0.5	96602	319	96443	6692942	69.28
1941-1944	2	0.00170	0.00170	0.5	96283	164	96201	6596499	68.51
1941-1944	3	0.00138	0.00138	0.5	96119	133	96053	6500298	67.63
1941-1944	4	0.00114	0.00114	0.5	95986	110	95931	6404245	66.72
1941-1944	5	0.00098	0.00098	0.5	95876	94	95830	6308314	65.80
1941-1944	6	0.00088	0.00088	0.5	95783	84	95741	6212484	64.86
1941-1944	7	0.00081	0.00081	0.5	95699	77	95660	6116743	63.92
1941-1944	8	0.00075	0.00075	0.5	95622	71	95586	6021083	62.97
1941-1944	9	0.00069	0.00069	0.5	95550	66	95517	5925497	62.01
1941-1944	10	0.00064	0.00064	0.5	95485	61	95454	5829980	61.06
1941-1944	11	0.00062	0.00062	0.5	95423	59	95394	5734526	60.10
1941-1944	12	0.00063	0.00063	0.5	95364	60	95334	5639132	59.13
1941-1944	13	0.00068	0.00068	0.5	95304	64	95272	5543798	58.17
1941-1944	14	0.00076	0.00076	0.5	95240	72	95204	5448526	57.21
1941-1944	15	0.00086	0.00086	0.5	95168	82	95127	5353322	56.25
1941-1944	16	0.00097	0.00097	0.5	95086	92	95040	5258195	55.30
1941-1944	17	0.00108	0.00108	0.5	94994	102	94942	5163156	54.35
1941-1944	18	0.00118	0.00118	0.5	94891	112	94835	5068213	53.41
1941-1944	19	0.00129	0.00128	0.5	94779	122	94718	4973378	52.47
1941-1944	20	0.00139	0.00139	0.5	94657	131	94592	4878660	51.54
1941-1944	21	0.00148	0.00148	0.5	94526	140	94456	4784068	50.61
1941-1944	22	0.00155	0.00155	0.5	94386	146	94313	4689612	49.69
1941-1944	23	0.00160	0.00160	0.5	94240	151	94165	4595299	48.76
1941-1944	24	0.00164	0.00163	0.5	94090	154	94013	4501134	47.84
1941-1944	25	0.00165	0.00165	0.5	93936	155	93859	4407121	46.92
1941-1944	26	0.00168	0.00168	0.5	93781	157	93703	4313262	45.99
1941-1944	27	0.00174	0.00173	0.5	93624	162	93543	4219560	45.07
1941-1944	28	0.00183	0.00183	0.5	93462	171	93376	4126017	44.15
1941-1944	29	0.00196	0.00195	0.5	93291	182	93200	4032641	43.23
1941-1944	30	0.00212	0.00211	0.5	93108	197	93010	3939441	42.31
1941-1944	31	0.00227	0.00227	0.5	92912	211	92806	3846432	41.40
1941-1944	32	0.00243	0.00243	0.5	92701	225	92588	3753625	40.49
1941-1944	33	0.00260	0.00259	0.5	92475	240	92355	3661037	39.59
1941-1944	34	0.00276	0.00276	0.5	92235	254	92108	3568682	38.69
1941-1944	35	0.00295	0.00294	0.5	91981	271	91846	3476574	37.80
