MI: MI, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03720	0.03607	0.16	100000	3607	96960	6741881	67.42
1941	1-4	0.00191	0.00762	1.51	96393	735	383743	6644921	68.94
1941	5-9	0.00091	0.00455	2.33	95658	435	477129	6261178	65.45
1941	10-14	0.00074	0.00370	2.56	95223	352	475257	5784049	60.74
1941	15-19	0.00109	0.00544	2.69	94871	516	473166	5308793	55.96
1941	20-24	0.00165	0.00822	2.59	94355	775	469909	4835627	51.25
1941	25-29	0.00192	0.00955	2.6	93580	893	465757	4365718	46.65
1941	30-34	0.00264	0.01312	2.6	92686	1216	460509	3899961	42.08
1941	35-39	0.00320	0.01590	2.59	91470	1454	453849	3439451	37.60
1941	40-44	0.00449	0.02221	2.69	90016	1999	445451	2985602	33.17
1941	45-49	0.00674	0.03317	2.61	88016	2919	433113	2540151	28.86
1941	50-54	0.00938	0.04588	2.63	85097	3905	416221	2107038	24.76
1941	55-59	0.01336	0.06475	2.64	81192	5257	393565	1690817	20.82
1941	60-64	0.02126	0.10128	2.67	75935	7691	361722	1297252	17.08
1941	65-69	0.03286	0.15250	2.64	68244	10407	316696	935530	13.71
1941	70-74	0.05203	0.23115	2.59	57837	13369	256922	618835	10.70
1941	75-79	0.08448	0.35024	2.56	44468	15575	184368	361912	8.14
1941	80-84	0.12458	0.47221	2.44	28893	13644	109514	177544	6.14
1941	85-89	0.19725	0.64173	2.28	15250	9786	49612	68030	4.46
1941	90-94	0.27588	0.76352	2.08	5463	4171	15121	18417	3.37
1941	95-99	0.37895	0.86597	1.86	1292	1119	2952	3297	2.55
1941	100-104	0.49615	0.92996	1.64	173	161	325	344	1.99
1941	105-109	0.61442	0.96376	1.44	12	12	19	20	1.62
1941	110+	0.70645	1.00000	1.42	0	0	1	1	1.42
1942	0	0.03578	0.03473	0.15	100000	3473	97059	6813114	68.13
1942	1-4	0.00174	0.00694	1.54	96527	669	384463	6716055	69.58
1942	5-9	0.00075	0.00373	2.27	95858	357	478316	6331592	66.05
1942	10-14	0.00062	0.00310	2.64	95501	296	476805	5853276	61.29
1942	15-19	0.00104	0.00519	2.69	95205	494	474881	5376471	56.47
1942	20-24	0.00147	0.00732	2.62	94711	693	471901	4901590	51.75
1942	25-29	0.00184	0.00914	2.58	94018	860	468004	4429689	47.12
1942	30-34	0.00238	0.01183	2.64	93158	1102	463187	3961686	42.53
1942	35-39	0.00346	0.01714	2.62	92056	1578	456527	3498499	38.00
1942	40-44	0.00444	0.02199	2.63	90478	1990	447676	3041972	33.62
1942	45-49	0.00626	0.03083	2.63	88488	2728	435974	2594295	29.32
1942	50-54	0.00908	0.04444	2.67	85760	3811	419917	2158322	25.17
1942	55-59	0.01339	0.06490	2.63	81949	5319	397144	1738405	21.21
1942	60-64	0.01979	0.09456	2.66	76630	7246	366223	1341261	17.50
1942	65-69	0.03120	0.14539	2.66	69384	10088	323284	975038	14.05
1942	70-74	0.05107	0.22736	2.59	59296	13481	263993	651754	10.99
1942	75-79	0.07822	0.32892	2.58	45815	15069	192665	387760	8.46
1942	80-84	0.12049	0.46080	2.45	30745	14168	117586	195096	6.35
1942	85-89	0.18707	0.62103	2.29	16578	10295	55035	77510	4.68
1942	90-94	0.25807	0.73858	2.11	6282	4640	17980	22474	3.58
1942	95-99	0.35115	0.84301	1.92	1642	1385	3943	4494	2.74
1942	100-104	0.45939	0.91350	1.7	258	236	513	551	2.14
1942	105-109	0.57200	0.95370	1.51	22	21	37	39	1.74
1942	110+	0.66186	1.00000	1.51	1	1	2	2	1.51
1943	0	0.03421	0.03324	0.15	100000	3324	97170	6749924	67.50
1943	1-4	0.00217	0.00865	1.57	96676	836	384669	6652754	68.82
1943	5-9	0.00081	0.00403	2.27	95840	387	478145	6268085	65.40
1943	10-14	0.00057	0.00287	2.64	95453	274	476619	5789940	60.66
1943	15-19	0.00112	0.00561	2.71	95179	534	474675	5313321	55.82
1943	20-24	0.00151	0.00751	2.54	94646	710	471482	4838646	51.12
1943	25-29	0.00168	0.00835	2.6	93935	784	467794	4367165	46.49
1943	30-34	0.00251	0.01249	2.64	93151	1163	463016	3899371	41.86
1943	35-39	0.00336	0.01664	2.58	91988	1531	456238	3436355	37.36
1943	40-44	0.00441	0.02184	2.64	90457	1975	447616	2980117	32.95
1943	45-49	0.00686	0.03373	2.62	88482	2985	435314	2532501	28.62
1943	50-54	0.00960	0.04692	2.64	85497	4011	418009	2097188	24.53
1943	55-59	0.01432	0.06924	2.6	81485	5642	393896	1679178	20.61
1943	60-64	0.02098	0.09995	2.63	75843	7580	361261	1285282	16.95
1943	65-69	0.03348	0.15484	2.58	68263	10570	315724	924021	13.54
1943	70-74	0.05292	0.23453	2.58	57693	13531	255668	608297	10.54
1943	75-79	0.08530	0.35124	2.49	44162	15511	181849	352629	7.98
1943	80-84	0.13082	0.48810	2.4	28651	13984	106898	170780	5.96
1943	85-89	0.19725	0.64375	2.3	14666	9442	47866	63883	4.36
1943	90-94	0.30722	0.80034	2.01	5225	4182	13611	16016	3.07
1943	95-99	0.42278	0.89599	1.78	1043	935	2211	2405	2.31
