MI: MI, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04011	0.03879	0.15	100000	3879	96713	6458885	64.59
1941-1949	1	0.00293	0.00292	0.5	96121	281	95980	6362172	66.19
1941-1949	2	0.00181	0.00181	0.5	95840	174	95753	6266192	65.38
1941-1949	3	0.00137	0.00136	0.5	95666	131	95601	6170439	64.50
1941-1949	4	0.00118	0.00118	0.5	95536	113	95479	6074838	63.59
1941-1949	5	0.00108	0.00108	0.5	95423	103	95371	5979359	62.66
1941-1949	6	0.00102	0.00102	0.5	95320	97	95271	5883988	61.73
1941-1949	7	0.00098	0.00098	0.5	95222	93	95176	5788717	60.79
1941-1949	8	0.00093	0.00093	0.5	95129	89	95085	5693541	59.85
1941-1949	9	0.00088	0.00088	0.5	95041	84	94999	5598456	58.91
1941-1949	10	0.00084	0.00084	0.5	94957	79	94917	5503457	57.96
1941-1949	11	0.00084	0.00084	0.5	94878	79	94838	5408540	57.01
1941-1949	12	0.00089	0.00089	0.5	94798	85	94756	5313702	56.05
1941-1949	13	0.00100	0.00100	0.5	94714	94	94666	5218946	55.10
1941-1949	14	0.00115	0.00115	0.5	94619	108	94565	5124280	54.16
1941-1949	15	0.00133	0.00133	0.5	94511	126	94448	5029714	53.22
1941-1949	16	0.00149	0.00149	0.5	94385	141	94315	4935266	52.29
1941-1949	17	0.00161	0.00161	0.5	94244	152	94168	4840952	51.37
1941-1949	18	0.00171	0.00171	0.5	94092	161	94012	4746783	50.45
1941-1949	19	0.00177	0.00176	0.5	93932	166	93849	4652771	49.53
1941-1949	20	0.00180	0.00180	0.5	93766	169	93682	4558922	48.62
1941-1949	21	0.00183	0.00183	0.5	93598	171	93512	4465240	47.71
1941-1949	22	0.00185	0.00185	0.5	93426	173	93340	4371728	46.79
1941-1949	23	0.00186	0.00186	0.5	93253	174	93167	4278388	45.88
1941-1949	24	0.00186	0.00186	0.5	93080	173	92993	4185221	44.96
1941-1949	25	0.00186	0.00186	0.5	92906	173	92820	4092228	44.05
1941-1949	26	0.00187	0.00187	0.5	92734	173	92647	3999408	43.13
1941-1949	27	0.00190	0.00190	0.5	92560	176	92472	3906761	42.21
1941-1949	28	0.00197	0.00197	0.5	92384	182	92294	3814289	41.29
1941-1949	29	0.00206	0.00206	0.5	92203	190	92108	3721995	40.37
1941-1949	30	0.00218	0.00218	0.5	92013	200	91913	3629887	39.45
1941-1949	31	0.00231	0.00231	0.5	91812	212	91707	3537975	38.53
1941-1949	32	0.00246	0.00246	0.5	91601	225	91488	3446268	37.62
1941-1949	33	0.00263	0.00263	0.5	91375	240	91255	3354780	36.71
1941-1949	34	0.00283	0.00282	0.5	91135	257	91006	3263525	35.81
1941-1949	35	0.00305	0.00305	0.5	90878	277	90739	3172519	34.91
1941-1949	36	0.00330	0.00329	0.5	90601	298	90451	3081780	34.02
1941-1949	37	0.00357	0.00357	0.5	90302	322	90141	2991328	33.13
1941-1949	38	0.00388	0.00387	0.5	89980	348	89806	2901187	32.24
1941-1949	39	0.00421	0.00420	0.5	89632	376	89444	2811381	31.37
1941-1949	40	0.00456	0.00455	0.5	89256	406	89053	2721937	30.50
1941-1949	41	0.00494	0.00492	0.5	88850	437	88631	2632884	29.63
1941-1949	42	0.00541	0.00539	0.5	88412	477	88174	2544253	28.78
1941-1949	43	0.00595	0.00593	0.5	87935	521	87675	2456080	27.93
1941-1949	44	0.00650	0.00648	0.5	87414	566	87131	2368405	27.09
1941-1949	45	0.00714	0.00711	0.5	86848	618	86539	2281274	26.27
1941-1949	46	0.00782	0.00779	0.5	86230	672	85894	2194735	25.45
1941-1949	47	0.00855	0.00851	0.5	85558	728	85194	2108841	24.65
1941-1949	48	0.00936	0.00932	0.5	84830	791	84434	2023647	23.86
1941-1949	49	0.01031	0.01025	0.5	84039	862	83608	1939212	23.08
1941-1949	50	0.01139	0.01132	0.5	83177	942	82706	1855604	22.31
1941-1949	51	0.01237	0.01229	0.5	82236	1011	81730	1772898	21.56
1941-1949	52	0.01341	0.01332	0.5	81225	1082	80683	1691168	20.82
1941-1949	53	0.01456	0.01446	0.5	80142	1159	79563	1610484	20.10
1941-1949	54	0.01576	0.01564	0.5	78984	1235	78366	1530921	19.38
1941-1949	55	0.01712	0.01698	0.5	77748	1320	77088	1452555	18.68
1941-1949	56	0.01855	0.01838	0.5	76428	1405	75726	1375467	18.00
1941-1949	57	0.02009	0.01989	0.5	75023	1492	74277	1299741	17.32
1941-1949	58	0.02172	0.02148	0.5	73531	1580	72741	1225464	16.67
1941-1949	59	0.02341	0.02314	0.5	71951	1665	71119	1152723	16.02
1941-1949	60	0.02526	0.02495	0.5	70286	1753	69409	1081604	15.39
1941-1949	61	0.02710	0.02674	0.5	68533	1832	67617	1012195	14.77
1941-1949	62	0.02918	0.02876	0.5	66700	1918	65741	944578	14.16
1941-1949	63	0.03156	0.03107	0.5	64782	2013	63775	878837	13.57
1941-1949	64	0.03395	0.03339	0.5	62769	2096	61721	815062	12.99
1941-1949	65	0.03661	0.03595	0.5	60673	2181	59583	753340	12.42
1941-1949	66	0.03936	0.03860	0.5	58492	2258	57363	693758	11.86
1941-1949	67	0.04246	0.04158	0.5	56234	2338	55065	636395	11.32
1941-1949	68	0.04605	0.04501	0.5	53896	2426	52683	581330	10.79
1941-1949	69	0.04963	0.04843	0.5	51470	2493	50224	528647	10.27
1941-1949	70	0.05348	0.05208	0.5	48977	2551	47702	478423	9.77
1941-1949	71	0.05749	0.05589	0.5	46426	2595	45129	430721	9.28
1941-1949	72	0.06243	0.06054	0.5	43832	2653	42505	385592	8.80
1941-1949	73	0.06846	0.06620	0.5	41178	2726	39815	343087	8.33
1941-1949	74	0.07518	0.07246	0.5	38452	2786	37059	303272	7.89
1941-1949	75	0.08279	0.07950	0.5	35666	2836	34249	266213	7.46
1941-1949	76	0.09038	0.08647	0.5	32831	2839	31411	231964	7.07
1941-1949	77	0.09789	0.09332	0.5	29992	2799	28592	200553	6.69
1941-1949	78	0.10627	0.10091	0.5	27193	2744	25821	171960	6.32
1941-1949	79	0.11513	0.10887	0.5	24449	2662	23118	146139	5.98
1941-1949	80	0.12256	0.11548	0.5	21787	2516	20529	123021	5.65
1941-1949	81	0.13265	0.12440	0.5	19271	2397	18073	102491	5.32
1941-1949	82	0.14383	0.13418	0.5	16874	2264	15742	84419	5.00
1941-1949	83	0.15624	0.14492	0.5	14610	2117	13551	68677	4.70
1941-1949	84	0.16999	0.15667	0.5	12493	1957	11514	55126	4.41
1941-1949	85	0.18538	0.16966	0.5	10535	1787	9642	43612	4.14
1941-1949	86	0.20296	0.18426	0.5	8748	1612	7942	33970	3.88
1941-1949	87	0.22300	0.20063	0.5	7136	1432	6420	26028	3.65
1941-1949	88	0.24521	0.21843	0.5	5704	1246	5081	19608	3.44
1941-1949	89	0.26717	0.23569	0.5	4458	1051	3933	14527	3.26
1941-1949	90	0.28419	0.24883	0.5	3408	848	2984	10594	3.11
1941-1949	91	0.29040	0.25358	0.5	2560	649	2235	7610	2.97
1941-1949	92	0.31092	0.26909	0.5	1911	514	1654	5375	2.81
1941-1949	93	0.33222	0.28490	0.5	1396	398	1198	3721	2.66
1941-1949	94	0.35422	0.30093	0.5	999	301	848	2524	2.53
1941-1949	95	0.37686	0.31711	0.5	698	221	587	1676	2.40
1941-1949	96	0.40005	0.33337	0.5	477	159	397	1088	2.28
1941-1949	97	0.42370	0.34963	0.5	318	111	262	691	2.17
1941-1949	98	0.44770	0.36582	0.5	207	76	169	429	2.07
1941-1949	99	0.47195	0.38185	0.5	131	50	106	260	1.98
1941-1949	100	0.49633	0.39765	0.5	81	32	65	154	1.90
1941-1949	101	0.52073	0.41316	0.5	49	20	39	89	1.82
1941-1949	102	0.54503	0.42831	0.5	29	12	23	50	1.75
1941-1949	103	0.56912	0.44305	0.5	16	7	13	28	1.68
1941-1949	104	0.59288	0.45732	0.5	9	4	7	15	1.62
1941-1949	105	0.61622	0.47108	0.5	5	2	4	8	1.57
1941-1949	106	0.63904	0.48430	0.5	3	1	2	4	1.52
1941-1949	107	0.66124	0.49694	0.5	1	1	1	2	1.47
1941-1949	108	0.68276	0.50900	0.5	1	0	1	1	1.43
1941-1949	109	0.70352	0.52045	0.5	0	0	0	0	1.40
1941-1949	110+	0.72347	1.00000	1.38	0	0	0	0	1.38
1950-1959	0	0.02933	0.02859	0.12	100000	2859	97494	6664659	66.65
1950-1959	1	0.00186	0.00186	0.5	97141	181	97050	6567165	67.60
1950-1959	2	0.00119	0.00119	0.5	96960	115	96902	6470114	66.73
1950-1959	3	0.00090	0.00090	0.5	96844	87	96801	6373212	65.81
1950-1959	4	0.00075	0.00075	0.5	96757	72	96721	6276412	64.87
1950-1959	5	0.00068	0.00068	0.5	96685	66	96652	6179690	63.92
1950-1959	6	0.00064	0.00064	0.5	96619	62	96588	6083038	62.96
1950-1959	7	0.00059	0.00059	0.5	96557	57	96528	5986450	62.00
1950-1959	8	0.00055	0.00055	0.5	96500	53	96473	5889922	61.04
1950-1959	9	0.00053	0.00053	0.5	96446	51	96421	5793449	60.07
1950-1959	10	0.00055	0.00055	0.5	96395	53	96369	5697028	59.10
1950-1959	11	0.00054	0.00054	0.5	96342	52	96316	5600660	58.13
1950-1959	12	0.00062	0.00062	0.5	96290	60	96260	5504343	57.16
1950-1959	13	0.00068	0.00068	0.5	96230	65	96198	5408083	56.20
1950-1959	14	0.00082	0.00082	0.5	96165	79	96126	5311886	55.24
1950-1959	15	0.00101	0.00100	0.5	96086	97	96038	5215760	54.28
1950-1959	16	0.00116	0.00116	0.5	95990	111	95934	5119722	53.34
1950-1959	17	0.00133	0.00133	0.5	95879	127	95815	5023788	52.40
1950-1959	18	0.00144	0.00144	0.5	95751	138	95682	4927973	51.47
1950-1959	19	0.00158	0.00158	0.5	95613	151	95538	4832291	50.54
1950-1959	20	0.00170	0.00170	0.5	95462	163	95381	4736753	49.62
1950-1959	21	0.00176	0.00176	0.5	95300	168	95216	4641372	48.70
1950-1959	22	0.00178	0.00178	0.5	95132	170	95047	4546156	47.79
1950-1959	23	0.00171	0.00171	0.5	94962	163	94881	4451110	46.87
1950-1959	24	0.00169	0.00169	0.5	94800	160	94719	4356229	45.95
1950-1959	25	0.00165	0.00165	0.5	94639	156	94561	4261509	45.03
1950-1959	26	0.00158	0.00158	0.5	94483	149	94408	4166948	44.10
1950-1959	27	0.00160	0.00160	0.5	94334	151	94259	4072540	43.17
1950-1959	28	0.00161	0.00161	0.5	94183	152	94107	3978281	42.24
1950-1959	29	0.00163	0.00163	0.5	94031	153	93955	3884174	41.31
1950-1959	30	0.00172	0.00172	0.5	93878	162	93797	3790219	40.37
1950-1959	31	0.00182	0.00182	0.5	93717	171	93631	3696422	39.44
1950-1959	32	0.00193	0.00193	0.5	93546	181	93456	3602790	38.51
1950-1959	33	0.00203	0.00203	0.5	93365	189	93271	3509335	37.59
1950-1959	34	0.00220	0.00220	0.5	93176	205	93074	3416064	36.66
1950-1959	35	0.00236	0.00236	0.5	92971	219	92862	3322991	35.74
