PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,m,1941-1944,0,0.04443,0.04284,0.16,100000,4284,96420,6365388,63.65
MI,m,1941-1944,1,0.00368,0.00368,0.5,95716,352,95540,6268969,65.50
MI,m,1941-1944,2,0.00229,0.00229,0.5,95364,218,95255,6173429,64.74
MI,m,1941-1944,3,0.00173,0.00173,0.5,95146,164,95064,6078174,63.88
MI,m,1941-1944,4,0.00136,0.00136,0.5,94981,129,94917,5983110,62.99
MI,m,1941-1944,5,0.00121,0.00121,0.5,94853,115,94795,5888193,62.08
MI,m,1941-1944,6,0.00115,0.00115,0.5,94738,109,94683,5793398,61.15
MI,m,1941-1944,7,0.00111,0.00111,0.5,94629,105,94576,5698715,60.22
MI,m,1941-1944,8,0.00107,0.00107,0.5,94524,101,94473,5604139,59.29
MI,m,1941-1944,9,0.00102,0.00101,0.5,94423,96,94375,5509665,58.35
MI,m,1941-1944,10,0.00097,0.00097,0.5,94327,91,94281,5415291,57.41
MI,m,1941-1944,11,0.00096,0.00096,0.5,94236,91,94190,5321010,56.46
MI,m,1941-1944,12,0.00102,0.00102,0.5,94145,96,94097,5226819,55.52
MI,m,1941-1944,13,0.00114,0.00114,0.5,94048,107,93995,5132723,54.58
MI,m,1941-1944,14,0.00130,0.00130,0.5,93942,122,93880,5038728,53.64
MI,m,1941-1944,15,0.00151,0.00150,0.5,93819,141,93749,4944847,52.71
MI,m,1941-1944,16,0.00167,0.00167,0.5,93678,156,93600,4851099,51.78
MI,m,1941-1944,17,0.00179,0.00179,0.5,93522,167,93439,4757499,50.87
MI,m,1941-1944,18,0.00187,0.00187,0.5,93355,174,93268,4664060,49.96
MI,m,1941-1944,19,0.00190,0.00189,0.5,93181,177,93092,4570792,49.05
MI,m,1941-1944,20,0.00189,0.00189,0.5,93004,176,92916,4477700,48.15
MI,m,1941-1944,21,0.00190,0.00190,0.5,92828,177,92740,4384783,47.24
MI,m,1941-1944,22,0.00191,0.00191,0.5,92652,177,92563,4292043,46.32
MI,m,1941-1944,23,0.00193,0.00193,0.5,92475,178,92386,4199480,45.41
MI,m,1941-1944,24,0.00196,0.00195,0.5,92297,180,92207,4107094,44.50
MI,m,1941-1944,25,0.00197,0.00197,0.5,92116,182,92026,4014888,43.58
MI,m,1941-1944,26,0.00200,0.00200,0.5,91935,184,91843,3922862,42.67
MI,m,1941-1944,27,0.00205,0.00204,0.5,91751,188,91657,3831019,41.75
MI,m,1941-1944,28,0.00211,0.00211,0.5,91564,193,91467,3739362,40.84
MI,m,1941-1944,29,0.00221,0.00221,0.5,91370,202,91269,3647895,39.92
MI,m,1941-1944,30,0.00235,0.00234,0.5,91168,214,91062,3556626,39.01
MI,m,1941-1944,31,0.00251,0.00250,0.5,90955,228,90841,3465564,38.10
MI,m,1941-1944,32,0.00270,0.00270,0.5,90727,245,90605,3374723,37.20
MI,m,1941-1944,33,0.00291,0.00291,0.5,90482,263,90351,3284119,36.30
MI,m,1941-1944,34,0.00315,0.00315,0.5,90219,284,90077,3193768,35.40
MI,m,1941-1944,35,0.00343,0.00342,0.5,89935,308,89781,3103691,34.51
MI,m,1941-1944,36,0.00368,0.00367,0.5,89628,329,89463,3013909,33.63
MI,m,1941-1944,37,0.00395,0.00394,0.5,89298,352,89122,2924446,32.75
MI,m,1941-1944,38,0.00426,0.00425,0.5,88946,378,88757,2835324,31.88
MI,m,1941-1944,39,0.00455,0.00454,0.5,88568,402,88367,2746566,31.01
MI,m,1941-1944,40,0.00484,0.00483,0.5,88166,426,87953,2658199,30.15
MI,m,1941-1944,41,0.00516,0.00515,0.5,87740,451,87514,2570246,29.29
MI,m,1941-1944,42,0.00563,0.00561,0.5,87289,490,87044,2482732,28.44
MI,m,1941-1944,43,0.00621,0.00619,0.5,86799,537,86530,2395688,27.60
MI,m,1941-1944,44,0.00692,0.00689,0.5,86261,595,85964,2309158,26.77
MI,m,1941-1944,45,0.00783,0.00780,0.5,85667,668,85332,2223194,25.95
MI,m,1941-1944,46,0.00856,0.00852,0.5,84998,724,84636,2137862,25.15
MI,m,1941-1944,47,0.00925,0.00921,0.5,84274,776,83886,2053226,24.36
MI,m,1941-1944,48,0.01007,0.01002,0.5,83498,837,83079,1969341,23.59
MI,m,1941-1944,49,0.01086,0.01081,0.5,82661,893,82215,1886261,22.82
MI,m,1941-1944,50,0.01180,0.01173,0.5,81768,959,81288,1804047,22.06
MI,m,1941-1944,51,0.01275,0.01267,0.5,80809,1024,80297,1722758,21.32
MI,m,1941-1944,52,0.01388,0.01379,0.5,79785,1100,79235,1642462,20.59
