PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,b,1941-1949,0,0.03076,0.02996,0.13,100000,2996,97404,6916948,69.17
MN,b,1941-1949,1,0.00239,0.00239,0.5,97004,231,96888,6819544,70.30
MN,b,1941-1949,2,0.00156,0.00156,0.5,96772,151,96697,6722656,69.47
MN,b,1941-1949,3,0.00110,0.00110,0.5,96621,107,96568,6625959,68.58
MN,b,1941-1949,4,0.00104,0.00104,0.5,96514,100,96464,6529391,67.65
MN,b,1941-1949,5,0.00095,0.00095,0.5,96414,92,96368,6432927,66.72
MN,b,1941-1949,6,0.00086,0.00086,0.5,96323,83,96281,6336559,65.78
MN,b,1941-1949,7,0.00080,0.00080,0.5,96240,77,96201,6240277,64.84
MN,b,1941-1949,8,0.00075,0.00075,0.5,96163,72,96127,6144076,63.89
MN,b,1941-1949,9,0.00073,0.00073,0.5,96091,70,96056,6047949,62.94
MN,b,1941-1949,10,0.00072,0.00072,0.5,96021,70,95986,5951894,61.99
MN,b,1941-1949,11,0.00074,0.00074,0.5,95951,71,95916,5855908,61.03
MN,b,1941-1949,12,0.00077,0.00077,0.5,95880,74,95844,5759992,60.07
MN,b,1941-1949,13,0.00081,0.00081,0.5,95807,78,95768,5664148,59.12
MN,b,1941-1949,14,0.00087,0.00087,0.5,95729,83,95688,5568380,58.17
MN,b,1941-1949,15,0.00093,0.00093,0.5,95646,89,95602,5472693,57.22
MN,b,1941-1949,16,0.00100,0.00100,0.5,95557,95,95509,5377091,56.27
MN,b,1941-1949,17,0.00106,0.00106,0.5,95461,101,95411,5281582,55.33
MN,b,1941-1949,18,0.00112,0.00112,0.5,95360,107,95307,5186171,54.39
MN,b,1941-1949,19,0.00118,0.00118,0.5,95253,113,95197,5090865,53.45
MN,b,1941-1949,20,0.00124,0.00124,0.5,95140,118,95081,4995668,52.51
MN,b,1941-1949,21,0.00129,0.00129,0.5,95022,122,94961,4900587,51.57
MN,b,1941-1949,22,0.00132,0.00132,0.5,94900,125,94837,4805626,50.64
MN,b,1941-1949,23,0.00134,0.00134,0.5,94775,127,94711,4710788,49.71
MN,b,1941-1949,24,0.00134,0.00134,0.5,94647,127,94584,4616077,48.77
MN,b,1941-1949,25,0.00134,0.00133,0.5,94520,126,94457,4521494,47.84
MN,b,1941-1949,26,0.00134,0.00134,0.5,94394,126,94331,4427036,46.90
MN,b,1941-1949,27,0.00136,0.00136,0.5,94268,128,94204,4332705,45.96
MN,b,1941-1949,28,0.00140,0.00140,0.5,94140,132,94074,4238501,45.02
MN,b,1941-1949,29,0.00146,0.00146,0.5,94008,137,93940,4144427,44.09
MN,b,1941-1949,30,0.00153,0.00152,0.5,93871,143,93800,4050488,43.15
MN,b,1941-1949,31,0.00161,0.00161,0.5,93728,151,93653,3956688,42.21
MN,b,1941-1949,32,0.00172,0.00172,0.5,93577,161,93497,3863035,41.28
MN,b,1941-1949,33,0.00184,0.00184,0.5,93417,172,93331,3769538,40.35
MN,b,1941-1949,34,0.00199,0.00199,0.5,93245,185,93152,3676207,39.43
MN,b,1941-1949,35,0.00216,0.00216,0.5,93059,201,92959,3583055,38.50
MN,b,1941-1949,36,0.00233,0.00233,0.5,92858,216,92750,3490096,37.59
MN,b,1941-1949,37,0.00250,0.00250,0.5,92642,232,92526,3397346,36.67
MN,b,1941-1949,38,0.00269,0.00269,0.5,92410,248,92286,3304820,35.76
MN,b,1941-1949,39,0.00288,0.00288,0.5,92162,265,92029,3212533,34.86
MN,b,1941-1949,40,0.00308,0.00307,0.5,91897,282,91755,3120504,33.96
MN,b,1941-1949,41,0.00328,0.00328,0.5,91614,300,91464,3028749,33.06
MN,b,1941-1949,42,0.00355,0.00355,0.5,91314,324,91152,2937284,32.17
MN,b,1941-1949,43,0.00387,0.00386,0.5,90990,352,90815,2846132,31.28
MN,b,1941-1949,44,0.00421,0.00420,0.5,90639,381,90448,2755317,30.40
MN,b,1941-1949,45,0.00459,0.00458,0.5,90258,414,90051,2664869,29.52
MN,b,1941-1949,46,0.00500,0.00499,0.5,89844,448,89620,2574818,28.66
MN,b,1941-1949,47,0.00542,0.00541,0.5,89396,483,89155,2485197,27.80
MN,b,1941-1949,48,0.00588,0.00586,0.5,88913,521,88652,2396043,26.95
MN,b,1941-1949,49,0.00638,0.00636,0.5,88392,563,88111,2307390,26.10
MN,b,1941-1949,50,0.00696,0.00694,0.5,87829,609,87525,2219279,25.27
MN,b,1941-1949,51,0.00754,0.00751,0.5,87220,655,86893,2131755,24.44
MN,b,1941-1949,52,0.00820,0.00817,0.5,86565,707,86212,2044862,23.62
MN,b,1941-1949,53,0.00900,0.00896,0.5,85858,769,85473,1958650,22.81
MN,b,1941-1949,54,0.00987,0.00983,0.5,85089,836,84671,1873177,22.01
MN,b,1941-1949,55,0.01086,0.01080,0.5,84253,910,83798,1788506,21.23
MN,b,1941-1949,56,0.01188,0.01181,0.5,83343,984,82851,1704708,20.45
MN,b,1941-1949,57,0.01297,0.01289,0.5,82359,1061,81828,1621857,19.69
MN,b,1941-1949,58,0.01417,0.01407,0.5,81297,1144,80726,1540029,18.94
MN,b,1941-1949,59,0.01542,0.01530,0.5,80154,1226,79540,1459303,18.21
MN,b,1941-1949,60,0.01674,0.01660,0.5,78927,1311,78272,1379763,17.48
MN,b,1941-1949,61,0.01813,0.01797,0.5,77617,1395,76919,1301491,16.77
MN,b,1941-1949,62,0.01975,0.01956,0.5,76222,1491,75477,1224571,16.07
MN,b,1941-1949,63,0.02163,0.02140,0.5,74731,1600,73931,1149095,15.38
MN,b,1941-1949,64,0.02360,0.02332,0.5,73132,1706,72279,1075163,14.70
MN,b,1941-1949,65,0.02583,0.02550,0.5,71426,1822,70515,1002884,14.04
MN,b,1941-1949,66,0.02820,0.02781,0.5,69605,1936,68637,932369,13.40
MN,b,1941-1949,67,0.03080,0.03033,0.5,67669,2053,66643,863732,12.76
MN,b,1941-1949,68,0.03385,0.03328,0.5,65616,2184,64524,797090,12.15
MN,b,1941-1949,69,0.03714,0.03646,0.5,63432,2313,62276,732565,11.55
MN,b,1941-1949,70,0.04081,0.04000,0.5,61120,2445,59897,670289,10.97
MN,b,1941-1949,71,0.04461,0.04364,0.5,58675,2560,57395,610392,10.40
MN,b,1941-1949,72,0.04908,0.04790,0.5,56115,2688,54771,552997,9.85
MN,b,1941-1949,73,0.05434,0.05290,0.5,53427,2826,52013,498227,9.33
MN,b,1941-1949,74,0.05983,0.05809,0.5,50600,2939,49131,446213,8.82
MN,b,1941-1949,75,0.06608,0.06397,0.5,47661,3049,46136,397083,8.33
MN,b,1941-1949,76,0.07258,0.07004,0.5,44612,3125,43050,350946,7.87
MN,b,1941-1949,77,0.07914,0.07612,0.5,41487,3158,39908,307897,7.42
MN,b,1941-1949,78,0.08670,0.08310,0.5,38329,3185,36737,267988,6.99
MN,b,1941-1949,79,0.09511,0.09079,0.5,35144,3191,33549,231252,6.58
MN,b,1941-1949,80,0.10410,0.09895,0.5,31953,3162,30373,197703,6.19
MN,b,1941-1949,81,0.11454,0.10833,0.5,28792,3119,27232,167330,5.81
MN,b,1941-1949,82,0.12577,0.11833,0.5,25673,3038,24154,140098,5.46
MN,b,1941-1949,83,0.13791,0.12901,0.5,22635,2920,21175,115944,5.12
MN,b,1941-1949,84,0.15077,0.14020,0.5,19715,2764,18333,94770,4.81
MN,b,1941-1949,85,0.16432,0.15185,0.5,16951,2574,15664,76437,4.51
MN,b,1941-1949,86,0.17968,0.16487,0.5,14377,2370,13192,60773,4.23
