PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,f,1941-1949,0,0.02661,0.02601,0.13,100000,2601,97731,7149380,71.49
MN,f,1941-1949,1,0.00219,0.00219,0.5,97399,213,97293,7051649,72.40
MN,f,1941-1949,2,0.00139,0.00139,0.5,97186,135,97119,6954356,71.56
MN,f,1941-1949,3,0.00108,0.00108,0.5,97052,105,96999,6857237,70.66
MN,f,1941-1949,4,0.00089,0.00089,0.5,96947,86,96904,6760238,69.73
MN,f,1941-1949,5,0.00076,0.00075,0.5,96861,73,96824,6663335,68.79
MN,f,1941-1949,6,0.00067,0.00067,0.5,96788,65,96755,6566510,67.84
MN,f,1941-1949,7,0.00061,0.00061,0.5,96723,59,96694,6469755,66.89
MN,f,1941-1949,8,0.00057,0.00057,0.5,96664,55,96637,6373061,65.93
MN,f,1941-1949,9,0.00055,0.00055,0.5,96609,53,96583,6276425,64.97
MN,f,1941-1949,10,0.00056,0.00056,0.5,96556,54,96529,6179842,64.00
MN,f,1941-1949,11,0.00057,0.00057,0.5,96502,55,96475,6083313,63.04
MN,f,1941-1949,12,0.00059,0.00059,0.5,96447,57,96419,5986838,62.07
MN,f,1941-1949,13,0.00061,0.00061,0.5,96391,59,96361,5890419,61.11
MN,f,1941-1949,14,0.00063,0.00063,0.5,96332,61,96302,5794057,60.15
MN,f,1941-1949,15,0.00066,0.00066,0.5,96271,63,96240,5697755,59.18
MN,f,1941-1949,16,0.00069,0.00069,0.5,96208,67,96175,5601516,58.22
MN,f,1941-1949,17,0.00073,0.00073,0.5,96141,70,96106,5505341,57.26
MN,f,1941-1949,18,0.00078,0.00078,0.5,96071,75,96033,5409235,56.30
MN,f,1941-1949,19,0.00084,0.00084,0.5,95996,81,95955,5313202,55.35
MN,f,1941-1949,20,0.00090,0.00090,0.5,95915,87,95872,5217246,54.39
MN,f,1941-1949,21,0.00096,0.00096,0.5,95828,92,95782,5121375,53.44
MN,f,1941-1949,22,0.00100,0.00100,0.5,95737,96,95689,5025592,52.49
MN,f,1941-1949,23,0.00103,0.00103,0.5,95641,98,95592,4929903,51.55
MN,f,1941-1949,24,0.00104,0.00104,0.5,95543,99,95493,4834312,50.60
MN,f,1941-1949,25,0.00104,0.00104,0.5,95444,99,95394,4738819,49.65
MN,f,1941-1949,26,0.00105,0.00105,0.5,95345,100,95295,4643425,48.70
MN,f,1941-1949,27,0.00108,0.00108,0.5,95245,103,95193,4548130,47.75
MN,f,1941-1949,28,0.00113,0.00113,0.5,95142,108,95088,4452937,46.80
MN,f,1941-1949,29,0.00120,0.00120,0.5,95034,114,94977,4357849,45.86
MN,f,1941-1949,30,0.00129,0.00129,0.5,94919,122,94858,4262873,44.91
MN,f,1941-1949,31,0.00138,0.00138,0.5,94797,131,94732,4168014,43.97
MN,f,1941-1949,32,0.00149,0.00149,0.5,94666,141,94596,4073283,43.03
MN,f,1941-1949,33,0.00161,0.00161,0.5,94525,152,94449,3978687,42.09
MN,f,1941-1949,34,0.00174,0.00174,0.5,94373,164,94291,3884238,41.16
MN,f,1941-1949,35,0.00189,0.00189,0.5,94209,178,94120,3789947,40.23
MN,f,1941-1949,36,0.00202,0.00202,0.5,94031,190,93936,3695827,39.30
MN,f,1941-1949,37,0.00214,0.00214,0.5,93841,201,93741,3601890,38.38
MN,f,1941-1949,38,0.00226,0.00226,0.5,93640,212,93535,3508149,37.46
MN,f,1941-1949,39,0.00237,0.00237,0.5,93429,221,93318,3414615,36.55
MN,f,1941-1949,40,0.00248,0.00248,0.5,93207,231,93092,3321297,35.63
MN,f,1941-1949,41,0.00262,0.00262,0.5,92976,243,92854,3228205,34.72
MN,f,1941-1949,42,0.00284,0.00284,0.5,92733,263,92601,3135351,33.81
MN,f,1941-1949,43,0.00313,0.00313,0.5,92470,289,92325,3042750,32.91
MN,f,1941-1949,44,0.00347,0.00347,0.5,92180,319,92021,2950425,32.01
MN,f,1941-1949,45,0.00387,0.00387,0.5,91861,355,91683,2858404,31.12
MN,f,1941-1949,46,0.00426,0.00425,0.5,91506,389,91311,2766721,30.24
