PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MO,f,1941-1949,0,0.03261,0.03173,0.14,100000,3173,97285,6937999,69.38
MO,f,1941-1949,1,0.00325,0.00324,0.5,96827,314,96670,6840714,70.65
MO,f,1941-1949,2,0.00170,0.00170,0.5,96513,164,96431,6744044,69.88
MO,f,1941-1949,3,0.00137,0.00137,0.5,96349,132,96283,6647612,69.00
MO,f,1941-1949,4,0.00113,0.00113,0.5,96217,109,96163,6551329,68.09
MO,f,1941-1949,5,0.00094,0.00094,0.5,96108,90,96063,6455167,67.17
MO,f,1941-1949,6,0.00081,0.00081,0.5,96018,78,95979,6359103,66.23
MO,f,1941-1949,7,0.00071,0.00071,0.5,95940,68,95906,6263124,65.28
MO,f,1941-1949,8,0.00063,0.00063,0.5,95873,60,95842,6167218,64.33
MO,f,1941-1949,9,0.00057,0.00057,0.5,95812,55,95785,6071375,63.37
MO,f,1941-1949,10,0.00054,0.00054,0.5,95758,52,95732,5975590,62.40
MO,f,1941-1949,11,0.00055,0.00055,0.5,95706,52,95679,5879859,61.44
MO,f,1941-1949,12,0.00059,0.00059,0.5,95653,56,95625,5784179,60.47
MO,f,1941-1949,13,0.00067,0.00067,0.5,95597,64,95565,5688554,59.51
MO,f,1941-1949,14,0.00077,0.00077,0.5,95533,74,95496,5592989,58.55
MO,f,1941-1949,15,0.00090,0.00090,0.5,95459,86,95416,5497493,57.59
MO,f,1941-1949,16,0.00102,0.00102,0.5,95373,97,95324,5402077,56.64
MO,f,1941-1949,17,0.00111,0.00111,0.5,95276,106,95223,5306753,55.70
MO,f,1941-1949,18,0.00119,0.00119,0.5,95170,113,95113,5211530,54.76
MO,f,1941-1949,19,0.00125,0.00125,0.5,95056,119,94997,5116417,53.83
MO,f,1941-1949,20,0.00129,0.00129,0.5,94938,123,94876,5021420,52.89
MO,f,1941-1949,21,0.00134,0.00134,0.5,94815,127,94752,4926544,51.96
MO,f,1941-1949,22,0.00139,0.00138,0.5,94688,131,94623,4831792,51.03
MO,f,1941-1949,23,0.00143,0.00143,0.5,94557,136,94489,4737170,50.10
MO,f,1941-1949,24,0.00148,0.00148,0.5,94422,140,94351,4642680,49.17
MO,f,1941-1949,25,0.00154,0.00154,0.5,94281,145,94209,4548329,48.24
MO,f,1941-1949,26,0.00160,0.00160,0.5,94136,151,94061,4454120,47.32
MO,f,1941-1949,27,0.00168,0.00168,0.5,93986,157,93907,4360059,46.39
MO,f,1941-1949,28,0.00176,0.00176,0.5,93828,165,93745,4266152,45.47
MO,f,1941-1949,29,0.00186,0.00186,0.5,93663,174,93576,4172407,44.55
MO,f,1941-1949,30,0.00196,0.00196,0.5,93489,183,93397,4078831,43.63
MO,f,1941-1949,31,0.00206,0.00206,0.5,93306,192,93210,3985433,42.71
MO,f,1941-1949,32,0.00218,0.00218,0.5,93114,203,93012,3892224,41.80
MO,f,1941-1949,33,0.00231,0.00231,0.5,92911,214,92804,3799211,40.89
MO,f,1941-1949,34,0.00245,0.00245,0.5,92697,227,92583,3706408,39.98
MO,f,1941-1949,35,0.00263,0.00262,0.5,92470,242,92348,3613824,39.08
MO,f,1941-1949,36,0.00280,0.00280,0.5,92227,258,92098,3521476,38.18
