PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MS,b,1941-1944,0,0.05107,0.04904,0.19,100000,4904,96024,6239842,62.40
MS,b,1941-1944,1-4,0.00360,0.01425,1.44,95096,1355,376915,6143817,64.61
MS,b,1941-1944,5-9,0.00106,0.00527,2.25,93740,494,467346,5766903,61.52
MS,b,1941-1944,10-14,0.00115,0.00576,2.77,93247,537,465039,5299557,56.83
MS,b,1941-1944,15-19,0.00236,0.01172,2.72,92710,1087,461077,4834518,52.15
MS,b,1941-1944,20-24,0.00343,0.01701,2.58,91623,1558,454347,4373441,47.73
MS,b,1941-1944,25-29,0.00372,0.01844,2.5,90065,1661,446181,3919094,43.51
MS,b,1941-1944,30-34,0.00432,0.02138,2.6,88404,1890,437495,3472913,39.28
MS,b,1941-1944,35-39,0.00598,0.02947,2.59,86514,2549,426438,3035418,35.09
MS,b,1941-1944,40-44,0.00736,0.03618,2.59,83965,3038,412503,2608980,31.07
MS,b,1941-1944,45-49,0.01052,0.05128,2.58,80928,4150,394613,2196477,27.14
MS,b,1941-1944,50-54,0.01430,0.06912,2.61,76778,5307,371197,1801864,23.47
MS,b,1941-1944,55-59,0.01958,0.09334,2.51,71471,6671,340774,1430667,20.02
MS,b,1941-1944,60-64,0.02625,0.12356,2.63,64800,8007,305028,1089893,16.82
MS,b,1941-1944,65-69,0.03729,0.17041,2.48,56793,9678,259548,784864,13.82
MS,b,1941-1944,70-74,0.05464,0.24109,2.56,47115,11359,207885,525316,11.15
MS,b,1941-1944,75-79,0.08040,0.33432,2.48,35756,11954,148675,317431,8.88
MS,b,1941-1944,80-84,0.11721,0.44950,2.41,23802,10699,91278,168756,7.09
MS,b,1941-1944,85-89,0.14908,0.53043,2.28,13103,6950,46621,77478,5.91
MS,b,1941-1944,90-94,0.18150,0.60270,2.21,6153,3708,20431,30857,5.02
MS,b,1941-1944,95-99,0.21906,0.67302,2.14,2445,1645,7510,10425,4.26
MS,b,1941-1944,100-104,0.26183,0.73847,2.05,799,590,2254,2915,3.65
MS,b,1941-1944,105-109,0.30959,0.79659,1.95,209,167,538,660,3.16
MS,b,1941-1944,110+,0.34742,1.00000,2.88,43,43,122,122,2.88
MS,b,1945-1949,0,0.04088,0.03952,0.16,100000,3952,96686,6528707,65.29
MS,b,1945-1949,1-4,0.00220,0.00876,1.58,96048,842,382154,6432021,66.97
