MS: MS, Lifetables (period 5x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04005	0.03875	0.17	100000	3875	96765	6594211	65.94
1941-1949	1-4	0.00252	0.01002	1.51	96125	963	382099	6497446	67.59
1941-1949	5-9	0.00086	0.00427	2.2	95162	406	474673	6115347	64.26
1941-1949	10-14	0.00087	0.00435	2.8	94756	412	472872	5640674	59.53
1941-1949	15-19	0.00185	0.00922	2.71	94343	870	469724	5167802	54.78
1941-1949	20-24	0.00256	0.01270	2.58	93474	1187	464493	4698078	50.26
1941-1949	25-29	0.00300	0.01490	2.55	92286	1375	458064	4233585	45.87
1941-1949	30-34	0.00364	0.01804	2.61	90911	1640	450635	3775521	41.53
1941-1949	35-39	0.00517	0.02555	2.62	89271	2281	440930	3324886	37.24
1941-1949	40-44	0.00662	0.03258	2.57	86990	2834	428079	2883957	33.15
1941-1949	45-49	0.00864	0.04231	2.61	84156	3560	412274	2455878	29.18
1941-1949	50-54	0.01218	0.05917	2.59	80596	4769	391485	2043604	25.36
1941-1949	55-59	0.01595	0.07678	2.56	75827	5822	364955	1652119	21.79
1941-1949	60-64	0.02082	0.09913	2.58	70005	6939	333241	1287164	18.39
1941-1949	65-69	0.03150	0.14640	2.59	63066	9233	293099	953923	15.13
1941-1949	70-74	0.04535	0.20410	2.55	53833	10987	242294	660824	12.28
1941-1949	75-79	0.06890	0.29434	2.53	42846	12611	183028	418530	9.77
1941-1949	80-84	0.10153	0.40357	2.46	30234	12202	120183	235501	7.79
1941-1949	85-89	0.13286	0.49026	2.33	18033	8841	66541	115318	6.39
1941-1949	90-94	0.16745	0.57356	2.25	9192	5272	31486	48777	5.31
1941-1949	95-99	0.20874	0.65593	2.17	3920	2571	12317	17290	4.41
1941-1949	100-104	0.25695	0.73272	2.07	1349	988	3846	4973	3.69
1941-1949	105-109	0.31178	0.79996	1.96	360	288	925	1128	3.13
1941-1949	110+	0.35584	1.00000	2.81	72	72	203	203	2.81
1950-1959	0	0.03570	0.03465	0.15	100000	3465	97065	7010756	70.11
1950-1959	1-4	0.00174	0.00691	1.51	96535	667	384480	6913691	71.62
1950-1959	5-9	0.00060	0.00297	2.21	95867	285	478541	6529211	68.11
1950-1959	10-14	0.00047	0.00233	2.7	95583	223	477400	6050670	63.30
1950-1959	15-19	0.00092	0.00458	2.71	95360	436	475799	5573270	58.44
1950-1959	20-24	0.00133	0.00663	2.64	94923	629	473132	5097471	53.70
1950-1959	25-29	0.00177	0.00884	2.58	94294	833	469455	4624339	49.04
1950-1959	30-34	0.00225	0.01117	2.63	93461	1044	464823	4154883	44.46
1950-1959	35-39	0.00317	0.01572	2.62	92416	1453	458622	3690060	39.93
1950-1959	40-44	0.00425	0.02106	2.63	90964	1915	450271	3231438	35.52
1950-1959	45-49	0.00622	0.03065	2.66	89048	2729	438853	2781167	31.23
