PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MS,m,1941-1949,0,0.05014,0.04815,0.18,100000,4815,96049,6227203,62.27
MS,m,1941-1949,1,0.00528,0.00526,0.5,95185,501,94934,6131154,64.41
MS,m,1941-1949,2,0.00308,0.00307,0.5,94684,291,94538,6036220,63.75
MS,m,1941-1949,3,0.00203,0.00203,0.5,94393,192,94297,5941681,62.95
MS,m,1941-1949,4,0.00168,0.00168,0.5,94201,158,94122,5847385,62.07
MS,m,1941-1949,5,0.00140,0.00140,0.5,94043,132,93977,5753263,61.18
MS,m,1941-1949,6,0.00118,0.00118,0.5,93911,110,93856,5659286,60.26
MS,m,1941-1949,7,0.00101,0.00101,0.5,93800,95,93753,5565430,59.33
MS,m,1941-1949,8,0.00091,0.00091,0.5,93705,85,93663,5471677,58.39
MS,m,1941-1949,9,0.00087,0.00087,0.5,93620,81,93579,5378015,57.45
MS,m,1941-1949,10,0.00089,0.00089,0.5,93539,83,93497,5284435,56.49
MS,m,1941-1949,11,0.00096,0.00096,0.5,93456,90,93411,5190938,55.54
MS,m,1941-1949,12,0.00109,0.00109,0.5,93366,102,93315,5097528,54.60
MS,m,1941-1949,13,0.00126,0.00126,0.5,93264,117,93205,5004213,53.66
MS,m,1941-1949,14,0.00147,0.00147,0.5,93147,137,93078,4911007,52.72
MS,m,1941-1949,15,0.00173,0.00173,0.5,93010,161,92930,4817929,51.80
MS,m,1941-1949,16,0.00200,0.00200,0.5,92849,186,92756,4724999,50.89
MS,m,1941-1949,17,0.00229,0.00228,0.5,92663,212,92558,4632243,49.99
MS,m,1941-1949,18,0.00259,0.00258,0.5,92452,239,92332,4539685,49.10
MS,m,1941-1949,19,0.00289,0.00289,0.5,92213,267,92080,4447353,48.23
MS,m,1941-1949,20,0.00320,0.00319,0.5,91946,294,91800,4355273,47.37
MS,m,1941-1949,21,0.00346,0.00345,0.5,91653,316,91495,4263474,46.52
MS,m,1941-1949,22,0.00363,0.00362,0.5,91337,331,91171,4171979,45.68
MS,m,1941-1949,23,0.00372,0.00371,0.5,91006,338,90837,4080808,44.84
MS,m,1941-1949,24,0.00372,0.00372,0.5,90668,337,90499,3989971,44.01
MS,m,1941-1949,25,0.00364,0.00363,0.5,90331,328,90167,3899472,43.17
MS,m,1941-1949,26,0.00357,0.00356,0.5,90003,320,89843,3809305,42.32
MS,m,1941-1949,27,0.00355,0.00354,0.5,89682,318,89524,3719463,41.47
MS,m,1941-1949,28,0.00359,0.00359,0.5,89365,320,89204,3629939,40.62
MS,m,1941-1949,29,0.00368,0.00367,0.5,89044,327,88881,3540735,39.76
MS,m,1941-1949,30,0.00383,0.00382,0.5,88717,339,88548,3451854,38.91
MS,m,1941-1949,31,0.00395,0.00394,0.5,88378,348,88204,3363306,38.06
MS,m,1941-1949,32,0.00408,0.00408,0.5,88030,359,87851,3275102,37.20
MS,m,1941-1949,33,0.00427,0.00426,0.5,87671,373,87485,3187251,36.35
MS,m,1941-1949,34,0.00447,0.00446,0.5,87298,389,87103,3099767,35.51
MS,m,1941-1949,35,0.00473,0.00471,0.5,86909,410,86704,3012663,34.66
MS,m,1941-1949,36,0.00495,0.00493,0.5,86499,427,86285,2925960,33.83
MS,m,1941-1949,37,0.00518,0.00517,0.5,86072,445,85850,2839674,32.99
MS,m,1941-1949,38,0.00551,0.00549,0.5,85627,470,85392,2753824,32.16
MS,m,1941-1949,39,0.00584,0.00583,0.5,85157,496,84909,2668432,31.34
MS,m,1941-1949,40,0.00615,0.00613,0.5,84661,519,84401,2583523,30.52
MS,m,1941-1949,41,0.00638,0.00636,0.5,84142,535,83874,2499122,29.70
MS,m,1941-1949,42,0.00678,0.00676,0.5,83606,565,83324,2415248,28.89
MS,m,1941-1949,43,0.00738,0.00735,0.5,83041,610,82736,2331925,28.08
MS,m,1941-1949,44,0.00799,0.00796,0.5,82431,656,82102,2249189,27.29
MS,m,1941-1949,45,0.00874,0.00870,0.5,81774,712,81419,2167086,26.50
MS,m,1941-1949,46,0.00939,0.00934,0.5,81063,757,80684,2085668,25.73
MS,m,1941-1949,47,0.01007,0.01002,0.5,80305,805,79903,2004984,24.97
MS,m,1941-1949,48,0.01103,0.01097,0.5,79501,872,79065,1925081,24.21
MS,m,1941-1949,49,0.01219,0.01211,0.5,78629,952,78153,1846016,23.48
MS,m,1941-1949,50,0.01348,0.01339,0.5,77676,1040,77156,1767864,22.76
MS,m,1941-1949,51,0.01429,0.01419,0.5,76636,1087,76093,1690707,22.06
MS,m,1941-1949,52,0.01514,0.01503,0.5,75549,1135,74981,1614615,21.37
MS,m,1941-1949,53,0.01633,0.01620,0.5,74414,1205,73811,1539633,20.69
MS,m,1941-1949,54,0.01754,0.01739,0.5,73208,1273,72572,1465822,20.02
MS,m,1941-1949,55,0.01894,0.01876,0.5,71935,1350,71260,1393251,19.37
MS,m,1941-1949,56,0.02006,0.01986,0.5,70586,1402,69885,1321990,18.73
MS,m,1941-1949,57,0.02101,0.02079,0.5,69184,1438,68465,1252106,18.10
MS,m,1941-1949,58,0.02221,0.02196,0.5,67745,1488,67001,1183641,17.47
