PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,b,1941-1949,0,0.03542,0.03438,0.15,100000,3438,97067,6675139,66.75
MT,b,1941-1949,1-4,0.00242,0.00962,1.51,96562,929,383936,6578072,68.12
MT,b,1941-1949,5-9,0.00096,0.00477,2.41,95632,456,476983,6194136,64.77
MT,b,1941-1949,10-14,0.00102,0.00507,2.67,95177,483,474760,5717153,60.07
MT,b,1941-1949,15-19,0.00164,0.00815,2.61,94694,772,471625,5242393,55.36
MT,b,1941-1949,20-24,0.00180,0.00895,2.49,93922,841,467499,4770769,50.80
MT,b,1941-1949,25-29,0.00185,0.00919,2.55,93081,856,463311,4303270,46.23
MT,b,1941-1949,30-34,0.00234,0.01165,2.6,92225,1075,458549,3839959,41.64
MT,b,1941-1949,35-39,0.00311,0.01543,2.63,91151,1407,452419,3381410,37.10
MT,b,1941-1949,40-44,0.00462,0.02284,2.66,89744,2050,443916,2928991,32.64
MT,b,1941-1949,45-49,0.00688,0.03384,2.64,87694,2968,431477,2485075,28.34
MT,b,1941-1949,50-54,0.01004,0.04903,2.62,84727,4154,413739,2053598,24.24
MT,b,1941-1949,55-59,0.01472,0.07111,2.64,80572,5730,389366,1639859,20.35
MT,b,1941-1949,60-64,0.02326,0.11022,2.62,74843,8249,354620,1250494,16.71
MT,b,1941-1949,65-69,0.03492,0.16113,2.6,66594,10730,307246,895874,13.45
MT,b,1941-1949,70-74,0.05487,0.24218,2.58,55863,13529,246582,588628,10.54
MT,b,1941-1949,75-79,0.08589,0.35345,2.5,42334,14963,174211,342046,8.08
MT,b,1941-1949,80-84,0.13067,0.48689,2.38,27371,13327,101991,167834,6.13
MT,b,1941-1949,85-89,0.18612,0.61647,2.26,14044,8658,46518,65844,4.69
MT,b,1941-1949,90-94,0.25811,0.73869,2.11,5386,3979,15415,19326,3.59
MT,b,1941-1949,95-99,0.34601,0.83759,1.92,1408,1179,3407,3911,2.78
MT,b,1941-1949,100-104,0.44570,0.90591,1.72,229,207,465,503,2.20
MT,b,1941-1949,105-109,0.54975,0.94702,1.54,22,20,37,39,1.81
MT,b,1941-1949,110+,0.63296,1.00000,1.58,1,1,2,2,1.58
MT,b,1950-1959,0,0.02717,0.02653,0.12,100000,2653,97676,6878108,68.78
MT,b,1950-1959,1-4,0.00145,0.00580,1.6,97347,564,388032,6780432,69.65
MT,b,1950-1959,5-9,0.00065,0.00322,2.31,96782,312,483075,6392401,66.05
MT,b,1950-1959,10-14,0.00066,0.00328,2.75,96471,317,481640,5909326,61.26
MT,b,1950-1959,15-19,0.00144,0.00716,2.72,96154,688,479204,5427686,56.45
MT,b,1950-1959,20-24,0.00178,0.00888,2.5,95466,848,475211,4948482,51.84
MT,b,1950-1959,25-29,0.00183,0.00909,2.52,94618,860,470960,4473271,47.28
MT,b,1950-1959,30-34,0.00212,0.01053,2.57,93758,987,466390,4002311,42.69
MT,b,1950-1959,35-39,0.00276,0.01370,2.63,92770,1271,460841,3535921,38.11
MT,b,1950-1959,40-44,0.00409,0.02026,2.65,91499,1854,453131,3075080,33.61
