MT: MT, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03228	0.03141	0.14	100000	3141	97309	6921347	69.21
1941-1944	1-4	0.00240	0.00955	1.55	96859	925	385168	6824038	70.45
1941-1944	5-9	0.00083	0.00414	2.16	95933	397	478539	6438870	67.12
1941-1944	10-14	0.00091	0.00455	2.68	95536	435	476674	5960332	62.39
1941-1944	15-19	0.00133	0.00661	2.61	95101	629	474007	5483657	57.66
1941-1944	20-24	0.00163	0.00810	2.52	94473	765	470470	5009650	53.03
1941-1944	25-29	0.00164	0.00819	2.54	93708	767	466652	4539180	48.44
1941-1944	30-34	0.00207	0.01029	2.59	92941	956	462396	4072528	43.82
1941-1944	35-39	0.00262	0.01301	2.62	91985	1196	457073	3610132	39.25
1941-1944	40-44	0.00385	0.01910	2.66	90788	1734	449880	3153059	34.73
1941-1944	45-49	0.00541	0.02671	2.58	89054	2378	439507	2703180	30.35
1941-1944	50-54	0.00708	0.03483	2.64	86675	3019	426240	2263673	26.12
1941-1944	55-59	0.01081	0.05271	2.64	83657	4410	407888	1837433	21.96
1941-1944	60-64	0.01700	0.08179	2.68	79247	6482	381185	1429545	18.04
1941-1944	65-69	0.02915	0.13642	2.65	72765	9927	340487	1048361	14.41
1941-1944	70-74	0.04878	0.21855	2.62	62838	13733	281513	707873	11.27
1941-1944	75-79	0.07732	0.32385	2.49	49105	15903	205687	426360	8.68
1941-1944	80-84	0.11141	0.43424	2.46	33202	14418	129413	220673	6.65
1941-1944	85-89	0.17347	0.59211	2.32	18784	11123	64119	91260	4.86
1941-1944	90-94	0.25899	0.74256	2.13	7662	5689	21968	27141	3.54
1941-1944	95-99	0.36701	0.85764	1.89	1972	1692	4609	5174	2.62
1941-1944	100-104	0.49014	0.92813	1.65	281	261	532	564	2.01
1941-1944	105-109	0.61521	0.96422	1.44	20	19	32	33	1.62
1941-1944	110+	0.71227	1.00000	1.4	1	1	1	1	1.40
1945-1949	0	0.02809	0.02742	0.13	100000	2742	97619	7089104	70.89
1945-1949	1-4	0.00193	0.00769	1.51	97258	748	387168	6991485	71.89
1945-1949	5-9	0.00062	0.00309	2.49	96510	298	481801	6604318	68.43
1945-1949	10-14	0.00065	0.00323	2.68	96212	311	480338	6122516	63.64
1945-1949	15-19	0.00112	0.00561	2.63	95901	538	478229	5642178	58.83
1945-1949	20-24	0.00124	0.00618	2.5	95363	590	475341	5163949	54.15
1945-1949	25-29	0.00136	0.00679	2.57	94774	643	472309	4688607	49.47
1945-1949	30-34	0.00173	0.00863	2.6	94131	813	468704	4216298	44.79
1945-1949	35-39	0.00231	0.01151	2.64	93318	1074	464061	3747595	40.16
1945-1949	40-44	0.00350	0.01738	2.63	92244	1603	457425	3283533	35.60
