MT: MT, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04571	0.04404	0.17	100000	4404	96335	6252116	62.52
1941	1	0.00612	0.00610	0.5	95596	583	95305	6155781	64.39
1941	2	0.00349	0.00348	0.5	95014	331	94848	6060476	63.79
1941	3	0.00243	0.00242	0.5	94683	229	94568	5965628	63.01
1941	4	0.00223	0.00223	0.5	94454	211	94348	5871060	62.16
1941	5	0.00182	0.00181	0.5	94243	171	94157	5776712	61.30
1941	6	0.00141	0.00141	0.5	94072	132	94006	5682554	60.41
1941	7	0.00116	0.00116	0.5	93939	109	93885	5588549	59.49
1941	8	0.00105	0.00105	0.5	93830	98	93781	5494664	58.56
1941	9	0.00104	0.00104	0.5	93732	97	93683	5400883	57.62
1941	10	0.00115	0.00115	0.5	93635	107	93581	5307199	56.68
1941	11	0.00132	0.00132	0.5	93527	123	93466	5213618	55.74
1941	12	0.00154	0.00154	0.5	93404	144	93332	5120153	54.82
1941	13	0.00180	0.00179	0.5	93260	167	93177	5026821	53.90
1941	14	0.00213	0.00213	0.5	93093	198	92994	4933644	53.00
1941	15	0.00244	0.00244	0.5	92895	226	92782	4840650	52.11
1941	16	0.00265	0.00265	0.5	92668	245	92546	4747868	51.24
1941	17	0.00276	0.00275	0.5	92423	255	92296	4655323	50.37
1941	18	0.00278	0.00278	0.5	92168	256	92040	4563027	49.51
1941	19	0.00276	0.00275	0.5	91912	253	91786	4470987	48.64
1941	20	0.00272	0.00271	0.5	91659	249	91535	4379201	47.78
1941	21	0.00268	0.00268	0.5	91410	245	91288	4287666	46.91
1941	22	0.00261	0.00261	0.5	91166	238	91047	4196378	46.03
1941	23	0.00258	0.00258	0.5	90928	234	90811	4105331	45.15
1941	24	0.00260	0.00259	0.5	90694	235	90576	4014520	44.26
1941	25	0.00264	0.00264	0.5	90459	239	90339	3923944	43.38
1941	26	0.00269	0.00269	0.5	90220	243	90099	3833604	42.49
1941	27	0.00276	0.00276	0.5	89977	248	89853	3743506	41.61
1941	28	0.00294	0.00293	0.5	89729	263	89597	3653653	40.72
1941	29	0.00318	0.00317	0.5	89466	284	89324	3564056	39.84
1941	30	0.00334	0.00334	0.5	89182	298	89033	3474732	38.96
1941	31	0.00347	0.00346	0.5	88884	308	88730	3385699	38.09
1941	32	0.00368	0.00367	0.5	88577	325	88414	3296969	37.22
1941	33	0.00375	0.00374	0.5	88251	330	88086	3208555	36.36
1941	34	0.00364	0.00363	0.5	87921	319	87762	3120469	35.49
1941	35	0.00350	0.00350	0.5	87602	306	87449	3032708	34.62
1941	36	0.00348	0.00347	0.5	87296	303	87144	2945259	33.74
1941	37	0.00373	0.00373	0.5	86992	324	86830	2858115	32.85
1941	38	0.00428	0.00427	0.5	86668	370	86483	2771284	31.98
1941	39	0.00497	0.00496	0.5	86298	428	86085	2684801	31.11
1941	40	0.00552	0.00550	0.5	85871	473	85634	2598717	30.26
1941	41	0.00613	0.00611	0.5	85398	522	85137	2513082	29.43
1941	42	0.00729	0.00727	0.5	84876	617	84568	2427945	28.61
1941	43	0.00776	0.00773	0.5	84259	651	83934	2343378	27.81
1941	44	0.00762	0.00759	0.5	83608	635	83291	2259444	27.02
1941	45	0.00766	0.00763	0.5	82973	633	82657	2176153	26.23
1941	46	0.00759	0.00757	0.5	82340	623	82029	2093496	25.42
1941	47	0.00813	0.00809	0.5	81717	661	81387	2011468	24.61
1941	48	0.00905	0.00901	0.5	81056	730	80691	1930081	23.81
