PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,m,1941-1944,0,0.04248,0.04101,0.16,100000,4101,96551,6359909,63.60
MT,m,1941-1944,1-4,0.00336,0.01334,1.42,95899,1279,380301,6263358,65.31
MT,m,1941-1944,5-9,0.00114,0.00567,2.38,94620,536,471696,5883057,62.18
MT,m,1941-1944,10-14,0.00139,0.00694,2.7,94084,653,468917,5411361,57.52
MT,m,1941-1944,15-19,0.00214,0.01064,2.57,93431,994,464739,4942444,52.90
MT,m,1941-1944,20-24,0.00217,0.01081,2.49,92437,999,459680,4477705,48.44
MT,m,1941-1944,25-29,0.00235,0.01171,2.56,91438,1070,454580,4018025,43.94
MT,m,1941-1944,30-34,0.00287,0.01426,2.59,90368,1288,448736,3563445,39.43
MT,m,1941-1944,35-39,0.00385,0.01906,2.63,89080,1698,441368,3114710,34.97
MT,m,1941-1944,40-44,0.00556,0.02744,2.66,87382,2398,431302,2673342,30.59
MT,m,1941-1944,45-49,0.00889,0.04356,2.67,84984,3702,416283,2242040,26.38
MT,m,1941-1944,50-54,0.01338,0.06484,2.61,81283,5271,393796,1825757,22.46
MT,m,1941-1944,55-59,0.01874,0.08968,2.6,76012,6817,363731,1431961,18.84
MT,m,1941-1944,60-64,0.02845,0.13325,2.63,69196,9220,324082,1068230,15.44
MT,m,1941-1944,65-69,0.04160,0.18903,2.59,59975,11337,272525,744147,12.41
MT,m,1941-1944,70-74,0.06359,0.27471,2.52,48638,13361,210119,471622,9.70
MT,m,1941-1944,75-79,0.09545,0.38456,2.47,35277,13566,142123,261503,7.41
MT,m,1941-1944,80-84,0.15578,0.54850,2.3,21711,11909,76443,119380,5.50
MT,m,1941-1944,85-89,0.20648,0.65368,2.19,9802,6408,31033,42937,4.38
MT,m,1941-1944,90-94,0.26814,0.75009,2.06,3395,2546,9497,11904,3.51
MT,m,1941-1944,95-99,0.34007,0.82996,1.92,848,704,2071,2407,2.84
MT,m,1941-1944,100-104,0.42010,0.88975,1.76,144,128,306,337,2.33
MT,m,1941-1944,105-109,0.50463,0.93057,1.61,16,15,29,31,1.97
MT,m,1941-1944,110+,0.57332,1.00000,1.74,1,1,2,2,1.74
MT,m,1945-1949,0,0.03970,0.03840,0.15,100000,3840,96742,6476965,64.77
MT,m,1945-1949,1-4,0.00224,0.00892,1.58,96160,858,382565,6380223,66.35
MT,m,1945-1949,5-9,0.00124,0.00619,2.51,95302,590,475041,5997658,62.93
MT,m,1945-1949,10-14,0.00115,0.00571,2.62,94712,541,472273,5522617,58.31
MT,m,1945-1949,15-19,0.00195,0.00971,2.63,94171,914,468691,5050344,53.63
MT,m,1945-1949,20-24,0.00214,0.01065,2.47,93257,993,463768,4581653,49.13
MT,m,1945-1949,25-29,0.00205,0.01018,2.54,92264,939,459010,4117885,44.63
MT,m,1945-1949,30-34,0.00270,0.01340,2.61,91324,1224,453702,3658875,40.06
MT,m,1945-1949,35-39,0.00358,0.01777,2.63,90100,1601,446703,3205173,35.57
MT,m,1945-1949,40-44,0.00536,0.02645,2.66,88499,2340,437028,2758471,31.17
MT,m,1945-1949,45-49,0.00828,0.04060,2.67,86159,3498,422633,2321443,26.94
MT,m,1945-1949,50-54,0.01240,0.06021,2.6,82661,4977,401351,1898809,22.97
MT,m,1945-1949,55-59,0.01755,0.08427,2.65,77684,6546,373032,1497459,19.28
MT,m,1945-1949,60-64,0.02800,0.13114,2.59,71137,9329,333167,1124427,15.81
MT,m,1945-1949,65-69,0.03883,0.17739,2.57,61809,10964,282397,791260,12.80
MT,m,1945-1949,70-74,0.05985,0.26154,2.59,50845,13298,222166,508863,10.01
MT,m,1945-1949,75-79,0.09613,0.38651,2.47,37547,14512,150972,286697,7.64
MT,m,1945-1949,80-84,0.13923,0.50896,2.36,23035,11724,84201,135725,5.89
MT,m,1945-1949,85-89,0.19417,0.63190,2.24,11311,7147,36810,51524,4.56
MT,m,1945-1949,90-94,0.26368,0.74567,2.09,4164,3105,11774,14714,3.53
MT,m,1945-1949,95-99,0.34695,0.83769,1.91,1059,887,2557,2940,2.78
MT,m,1945-1949,100-104,0.44062,0.90267,1.73,172,155,352,383,2.23
MT,m,1945-1949,105-109,0.53890,0.94340,1.56,17,16,29,31,1.84
MT,m,1945-1949,110+,0.61835,1.00000,1.62,1,1,2,2,1.62
MT,m,1950-1954,0,0.03228,0.03140,0.13,100000,3140,97273,6544874,65.45
MT,m,1950-1954,1-4,0.00173,0.00688,1.61,96860,667,385845,6447601,66.57
MT,m,1950-1954,5-9,0.00085,0.00425,2.48,96193,409,479934,6061757,63.02
MT,m,1950-1954,10-14,0.00085,0.00424,2.79,95784,406,478023,5581823,58.28
MT,m,1950-1954,15-19,0.00208,0.01033,2.7,95377,986,474616,5103800,53.51
MT,m,1950-1954,20-24,0.00229,0.01139,2.49,94392,1075,469262,4629184,49.04
MT,m,1950-1954,25-29,0.00253,0.01255,2.52,93317,1171,463681,4159922,44.58
MT,m,1950-1954,30-34,0.00269,0.01334,2.58,92146,1230,457755,3696241,40.11
MT,m,1950-1954,35-39,0.00375,0.01859,2.63,90916,1690,450572,3238486,35.62
MT,m,1950-1954,40-44,0.00529,0.02613,2.66,89226,2331,440676,2787914,31.25
MT,m,1950-1954,45-49,0.00840,0.04120,2.66,86895,3580,426102,2347238,27.01
MT,m,1950-1954,50-54,0.01273,0.06179,2.65,83315,5148,404467,1921136,23.06
MT,m,1950-1954,55-59,0.01894,0.09056,2.6,78167,7079,373830,1516669,19.40
MT,m,1950-1954,60-64,0.02699,0.12674,2.6,71088,9010,333821,1142839,16.08
MT,m,1950-1954,65-69,0.03905,0.17823,2.56,62078,11064,283344,809019,13.03
MT,m,1950-1954,70-74,0.05714,0.25075,2.56,51014,12792,223860,525675,10.30
MT,m,1950-1954,75-79,0.09018,0.36794,2.5,38223,14063,155945,301815,7.90
MT,m,1950-1954,80-84,0.13144,0.48960,2.4,24159,11828,89989,145870,6.04
MT,m,1950-1954,85-89,0.19272,0.63049,2.26,12331,7774,40341,55880,4.53
MT,m,1950-1954,90-94,0.27288,0.75959,2.08,4556,3461,12683,15540,3.41
MT,m,1950-1954,95-99,0.37048,0.85875,1.88,1095,941,2539,2857,2.61
MT,m,1950-1954,100-104,0.47986,0.92272,1.67,155,143,298,318,2.05
MT,m,1950-1954,105-109,0.59167,0.95848,1.47,12,11,19,20,1.68
MT,m,1950-1954,110+,0.67998,1.00000,1.47,0,0,1,1,1.47
MT,m,1955-1959,0,0.03061,0.02982,0.13,100000,2982,97398,6567900,65.68
MT,m,1955-1959,1-4,0.00154,0.00614,1.62,97018,596,386657,6470502,66.69
MT,m,1955-1959,5-9,0.00070,0.00349,2.33,96423,337,481215,6083846,63.10
MT,m,1955-1959,10-14,0.00073,0.00364,2.77,96086,350,479649,5602630,58.31
MT,m,1955-1959,15-19,0.00201,0.00999,2.79,95736,956,476566,5122981,53.51
MT,m,1955-1959,20-24,0.00309,0.01533,2.53,94780,1453,470311,4646415,49.02
MT,m,1955-1959,25-29,0.00276,0.01371,2.44,93326,1279,463359,4176104,44.75
MT,m,1955-1959,30-34,0.00283,0.01404,2.51,92047,1292,457020,3712745,40.34
MT,m,1955-1959,35-39,0.00333,0.01654,2.64,90755,1501,450231,3255725,35.87
MT,m,1955-1959,40-44,0.00537,0.02652,2.63,89254,2367,440668,2805494,31.43
MT,m,1955-1959,45-49,0.00792,0.03891,2.69,86887,3381,426624,2364826,27.22
MT,m,1955-1959,50-54,0.01216,0.05912,2.66,83506,4937,405994,1938201,23.21
MT,m,1955-1959,55-59,0.01852,0.08874,2.65,78569,6972,376495,1532207,19.50
MT,m,1955-1959,60-64,0.02696,0.12661,2.6,71597,9065,336263,1155712,16.14
MT,m,1955-1959,65-69,0.03808,0.17416,2.55,62533,10891,286024,819449,13.10
MT,m,1955-1959,70-74,0.05598,0.24623,2.56,51642,12716,227155,533425,10.33
MT,m,1955-1959,75-79,0.08806,0.36053,2.49,38926,14034,159362,306270,7.87
MT,m,1955-1959,80-84,0.13454,0.49816,2.4,24892,12400,92170,146908,5.90
MT,m,1955-1959,85-89,0.20020,0.64543,2.25,12492,8063,40273,54739,4.38
MT,m,1955-1959,90-94,0.28646,0.77724,2.06,4429,3443,12018,14465,3.27
MT,m,1955-1959,95-99,0.39109,0.87441,1.84,987,863,2206,2447,2.48
MT,m,1955-1959,100-104,0.50682,0.93383,1.62,124,116,228,241,1.95
MT,m,1955-1959,105-109,0.62248,0.96525,1.43,8,8,13,13,1.60
MT,m,1955-1959,110+,0.71209,1.00000,1.4,0,0,0,0,1.40
MT,m,1960-1964,0,0.02955,0.02880,0.12,100000,2880,97478,6641387,66.41
MT,m,1960-1964,1-4,0.00124,0.00494,1.51,97120,480,387285,6543909,67.38
