NC: NC, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.06472	0.06164	0.23	100000	6164	95237	6188209	61.88
1941	1	0.00722	0.00719	0.5	93836	675	93499	6092972	64.93
1941	2	0.00350	0.00349	0.5	93161	325	92999	5999473	64.40
1941	3	0.00217	0.00217	0.5	92836	201	92736	5906474	63.62
1941	4	0.00154	0.00154	0.5	92635	142	92564	5813739	62.76
1941	5	0.00123	0.00123	0.5	92492	113	92436	5721175	61.86
1941	6	0.00106	0.00106	0.5	92379	98	92330	5628739	60.93
1941	7	0.00097	0.00097	0.5	92281	89	92237	5536409	59.99
1941	8	0.00091	0.00091	0.5	92192	84	92150	5444173	59.05
1941	9	0.00088	0.00088	0.5	92108	81	92068	5352022	58.11
1941	10	0.00090	0.00090	0.5	92028	83	91987	5259954	57.16
1941	11	0.00096	0.00096	0.5	91945	88	91901	5167968	56.21
1941	12	0.00105	0.00105	0.5	91857	97	91809	5076066	55.26
1941	13	0.00117	0.00117	0.5	91761	107	91707	4984257	54.32
1941	14	0.00133	0.00133	0.5	91654	122	91593	4892550	53.38
1941	15	0.00158	0.00158	0.5	91532	144	91459	4800957	52.45
1941	16	0.00181	0.00180	0.5	91387	165	91305	4709498	51.53
1941	17	0.00201	0.00201	0.5	91222	184	91131	4618193	50.63
1941	18	0.00226	0.00226	0.5	91039	205	90936	4527063	49.73
1941	19	0.00245	0.00244	0.5	90834	222	90723	4436126	48.84
1941	20	0.00269	0.00269	0.5	90612	244	90490	4345404	47.96
1941	21	0.00297	0.00297	0.5	90368	268	90234	4254914	47.08
1941	22	0.00318	0.00317	0.5	90100	286	89957	4164680	46.22
1941	23	0.00336	0.00336	0.5	89814	301	89663	4074723	45.37
1941	24	0.00338	0.00337	0.5	89512	302	89362	3985060	44.52
1941	25	0.00331	0.00330	0.5	89211	295	89063	3895698	43.67
1941	26	0.00324	0.00323	0.5	88916	288	88772	3806635	42.81
1941	27	0.00332	0.00331	0.5	88628	294	88482	3717863	41.95
