PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NC,f,1941-1949,0,0.03932,0.03806,0.16,100000,3806,96814,6787588,67.88
NC,f,1941-1949,1,0.00351,0.00351,0.5,96194,338,96025,6690774,69.56
NC,f,1941-1949,2,0.00194,0.00194,0.5,95856,186,95763,6594749,68.80
NC,f,1941-1949,3,0.00151,0.00151,0.5,95670,144,95598,6498986,67.93
NC,f,1941-1949,4,0.00102,0.00102,0.5,95526,97,95477,6403388,67.03
NC,f,1941-1949,5,0.00084,0.00084,0.5,95429,80,95389,6307910,66.10
NC,f,1941-1949,6,0.00078,0.00078,0.5,95349,75,95312,6212521,65.16
NC,f,1941-1949,7,0.00073,0.00073,0.5,95274,70,95240,6117209,64.21
NC,f,1941-1949,8,0.00068,0.00068,0.5,95205,65,95172,6021970,63.25
NC,f,1941-1949,9,0.00063,0.00063,0.5,95140,60,95110,5926797,62.30
NC,f,1941-1949,10,0.00059,0.00059,0.5,95080,56,95052,5831687,61.33
NC,f,1941-1949,11,0.00058,0.00058,0.5,95024,55,94997,5736635,60.37
NC,f,1941-1949,12,0.00062,0.00062,0.5,94969,59,94940,5641639,59.40
NC,f,1941-1949,13,0.00070,0.00070,0.5,94911,67,94877,5546699,58.44
NC,f,1941-1949,14,0.00083,0.00083,0.5,94844,79,94805,5451821,57.48
NC,f,1941-1949,15,0.00099,0.00099,0.5,94765,94,94718,5357017,56.53
NC,f,1941-1949,16,0.00115,0.00115,0.5,94671,109,94617,5262299,55.58
NC,f,1941-1949,17,0.00129,0.00129,0.5,94562,122,94501,5167682,54.65
NC,f,1941-1949,18,0.00143,0.00143,0.5,94440,135,94373,5073181,53.72
NC,f,1941-1949,19,0.00155,0.00155,0.5,94305,146,94232,4978808,52.79
NC,f,1941-1949,20,0.00166,0.00166,0.5,94159,156,94081,4884576,51.88
NC,f,1941-1949,21,0.00176,0.00176,0.5,94003,165,93920,4790495,50.96
NC,f,1941-1949,22,0.00184,0.00184,0.5,93838,172,93752,4696575,50.05
NC,f,1941-1949,23,0.00191,0.00191,0.5,93665,179,93576,4602823,49.14
NC,f,1941-1949,24,0.00195,0.00195,0.5,93487,182,93396,4509247,48.23
NC,f,1941-1949,25,0.00199,0.00198,0.5,93304,185,93212,4415851,47.33
NC,f,1941-1949,26,0.00203,0.00203,0.5,93119,189,93025,4322639,46.42
NC,f,1941-1949,27,0.00209,0.00209,0.5,92931,194,92834,4229614,45.51
NC,f,1941-1949,28,0.00218,0.00218,0.5,92737,202,92636,4136781,44.61
NC,f,1941-1949,29,0.00229,0.00229,0.5,92535,212,92429,4044145,43.70
NC,f,1941-1949,30,0.00243,0.00243,0.5,92323,224,92210,3951717,42.80
NC,f,1941-1949,31,0.00255,0.00255,0.5,92098,235,91981,3859506,41.91
NC,f,1941-1949,32,0.00268,0.00268,0.5,91864,246,91741,3767525,41.01
NC,f,1941-1949,33,0.00284,0.00284,0.5,91618,260,91488,3675784,40.12
NC,f,1941-1949,34,0.00300,0.00300,0.5,91358,274,91221,3584296,39.23
NC,f,1941-1949,35,0.00320,0.00320,0.5,91084,291,90938,3493075,38.35
NC,f,1941-1949,36,0.00340,0.00339,0.5,90793,308,90639,3402137,37.47
NC,f,1941-1949,37,0.00361,0.00360,0.5,90485,326,90322,3311498,36.60
NC,f,1941-1949,38,0.00388,0.00387,0.5,90159,349,89985,3221176,35.73
NC,f,1941-1949,39,0.00417,0.00416,0.5,89810,374,89623,3131191,34.86
NC,f,1941-1949,40,0.00446,0.00445,0.5,89436,398,89237,3041568,34.01
NC,f,1941-1949,41,0.00467,0.00466,0.5,89038,415,88831,2952331,33.16
NC,f,1941-1949,42,0.00494,0.00492,0.5,88623,436,88405,2863500,32.31
NC,f,1941-1949,43,0.00526,0.00524,0.5,88187,462,87956,2775095,31.47
NC,f,1941-1949,44,0.00553,0.00552,0.5,87725,484,87483,2687139,30.63
NC,f,1941-1949,45,0.00585,0.00584,0.5,87241,509,86986,2599657,29.80
NC,f,1941-1949,46,0.00617,0.00615,0.5,86731,533,86465,2512671,28.97
NC,f,1941-1949,47,0.00653,0.00650,0.5,86198,561,85918,2426206,28.15
NC,f,1941-1949,48,0.00706,0.00704,0.5,85638,603,85336,2340288,27.33
NC,f,1941-1949,49,0.00775,0.00772,0.5,85035,657,84707,2254952,26.52
NC,f,1941-1949,50,0.00857,0.00854,0.5,84378,720,84018,2170245,25.72
NC,f,1941-1949,51,0.00919,0.00915,0.5,83658,765,83276,2086227,24.94
NC,f,1941-1949,52,0.00979,0.00974,0.5,82893,808,82489,2002951,24.16
NC,f,1941-1949,53,0.01050,0.01045,0.5,82085,858,81657,1920462,23.40
NC,f,1941-1949,54,0.01114,0.01108,0.5,81228,900,80778,1838805,22.64
NC,f,1941-1949,55,0.01187,0.01180,0.5,80328,948,79854,1758027,21.89
NC,f,1941-1949,56,0.01260,0.01252,0.5,79380,994,78883,1678174,21.14
NC,f,1941-1949,57,0.01338,0.01329,0.5,78386,1042,77865,1599291,20.40
NC,f,1941-1949,58,0.01441,0.01431,0.5,77344,1107,76790,1521427,19.67
NC,f,1941-1949,59,0.01554,0.01542,0.5,76237,1176,75649,1444636,18.95
NC,f,1941-1949,60,0.01683,0.01669,0.5,75061,1253,74435,1368987,18.24
NC,f,1941-1949,61,0.01806,0.01790,0.5,73808,1321,73148,1294553,17.54
NC,f,1941-1949,62,0.01954,0.01935,0.5,72488,1403,71786,1221405,16.85
NC,f,1941-1949,63,0.02160,0.02137,0.5,71085,1519,70325,1149618,16.17
NC,f,1941-1949,64,0.02398,0.02370,0.5,69566,1649,68742,1079293,15.51
NC,f,1941-1949,65,0.02710,0.02673,0.5,67917,1816,67009,1010551,14.88
NC,f,1941-1949,66,0.02973,0.02930,0.5,66101,1937,65133,943542,14.27
NC,f,1941-1949,67,0.03187,0.03137,0.5,64165,2013,63158,878409,13.69
NC,f,1941-1949,68,0.03450,0.03391,0.5,62152,2108,61098,815250,13.12
NC,f,1941-1949,69,0.03681,0.03615,0.5,60044,2171,58959,754152,12.56
NC,f,1941-1949,70,0.03903,0.03828,0.5,57874,2216,56766,695193,12.01
NC,f,1941-1949,71,0.04085,0.04003,0.5,55658,2228,54544,638427,11.47
NC,f,1941-1949,72,0.04325,0.04234,0.5,53430,2262,52299,583883,10.93
NC,f,1941-1949,73,0.04669,0.04563,0.5,51168,2335,50001,531584,10.39
NC,f,1941-1949,74,0.05027,0.04904,0.5,48833,2395,47636,481583,9.86
NC,f,1941-1949,75,0.05509,0.05362,0.5,46439,2490,45194,433947,9.34
NC,f,1941-1949,76,0.06001,0.05826,0.5,43949,2561,42668,388753,8.85
NC,f,1941-1949,77,0.06476,0.06273,0.5,41388,2596,40090,346085,8.36
NC,f,1941-1949,78,0.07103,0.06860,0.5,38792,2661,37461,305995,7.89
NC,f,1941-1949,79,0.07759,0.07470,0.5,36131,2699,34781,268534,7.43
NC,f,1941-1949,80,0.09278,0.08867,0.5,33432,2964,31950,233752,6.99
NC,f,1941-1949,81,0.10214,0.09717,0.5,30468,2961,28987,201803,6.62
NC,f,1941-1949,82,0.11200,0.10606,0.5,27507,2918,26048,172815,6.28
NC,f,1941-1949,83,0.12222,0.11518,0.5,24589,2832,23173,146767,5.97
NC,f,1941-1949,84,0.13256,0.12432,0.5,21757,2705,20405,123594,5.68
NC,f,1941-1949,85,0.14291,0.13338,0.5,19052,2541,17782,103189,5.42
NC,f,1941-1949,86,0.14832,0.13808,0.5,16511,2280,15371,85407,5.17
NC,f,1941-1949,87,0.15849,0.14685,0.5,14231,2090,13186,70036,4.92
NC,f,1941-1949,88,0.16922,0.15602,0.5,12141,1894,11194,56849,4.68
NC,f,1941-1949,89,0.18052,0.16557,0.5,10247,1697,9399,45655,4.46
NC,f,1941-1949,90,0.19239,0.17551,0.5,8551,1501,7800,36256,4.24
NC,f,1941-1949,91,0.20486,0.18582,0.5,7050,1310,6395,28456,4.04
NC,f,1941-1949,92,0.21791,0.19650,0.5,5740,1128,5176,22061,3.84
NC,f,1941-1949,93,0.23156,0.20753,0.5,4612,957,4133,16885,3.66
NC,f,1941-1949,94,0.24579,0.21889,0.5,3655,800,3255,12752,3.49
NC,f,1941-1949,95,0.26059,0.23055,0.5,2855,658,2526,9497,3.33
NC,f,1941-1949,96,0.27597,0.24250,0.5,2197,533,1930,6971,3.17
NC,f,1941-1949,97,0.29189,0.25471,0.5,1664,424,1452,5041,3.03
NC,f,1941-1949,98,0.30834,0.26715,0.5,1240,331,1074,3589,2.89
NC,f,1941-1949,99,0.32529,0.27978,0.5,909,254,782,2515,2.77
NC,f,1941-1949,100,0.34271,0.29257,0.5,655,192,559,1733,2.65
NC,f,1941-1949,101,0.36056,0.30549,0.5,463,141,392,1174,2.54
NC,f,1941-1949,102,0.37881,0.31849,0.5,322,102,270,782,2.43
NC,f,1941-1949,103,0.39741,0.33153,0.5,219,73,183,511,2.33
NC,f,1941-1949,104,0.41631,0.34458,0.5,147,50,121,329,2.24
NC,f,1941-1949,105,0.43546,0.35760,0.5,96,34,79,207,2.16
