NC: NC, Lifetables (period 5x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.07193	0.06819	0.24	100000	6819	94804	5972074	59.72
1941	1-4	0.00405	0.01603	1.36	93181	1494	368784	5877270	63.07
1941	5-9	0.00118	0.00589	2.1	91687	540	456873	5508486	60.08
1941	10-14	0.00111	0.00553	2.74	91148	504	454601	5051613	55.42
1941	15-19	0.00222	0.01103	2.75	90644	1000	450965	4597012	50.72
1941	20-24	0.00369	0.01827	2.61	89644	1638	444311	4146047	46.25
1941	25-29	0.00389	0.01929	2.5	88006	1697	435791	3701737	42.06
1941	30-34	0.00462	0.02285	2.63	86309	1973	426873	3265945	37.84
1941	35-39	0.00601	0.02962	2.61	84336	2498	415719	2839072	33.66
1941	40-44	0.00785	0.03854	2.69	81838	3154	401900	2423353	29.61
1941	45-49	0.01101	0.05363	2.62	78684	4220	383373	2021453	25.69
1941	50-54	0.01558	0.07512	2.64	74464	5594	359126	1638080	22.00
1941	55-59	0.02129	0.10124	2.59	68870	6973	327575	1278953	18.57
1941	60-64	0.03214	0.14950	2.67	61898	9254	287901	951379	15.37
1941	65-69	0.04357	0.19688	2.56	52644	10364	237892	663478	12.60
1941	70-74	0.05909	0.25762	2.52	42280	10892	184344	425586	10.07
1941	75-79	0.08792	0.36120	2.53	31387	11337	128944	241241	7.69
1941	80-84	0.14938	0.53649	2.37	20050	10757	72009	112298	5.60
1941	85-89	0.20729	0.65515	2.19	9293	6089	29372	40288	4.34
1941	90-94	0.27555	0.76107	2.06	3205	2439	8852	10916	3.41
1941	95-99	0.35856	0.84735	1.89	766	649	1810	2064	2.70
1941	100-104	0.45092	0.90781	1.71	117	106	235	255	2.18
1941	105-109	0.54698	0.94573	1.54	11	10	19	20	1.82
1941	110+	0.62437	1.00000	1.6	1	1	1	1	1.60
1942	0	0.05803	0.05546	0.2	100000	5546	95568	6172915	61.73
1942	1-4	0.00292	0.01158	1.51	94454	1094	375092	6077348	64.34
1942	5-9	0.00096	0.00481	2.36	93360	449	465616	5702255	61.08
1942	10-14	0.00106	0.00527	2.66	92911	490	463409	5236639	56.36
1942	15-19	0.00179	0.00890	2.74	92421	822	460245	4773230	51.65
1942	20-24	0.00297	0.01475	2.65	91599	1351	454815	4312985	47.09
1942	25-29	0.00345	0.01710	2.51	90248	1543	447397	3858170	42.75
1942	30-34	0.00399	0.01979	2.66	88705	1755	439408	3410773	38.45
1942	35-39	0.00591	0.02914	2.62	86950	2533	428716	2971365	34.17
1942	40-44	0.00709	0.03489	2.64	84416	2945	415129	2542648	30.12
1942	45-49	0.01079	0.05261	2.64	81471	4286	397262	2127519	26.11
1942	50-54	0.01537	0.07415	2.62	77185	5723	372334	1730257	22.42
1942	55-59	0.02074	0.09875	2.57	71462	7057	340190	1357924	19.00
1942	60-64	0.03005	0.14047	2.68	64406	9047	301068	1017733	15.80
1942	65-69	0.04338	0.19582	2.52	55359	10840	249867	716666	12.95
1942	70-74	0.05549	0.24393	2.52	44519	10859	195688	466798	10.49
1942	75-79	0.08055	0.33843	2.64	33659	11391	141420	271110	8.05
1942	80-84	0.14196	0.51732	2.38	22268	11520	81147	129690	5.82
1942	85-89	0.19788	0.63774	2.21	10748	6855	34641	48543	4.52
1942	90-94	0.26161	0.74201	2.08	3894	2889	11044	13902	3.57
1942	95-99	0.33828	0.82906	1.93	1005	833	2462	2859	2.85
1942	100-104	0.42435	0.89290	1.76	172	153	361	397	2.31
1942	105-109	0.51536	0.93502	1.59	18	17	33	35	1.92
1942	110+	0.58932	1.00000	1.7	1	1	2	2	1.70
1943	0	0.05485	0.05253	0.19	100000	5253	95757	6229190	62.29
1943	1-4	0.00246	0.00977	1.41	94747	926	376589	6133433	64.73
1943	5-9	0.00097	0.00483	2.38	93822	453	467920	5756844	61.36
1943	10-14	0.00082	0.00411	2.78	93369	383	465992	5288924	56.65
1943	15-19	0.00216	0.01075	2.79	92985	1000	462715	4822932	51.87
1943	20-24	0.00327	0.01623	2.55	91986	1493	456272	4360218	47.40
1943	25-29	0.00321	0.01590	2.47	90493	1439	448820	3903946	43.14
1943	30-34	0.00364	0.01805	2.57	89054	1608	441355	3455126	38.80
1943	35-39	0.00479	0.02368	2.61	87446	2071	432279	3013770	34.46
