ND: ND, Lifetables (period 1x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03439	0.03341	0.14	100000	3341	97141	6887116	68.87
1941-1949	1	0.00323	0.00323	0.5	96659	312	96503	6789975	70.25
1941-1949	2	0.00186	0.00186	0.5	96347	179	96258	6693472	69.47
1941-1949	3	0.00137	0.00137	0.5	96168	132	96102	6597214	68.60
1941-1949	4	0.00102	0.00102	0.5	96036	98	95987	6501112	67.69
1941-1949	5	0.00092	0.00092	0.5	95938	88	95895	6405124	66.76
1941-1949	6	0.00089	0.00089	0.5	95851	85	95808	6309230	65.82
1941-1949	7	0.00086	0.00086	0.5	95765	82	95724	6213422	64.88
1941-1949	8	0.00082	0.00082	0.5	95683	78	95644	6117698	63.94
1941-1949	9	0.00076	0.00076	0.5	95605	72	95569	6022054	62.99
1941-1949	10	0.00070	0.00070	0.5	95532	66	95499	5926486	62.04
1941-1949	11	0.00067	0.00067	0.5	95466	64	95434	5830986	61.08
1941-1949	12	0.00070	0.00070	0.5	95402	67	95368	5735553	60.12
1941-1949	13	0.00077	0.00077	0.5	95335	74	95298	5640184	59.16
1941-1949	14	0.00090	0.00090	0.5	95261	85	95219	5544886	58.21
1941-1949	15	0.00106	0.00106	0.5	95176	101	95126	5449667	57.26
1941-1949	16	0.00119	0.00119	0.5	95075	113	95019	5354541	56.32
1941-1949	17	0.00129	0.00129	0.5	94962	122	94901	5259523	55.39
1941-1949	18	0.00134	0.00134	0.5	94840	127	94776	5164622	54.46
1941-1949	19	0.00134	0.00134	0.5	94713	127	94649	5069846	53.53
1941-1949	20	0.00132	0.00131	0.5	94586	124	94524	4975197	52.60
1941-1949	21	0.00131	0.00131	0.5	94462	123	94400	4880673	51.67
1941-1949	22	0.00132	0.00132	0.5	94338	124	94276	4786273	50.74
1941-1949	23	0.00134	0.00134	0.5	94214	127	94150	4691997	49.80
1941-1949	24	0.00139	0.00139	0.5	94087	130	94022	4597847	48.87
1941-1949	25	0.00145	0.00145	0.5	93957	136	93889	4503825	47.94
1941-1949	26	0.00151	0.00151	0.5	93821	142	93750	4409936	47.00
1941-1949	27	0.00157	0.00156	0.5	93679	147	93606	4316186	46.07
1941-1949	28	0.00162	0.00161	0.5	93533	151	93457	4222580	45.15
1941-1949	29	0.00166	0.00166	0.5	93382	155	93304	4129123	44.22
1941-1949	30	0.00170	0.00170	0.5	93227	158	93148	4035819	43.29
1941-1949	31	0.00175	0.00175	0.5	93069	163	92987	3942671	42.36
1941-1949	32	0.00184	0.00184	0.5	92906	171	92820	3849684	41.44
1941-1949	33	0.00196	0.00196	0.5	92735	182	92644	3756863	40.51
1941-1949	34	0.00212	0.00211	0.5	92554	196	92456	3664219	39.59
1941-1949	35	0.00230	0.00230	0.5	92358	213	92252	3571763	38.67
1941-1949	36	0.00249	0.00248	0.5	92145	229	92031	3479511	37.76
1941-1949	37	0.00266	0.00266	0.5	91916	244	91794	3387480	36.85
1941-1949	38	0.00283	0.00283	0.5	91672	259	91542	3295686	35.95
1941-1949	39	0.00300	0.00300	0.5	91413	274	91276	3204144	35.05
