ND: ND, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03919	0.03793	0.16	100000	3793	96802	6736768	67.37
1941	1-4	0.00197	0.00785	1.4	96207	755	382865	6639966	69.02
1941	5-9	0.00088	0.00439	2.58	95451	419	476242	6257101	65.55
1941	10-14	0.00091	0.00455	2.58	95032	432	474114	5780859	60.83
1941	15-19	0.00143	0.00711	2.68	94600	673	471439	5306745	56.10
1941	20-24	0.00200	0.00997	2.52	93927	937	467309	4835306	51.48
1941	25-29	0.00171	0.00854	2.49	92990	794	462961	4367997	46.97
1941	30-34	0.00229	0.01141	2.62	92196	1052	458480	3905035	42.36
1941	35-39	0.00269	0.01337	2.54	91144	1218	452726	3446555	37.81
1941	40-44	0.00345	0.01712	2.71	89926	1540	446110	2993829	33.29
1941	45-49	0.00593	0.02922	2.64	88386	2583	435828	2547719	28.82
1941	50-54	0.00868	0.04256	2.69	85804	3652	420567	2111891	24.61
1941	55-59	0.01412	0.06833	2.63	82152	5613	397476	1691324	20.59
1941	60-64	0.02098	0.09999	2.65	76538	7653	364718	1293849	16.90
1941	65-69	0.03439	0.15918	2.67	68885	10965	318859	929130	13.49
1941	70-74	0.05429	0.23973	2.56	57920	13885	255770	610271	10.54
1941	75-79	0.08188	0.34082	2.54	44035	15008	183294	354501	8.05
1941	80-84	0.13416	0.49741	2.4	29027	14438	107621	171206	5.90
1941	85-89	0.20156	0.64820	2.25	14589	9456	46917	63585	4.36
1941	90-94	0.28879	0.77990	2.05	5132	4003	13860	16668	3.25
1941	95-99	0.39084	0.87355	1.83	1130	987	2525	2808	2.49
1941	100-104	0.49801	0.92953	1.63	143	133	267	283	1.98
1941	105-109	0.59994	0.95969	1.46	10	10	16	17	1.66
1941	110+	0.67640	1.00000	1.48	0	0	1	1	1.48
1942	0	0.03773	0.03656	0.15	100000	3656	96904	6895675	68.96
