PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ND,f,1941-1949,0,0.02890,0.02820,0.13,100000,2820,97558,7127948,71.28
ND,f,1941-1949,1,0.00328,0.00327,0.5,97180,318,97021,7030390,72.34
ND,f,1941-1949,2,0.00160,0.00160,0.5,96862,155,96785,6933369,71.58
ND,f,1941-1949,3,0.00126,0.00126,0.5,96708,121,96647,6836584,70.69
ND,f,1941-1949,4,0.00086,0.00086,0.5,96586,83,96544,6739937,69.78
ND,f,1941-1949,5,0.00075,0.00075,0.5,96503,72,96467,6643392,68.84
ND,f,1941-1949,6,0.00075,0.00075,0.5,96431,72,96394,6546926,67.89
ND,f,1941-1949,7,0.00074,0.00073,0.5,96358,71,96323,6450531,66.94
ND,f,1941-1949,8,0.00070,0.00070,0.5,96287,67,96254,6354208,65.99
ND,f,1941-1949,9,0.00064,0.00064,0.5,96220,62,96189,6257955,65.04
ND,f,1941-1949,10,0.00058,0.00058,0.5,96158,56,96130,6161766,64.08
ND,f,1941-1949,11,0.00054,0.00054,0.5,96102,52,96077,6065635,63.12
ND,f,1941-1949,12,0.00054,0.00054,0.5,96051,52,96025,5969559,62.15
ND,f,1941-1949,13,0.00057,0.00057,0.5,95999,55,95972,5873534,61.18
ND,f,1941-1949,14,0.00064,0.00064,0.5,95945,61,95914,5777562,60.22
ND,f,1941-1949,15,0.00074,0.00074,0.5,95883,71,95848,5681648,59.26
ND,f,1941-1949,16,0.00083,0.00083,0.5,95812,79,95772,5585800,58.30
ND,f,1941-1949,17,0.00090,0.00090,0.5,95733,86,95690,5490028,57.35
ND,f,1941-1949,18,0.00094,0.00094,0.5,95647,90,95602,5394338,56.40
ND,f,1941-1949,19,0.00097,0.00097,0.5,95557,93,95511,5298736,55.45
ND,f,1941-1949,20,0.00098,0.00098,0.5,95464,93,95418,5203226,54.50
ND,f,1941-1949,21,0.00099,0.00099,0.5,95371,94,95324,5107808,53.56
ND,f,1941-1949,22,0.00100,0.00100,0.5,95276,96,95229,5012484,52.61
ND,f,1941-1949,23,0.00101,0.00101,0.5,95181,96,95133,4917256,51.66
ND,f,1941-1949,24,0.00101,0.00101,0.5,95085,96,95037,4822123,50.71
ND,f,1941-1949,25,0.00101,0.00101,0.5,94989,96,94941,4727086,49.76
ND,f,1941-1949,26,0.00104,0.00104,0.5,94893,98,94844,4632145,48.81
ND,f,1941-1949,27,0.00108,0.00108,0.5,94795,103,94743,4537301,47.86
ND,f,1941-1949,28,0.00116,0.00116,0.5,94692,110,94637,4442557,46.92
ND,f,1941-1949,29,0.00126,0.00126,0.5,94582,119,94523,4347920,45.97
ND,f,1941-1949,30,0.00138,0.00138,0.5,94463,130,94398,4253397,45.03
ND,f,1941-1949,31,0.00148,0.00148,0.5,94333,140,94263,4158999,44.09
ND,f,1941-1949,32,0.00157,0.00157,0.5,94193,148,94119,4064736,43.15
ND,f,1941-1949,33,0.00166,0.00166,0.5,94045,156,93967,3970617,42.22
ND,f,1941-1949,34,0.00173,0.00173,0.5,93889,162,93808,3876650,41.29
ND,f,1941-1949,35,0.00179,0.00179,0.5,93727,167,93643,3782841,40.36
ND,f,1941-1949,36,0.00187,0.00187,0.5,93560,175,93472,3689198,39.43
ND,f,1941-1949,37,0.00200,0.00200,0.5,93385,186,93291,3595726,38.50
ND,f,1941-1949,38,0.00217,0.00217,0.5,93198,202,93097,3502434,37.58
ND,f,1941-1949,39,0.00239,0.00239,0.5,92996,222,92885,3409337,36.66
ND,f,1941-1949,40,0.00264,0.00264,0.5,92774,245,92651,3316452,35.75
ND,f,1941-1949,41,0.00287,0.00287,0.5,92529,265,92396,3223801,34.84
ND,f,1941-1949,42,0.00311,0.00310,0.5,92264,286,92121,3131404,33.94
