PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ND,m,1941,0,0.04417,0.04259,0.16,100000,4259,96437,6538211,65.38
ND,m,1941,1,0.00421,0.00420,0.5,95741,402,95540,6441773,67.28
ND,m,1941,2,0.00201,0.00201,0.5,95339,192,95243,6346234,66.57
ND,m,1941,3,0.00145,0.00145,0.5,95147,138,95078,6250991,65.70
ND,m,1941,4,0.00063,0.00063,0.5,95009,60,94979,6155912,64.79
ND,m,1941,5,0.00066,0.00066,0.5,94949,63,94918,6060933,63.83
ND,m,1941,6,0.00093,0.00093,0.5,94886,88,94842,5966015,62.88
ND,m,1941,7,0.00115,0.00115,0.5,94798,109,94744,5871173,61.93
ND,m,1941,8,0.00127,0.00127,0.5,94690,120,94630,5776429,61.00
ND,m,1941,9,0.00129,0.00129,0.5,94570,122,94509,5681799,60.08
ND,m,1941,10,0.00128,0.00128,0.5,94448,121,94387,5587291,59.16
ND,m,1941,11,0.00125,0.00125,0.5,94327,118,94268,5492903,58.23
ND,m,1941,12,0.00126,0.00125,0.5,94209,118,94150,5398635,57.30
ND,m,1941,13,0.00128,0.00127,0.5,94091,120,94031,5304485,56.38
ND,m,1941,14,0.00133,0.00133,0.5,93971,125,93909,5210454,55.45
ND,m,1941,15,0.00142,0.00141,0.5,93846,133,93780,5116546,54.52
ND,m,1941,16,0.00151,0.00151,0.5,93713,142,93643,5022766,53.60
ND,m,1941,17,0.00163,0.00163,0.5,93572,153,93496,4929124,52.68
ND,m,1941,18,0.00177,0.00177,0.5,93419,166,93336,4835628,51.76
ND,m,1941,19,0.00190,0.00190,0.5,93254,177,93165,4742292,50.85
ND,m,1941,20,0.00210,0.00209,0.5,93076,195,92979,4649127,49.95
ND,m,1941,21,0.00231,0.00231,0.5,92881,214,92774,4556148,49.05
ND,m,1941,22,0.00240,0.00240,0.5,92667,222,92556,4463374,48.17
ND,m,1941,23,0.00240,0.00240,0.5,92445,221,92334,4370817,47.28
ND,m,1941,24,0.00230,0.00230,0.5,92224,212,92118,4278483,46.39
ND,m,1941,25,0.00216,0.00216,0.5,92012,198,91913,4186365,45.50
ND,m,1941,26,0.00205,0.00205,0.5,91813,188,91719,4094453,44.60
ND,m,1941,27,0.00200,0.00200,0.5,91625,183,91533,4002733,43.69
ND,m,1941,28,0.00206,0.00206,0.5,91442,188,91348,3911200,42.77
ND,m,1941,29,0.00218,0.00218,0.5,91253,199,91154,3819853,41.86
ND,m,1941,30,0.00238,0.00238,0.5,91054,217,90946,3728699,40.95
ND,m,1941,31,0.00259,0.00259,0.5,90838,235,90720,3637753,40.05
ND,m,1941,32,0.00285,0.00285,0.5,90603,258,90474,3547032,39.15
ND,m,1941,33,0.00306,0.00305,0.5,90345,276,90207,3456558,38.26
ND,m,1941,34,0.00321,0.00321,0.5,90069,289,89925,3366351,37.38
ND,m,1941,35,0.00344,0.00344,0.5,89780,309,89626,3276427,36.49
ND,m,1941,36,0.00352,0.00351,0.5,89472,314,89315,3186801,35.62
ND,m,1941,37,0.00362,0.00362,0.5,89158,323,88996,3097486,34.74
ND,m,1941,38,0.00380,0.00380,0.5,88835,337,88666,3008490,33.87
ND,m,1941,39,0.00385,0.00384,0.5,88498,340,88328,2919823,32.99
ND,m,1941,40,0.00367,0.00366,0.5,88157,323,87996,2831496,32.12
ND,m,1941,41,0.00369,0.00369,0.5,87835,324,87673,2743500,31.23
ND,m,1941,42,0.00414,0.00413,0.5,87511,361,87330,2655827,30.35
ND,m,1941,43,0.00443,0.00442,0.5,87150,386,86957,2568497,29.47
ND,m,1941,44,0.00477,0.00476,0.5,86764,413,86558,2481540,28.60
ND,m,1941,45,0.00544,0.00543,0.5,86351,469,86117,2394982,27.74
ND,m,1941,46,0.00586,0.00584,0.5,85882,502,85632,2308865,26.88
ND,m,1941,47,0.00625,0.00623,0.5,85381,532,85115,2223234,26.04
ND,m,1941,48,0.00667,0.00664,0.5,84849,564,84567,2138119,25.20
ND,m,1941,49,0.00700,0.00697,0.5,84285,588,83991,2053552,24.36
ND,m,1941,50,0.00749,0.00746,0.5,83697,624,83385,1969561,23.53
ND,m,1941,51,0.00810,0.00807,0.5,83073,671,82737,1886177,22.71
ND,m,1941,52,0.00930,0.00926,0.5,82402,763,82020,1803439,21.89
ND,m,1941,53,0.01078,0.01072,0.5,81639,875,81201,1721419,21.09
ND,m,1941,54,0.01225,0.01218,0.5,80764,983,80272,1640218,20.31
ND,m,1941,55,0.01385,0.01375,0.5,79780,1097,79232,1559946,19.55
ND,m,1941,56,0.01543,0.01531,0.5,78683,1205,78081,1480714,18.82
ND,m,1941,57,0.01716,0.01701,0.5,77478,1318,76819,1402634,18.10
ND,m,1941,58,0.01844,0.01827,0.5,76160,1391,75464,1325814,17.41
ND,m,1941,59,0.01924,0.01906,0.5,74769,1425,74056,1250350,16.72
ND,m,1941,60,0.01980,0.01961,0.5,73344,1438,72625,1176294,16.04
ND,m,1941,61,0.02100,0.02078,0.5,71906,1494,71159,1103669,15.35
ND,m,1941,62,0.02395,0.02367,0.5,70412,1667,69578,1032510,14.66
ND,m,1941,63,0.02624,0.02590,0.5,68745,1781,67855,962932,14.01
ND,m,1941,64,0.02722,0.02685,0.5,66964,1798,66065,895077,13.37
ND,m,1941,65,0.02982,0.02938,0.5,65166,1915,64209,829012,12.72
