ND: ND, Lifetables (period 5x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04247	0.04101	0.16	100000	4101	96551	6668929	66.69
1941-1944	1-4	0.00229	0.00910	1.46	95899	873	381382	6572378	68.53
1941-1944	5-9	0.00095	0.00473	2.49	95027	450	474003	6190996	65.15
1941-1944	10-14	0.00090	0.00449	2.68	94577	424	471900	5716992	60.45
1941-1944	15-19	0.00162	0.00808	2.59	94153	760	468930	5245092	55.71
1941-1944	20-24	0.00150	0.00748	2.48	93392	699	465202	4776162	51.14
1941-1944	25-29	0.00176	0.00878	2.57	92694	814	461491	4310960	46.51
1941-1944	30-34	0.00212	0.01053	2.63	91880	968	457100	3849469	41.90
1941-1944	35-39	0.00320	0.01589	2.62	90912	1444	451117	3392369	37.31
1941-1944	40-44	0.00393	0.01945	2.62	89468	1740	443199	2941253	32.88
1941-1944	45-49	0.00604	0.02977	2.63	87728	2611	432450	2498053	28.48
1941-1944	50-54	0.00880	0.04313	2.69	85116	3671	417092	2065604	24.27
1941-1944	55-59	0.01463	0.07069	2.63	81445	5757	393611	1648512	20.24
1941-1944	60-64	0.02236	0.10623	2.65	75688	8041	359533	1254900	16.58
1941-1944	65-69	0.03497	0.16135	2.61	67648	10915	312153	895367	13.24
1941-1944	70-74	0.05467	0.24115	2.56	56732	13681	250254	583214	10.28
1941-1944	75-79	0.08549	0.35239	2.51	43051	15171	177464	332960	7.73
1941-1944	80-84	0.14243	0.51968	2.4	27881	14489	101724	155496	5.58
1941-1944	85-89	0.22108	0.68459	2.22	13392	9168	41469	53773	4.02
1941-1944	90-94	0.32543	0.82168	1.99	4224	3471	10665	12304	2.91
1941-1944	95-99	0.45001	0.91068	1.73	753	686	1524	1639	2.18
1941-1944	100-104	0.58177	0.95719	1.5	67	64	111	115	1.71
1941-1944	105-109	0.70396	0.97835	1.31	3	3	4	4	1.42
1941-1944	110+	0.79218	1.00000	1.26	0	0	0	0	1.26
1945-1949	0	0.03770	0.03653	0.15	100000	3653	96881	6705385	67.05
1945-1949	1-4	0.00178	0.00711	1.68	96347	685	383803	6608504	68.59
1945-1949	5-9	0.00100	0.00497	2.32	95662	476	477038	6224700	65.07
1945-1949	10-14	0.00093	0.00466	2.69	95187	443	474909	5747663	60.38
1945-1949	15-19	0.00159	0.00790	2.61	94744	749	471930	5272753	55.65
1945-1949	20-24	0.00179	0.00889	2.56	93995	835	467935	4800823	51.08
1945-1949	25-29	0.00216	0.01074	2.52	93159	1001	463314	4332888	46.51
1945-1949	30-34	0.00220	0.01093	2.59	92159	1007	458367	3869574	41.99
1945-1949	35-39	0.00323	0.01603	2.61	91151	1462	452267	3411206	37.42
1945-1949	40-44	0.00412	0.02039	2.6	89690	1829	444067	2958939	32.99
1945-1949	45-49	0.00581	0.02866	2.65	87861	2518	433383	2514872	28.62
1945-1949	50-54	0.00890	0.04358	2.67	85343	3719	418061	2081489	24.39
