NE: NE, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03591	0.03484	0.15	100000	3484	97032	6831337	68.31
1941	1	0.00358	0.00357	0.5	96516	345	96343	6734305	69.77
1941	2	0.00158	0.00158	0.5	96171	152	96095	6637962	69.02
1941	3	0.00105	0.00105	0.5	96019	101	95969	6541867	68.13
1941	4	0.00113	0.00113	0.5	95918	108	95864	6445898	67.20
1941	5	0.00097	0.00097	0.5	95810	93	95764	6350034	66.28
1941	6	0.00080	0.00080	0.5	95717	76	95679	6254270	65.34
1941	7	0.00069	0.00069	0.5	95641	66	95608	6158591	64.39
1941	8	0.00064	0.00064	0.5	95575	61	95544	6062983	63.44
1941	9	0.00063	0.00063	0.5	95514	60	95484	5967439	62.48
1941	10	0.00069	0.00069	0.5	95454	66	95421	5871955	61.52
1941	11	0.00076	0.00076	0.5	95388	73	95352	5776534	60.56
1941	12	0.00082	0.00082	0.5	95315	78	95276	5681182	59.60
1941	13	0.00087	0.00087	0.5	95237	82	95196	5585906	58.65
1941	14	0.00092	0.00092	0.5	95155	88	95111	5490710	57.70
1941	15	0.00098	0.00098	0.5	95067	93	95020	5395600	56.76
1941	16	0.00103	0.00103	0.5	94974	98	94925	5300579	55.81
1941	17	0.00110	0.00110	0.5	94876	104	94824	5205654	54.87
1941	18	0.00120	0.00119	0.5	94772	113	94715	5110831	53.93
1941	19	0.00132	0.00132	0.5	94658	125	94596	5016116	52.99
1941	20	0.00149	0.00148	0.5	94534	140	94463	4921520	52.06
1941	21	0.00166	0.00166	0.5	94393	157	94315	4827056	51.14
1941	22	0.00178	0.00177	0.5	94236	167	94153	4732742	50.22
1941	23	0.00186	0.00186	0.5	94069	175	93981	4638589	49.31
1941	24	0.00190	0.00190	0.5	93894	178	93805	4544608	48.40
1941	25	0.00184	0.00184	0.5	93715	173	93629	4450803	47.49
1941	26	0.00179	0.00179	0.5	93543	167	93459	4357174	46.58
1941	27	0.00177	0.00177	0.5	93376	165	93293	4263715	45.66
1941	28	0.00177	0.00177	0.5	93210	165	93128	4170422	44.74
1941	29	0.00179	0.00179	0.5	93045	166	92962	4077294	43.82
1941	30	0.00181	0.00181	0.5	92879	168	92795	3984332	42.90
1941	31	0.00182	0.00182	0.5	92711	169	92626	3891537	41.97
1941	32	0.00192	0.00192	0.5	92542	177	92453	3798911	41.05
1941	33	0.00201	0.00201	0.5	92365	186	92272	3706458	40.13
1941	34	0.00211	0.00210	0.5	92179	194	92082	3614186	39.21
1941	35	0.00224	0.00224	0.5	91985	206	91882	3522105	38.29
1941	36	0.00237	0.00236	0.5	91779	217	91670	3430223	37.37
1941	37	0.00261	0.00261	0.5	91562	239	91443	3338552	36.46
1941	38	0.00295	0.00294	0.5	91323	269	91189	3247110	35.56
1941	39	0.00322	0.00322	0.5	91054	293	90908	3155921	34.66
1941	40	0.00339	0.00339	0.5	90761	308	90608	3065013	33.77
1941	41	0.00360	0.00359	0.5	90454	325	90291	2974405	32.88
1941	42	0.00410	0.00409	0.5	90129	369	89944	2884114	32.00
1941	43	0.00433	0.00432	0.5	89760	388	89566	2794170	31.13
1941	44	0.00437	0.00436	0.5	89372	390	89177	2704604	30.26
1941	45	0.00464	0.00463	0.5	88982	412	88776	2615427	29.39
1941	46	0.00477	0.00476	0.5	88570	422	88359	2526651	28.53
1941	47	0.00509	0.00508	0.5	88148	448	87925	2438292	27.66
1941	48	0.00560	0.00559	0.5	87701	490	87456	2350367	26.80
1941	49	0.00618	0.00617	0.5	87211	538	86942	2262912	25.95
1941	50	0.00689	0.00687	0.5	86673	595	86376	2175970	25.11
1941	51	0.00751	0.00748	0.5	86078	644	85756	2089594	24.28
1941	52	0.00858	0.00855	0.5	85434	730	85069	2003838	23.45
1941	53	0.00951	0.00946	0.5	84704	802	84303	1918769	22.65
