NE: NE, Lifetables (period 1x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03152	0.03069	0.14	100000	3069	97348	6924381	69.24
1941-1949	1	0.00293	0.00293	0.5	96931	284	96789	6827032	70.43
1941-1949	2	0.00154	0.00154	0.5	96647	149	96573	6730243	69.64
1941-1949	3	0.00118	0.00117	0.5	96499	113	96442	6633670	68.74
1941-1949	4	0.00099	0.00099	0.5	96386	96	96338	6537227	67.82
1941-1949	5	0.00086	0.00086	0.5	96290	83	96248	6440890	66.89
1941-1949	6	0.00078	0.00078	0.5	96207	75	96169	6344641	65.95
1941-1949	7	0.00073	0.00073	0.5	96132	70	96096	6248472	65.00
1941-1949	8	0.00070	0.00070	0.5	96061	67	96027	6152376	64.05
1941-1949	9	0.00069	0.00069	0.5	95994	66	95961	6056348	63.09
1941-1949	10	0.00070	0.00070	0.5	95928	67	95894	5960388	62.13
1941-1949	11	0.00073	0.00073	0.5	95861	70	95826	5864494	61.18
1941-1949	12	0.00077	0.00077	0.5	95791	74	95754	5768668	60.22
1941-1949	13	0.00083	0.00083	0.5	95717	80	95677	5672914	59.27
1941-1949	14	0.00091	0.00091	0.5	95637	87	95593	5577238	58.32
1941-1949	15	0.00100	0.00100	0.5	95550	95	95502	5481644	57.37
1941-1949	16	0.00109	0.00109	0.5	95455	104	95403	5386142	56.43
1941-1949	17	0.00118	0.00118	0.5	95351	113	95294	5290739	55.49
1941-1949	18	0.00128	0.00128	0.5	95238	122	95177	5195445	54.55
1941-1949	19	0.00139	0.00139	0.5	95116	132	95050	5100269	53.62
1941-1949	20	0.00149	0.00149	0.5	94983	142	94913	5005219	52.70
1941-1949	21	0.00157	0.00157	0.5	94842	149	94767	4910306	51.77
1941-1949	22	0.00162	0.00162	0.5	94693	154	94616	4815539	50.85
1941-1949	23	0.00164	0.00163	0.5	94539	155	94461	4720924	49.94
1941-1949	24	0.00161	0.00161	0.5	94384	152	94308	4626462	49.02
1941-1949	25	0.00155	0.00155	0.5	94233	146	94160	4532154	48.10
1941-1949	26	0.00150	0.00150	0.5	94087	141	94016	4437994	47.17
1941-1949	27	0.00149	0.00149	0.5	93946	140	93876	4343978	46.24
1941-1949	28	0.00151	0.00151	0.5	93806	141	93736	4250102	45.31
1941-1949	29	0.00156	0.00156	0.5	93665	146	93592	4156366	44.37
1941-1949	30	0.00164	0.00164	0.5	93519	153	93442	4062774	43.44
1941-1949	31	0.00172	0.00172	0.5	93366	161	93285	3969332	42.51
1941-1949	32	0.00180	0.00180	0.5	93205	167	93121	3876047	41.59
1941-1949	33	0.00188	0.00188	0.5	93038	175	92950	3782925	40.66
1941-1949	34	0.00197	0.00197	0.5	92863	183	92771	3689975	39.74
1941-1949	35	0.00208	0.00208	0.5	92680	193	92583	3597204	38.81
1941-1949	36	0.00221	0.00221	0.5	92487	204	92385	3504620	37.89
1941-1949	37	0.00238	0.00238	0.5	92283	219	92173	3412235	36.98
1941-1949	38	0.00259	0.00258	0.5	92064	238	91945	3320062	36.06
1941-1949	39	0.00282	0.00282	0.5	91826	259	91697	3228117	35.15
1941-1949	40	0.00308	0.00308	0.5	91567	282	91426	3136421	34.25
1941-1949	41	0.00334	0.00333	0.5	91285	304	91133	3044994	33.36
1941-1949	42	0.00364	0.00363	0.5	90981	330	90816	2953861	32.47
1941-1949	43	0.00395	0.00395	0.5	90651	358	90472	2863045	31.58
1941-1949	44	0.00425	0.00424	0.5	90293	383	90102	2772573	30.71
1941-1949	45	0.00457	0.00456	0.5	89910	410	89705	2682471	29.83
1941-1949	46	0.00493	0.00492	0.5	89500	440	89280	2592766	28.97
1941-1949	47	0.00531	0.00529	0.5	89060	471	88825	2503486	28.11
1941-1949	48	0.00573	0.00571	0.5	88589	506	88336	2414661	27.26
1941-1949	49	0.00622	0.00621	0.5	88083	547	87810	2326325	26.41
1941-1949	50	0.00680	0.00678	0.5	87537	594	87240	2238515	25.57
1941-1949	51	0.00737	0.00734	0.5	86943	638	86624	2151276	24.74
1941-1949	52	0.00801	0.00798	0.5	86305	689	85960	2064652	23.92
1941-1949	53	0.00877	0.00873	0.5	85616	747	85242	1978692	23.11
1941-1949	54	0.00959	0.00955	0.5	84868	810	84463	1893449	22.31
1941-1949	55	0.01050	0.01045	0.5	84058	878	83619	1808986	21.52
1941-1949	56	0.01145	0.01139	0.5	83180	947	82706	1725367	20.74
1941-1949	57	0.01246	0.01238	0.5	82232	1018	81723	1642661	19.98
1941-1949	58	0.01351	0.01342	0.5	81214	1090	80670	1560938	19.22
1941-1949	59	0.01463	0.01452	0.5	80125	1163	79543	1480268	18.47
1941-1949	60	0.01585	0.01573	0.5	78961	1242	78340	1400725	17.74
1941-1949	61	0.01715	0.01701	0.5	77719	1322	77059	1322385	17.01
1941-1949	62	0.01869	0.01851	0.5	76398	1414	75691	1245326	16.30
1941-1949	63	0.02050	0.02029	0.5	74983	1522	74223	1169636	15.60
1941-1949	64	0.02252	0.02227	0.5	73462	1636	72644	1095413	14.91
1941-1949	65	0.02493	0.02463	0.5	71826	1769	70941	1022770	14.24
1941-1949	66	0.02744	0.02707	0.5	70057	1897	69109	951828	13.59
1941-1949	67	0.03011	0.02966	0.5	68160	2022	67149	882720	12.95
1941-1949	68	0.03315	0.03261	0.5	66138	2157	65060	815570	12.33
1941-1949	69	0.03636	0.03571	0.5	63982	2285	62839	750510	11.73
1941-1949	70	0.03982	0.03904	0.5	61697	2409	60493	687671	11.15
