PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NE,m,1941-1949,0,0.03583,0.03476,0.14,100000,3476,97015,6707717,67.08
NE,m,1941-1949,1,0.00306,0.00305,0.5,96524,295,96377,6610702,68.49
NE,m,1941-1949,2,0.00173,0.00173,0.5,96229,167,96146,6514325,67.70
NE,m,1941-1949,3,0.00130,0.00130,0.5,96063,124,96001,6418179,66.81
NE,m,1941-1949,4,0.00118,0.00118,0.5,95938,113,95882,6322178,65.90
NE,m,1941-1949,5,0.00105,0.00105,0.5,95825,101,95775,6226297,64.98
NE,m,1941-1949,6,0.00095,0.00095,0.5,95725,91,95679,6130522,64.04
NE,m,1941-1949,7,0.00089,0.00089,0.5,95633,85,95591,6034842,63.10
NE,m,1941-1949,8,0.00086,0.00086,0.5,95548,82,95507,5939252,62.16
NE,m,1941-1949,9,0.00085,0.00085,0.5,95466,81,95425,5843745,61.21
NE,m,1941-1949,10,0.00088,0.00088,0.5,95385,84,95343,5748319,60.26
NE,m,1941-1949,11,0.00093,0.00093,0.5,95301,89,95257,5652977,59.32
NE,m,1941-1949,12,0.00100,0.00100,0.5,95212,95,95165,5557720,58.37
NE,m,1941-1949,13,0.00109,0.00109,0.5,95117,103,95065,5462555,57.43
NE,m,1941-1949,14,0.00119,0.00119,0.5,95014,113,94957,5367490,56.49
NE,m,1941-1949,15,0.00132,0.00132,0.5,94900,125,94838,5272533,55.56
NE,m,1941-1949,16,0.00144,0.00144,0.5,94775,137,94707,5177695,54.63
NE,m,1941-1949,17,0.00157,0.00156,0.5,94639,148,94565,5082988,53.71
NE,m,1941-1949,18,0.00169,0.00169,0.5,94491,160,94411,4988423,52.79
NE,m,1941-1949,19,0.00182,0.00182,0.5,94331,172,94245,4894013,51.88
NE,m,1941-1949,20,0.00195,0.00195,0.5,94159,184,94067,4799768,50.98
NE,m,1941-1949,21,0.00205,0.00205,0.5,93976,193,93879,4705700,50.07
NE,m,1941-1949,22,0.00211,0.00211,0.5,93783,198,93684,4611821,49.18
NE,m,1941-1949,23,0.00211,0.00211,0.5,93585,197,93487,4518137,48.28
NE,m,1941-1949,24,0.00205,0.00205,0.5,93388,191,93293,4424650,47.38
NE,m,1941-1949,25,0.00194,0.00194,0.5,93197,181,93107,4331357,46.48
NE,m,1941-1949,26,0.00186,0.00186,0.5,93016,173,92930,4238251,45.56
NE,m,1941-1949,27,0.00181,0.00181,0.5,92843,168,92759,4145321,44.65
NE,m,1941-1949,28,0.00181,0.00180,0.5,92675,167,92592,4052562,43.73
NE,m,1941-1949,29,0.00184,0.00184,0.5,92508,170,92423,3959970,42.81
NE,m,1941-1949,30,0.00191,0.00191,0.5,92338,176,92250,3867548,41.88
NE,m,1941-1949,31,0.00198,0.00198,0.5,92162,183,92070,3775298,40.96
NE,m,1941-1949,32,0.00206,0.00206,0.5,91979,190,91884,3683228,40.04
NE,m,1941-1949,33,0.00216,0.00216,0.5,91789,198,91690,3591343,39.13
NE,m,1941-1949,34,0.00228,0.00228,0.5,91591,209,91486,3499653,38.21
NE,m,1941-1949,35,0.00243,0.00243,0.5,91382,222,91271,3408167,37.30
NE,m,1941-1949,36,0.00259,0.00259,0.5,91160,236,91042,3316896,36.39
