NE: NE, Lifetables (period 5x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03583	0.03476	0.14	100000	3476	97015	6707717	67.08
1941-1949	1-4	0.00182	0.00724	1.58	96524	699	384405	6610702	68.49
1941-1949	5-9	0.00092	0.00460	2.39	95825	441	477977	6226297	64.98
1941-1949	10-14	0.00102	0.00508	2.65	95385	484	475787	5748319	60.26
1941-1949	15-19	0.00157	0.00781	2.66	94900	741	472765	5272533	55.56
1941-1949	20-24	0.00205	0.01022	2.52	94159	962	468410	4799768	50.98
1941-1949	25-29	0.00185	0.00922	2.47	93197	859	463810	4331357	46.48
1941-1949	30-34	0.00208	0.01035	2.59	92338	956	459380	3867548	41.88
1941-1949	35-39	0.00284	0.01408	2.65	91382	1287	453886	3408167	37.30
1941-1949	40-44	0.00423	0.02094	2.65	90095	1886	446035	2954281	32.79
1941-1949	45-49	0.00619	0.03051	2.65	88208	2691	434723	2508246	28.44
1941-1949	50-54	0.00972	0.04754	2.67	85517	4065	418096	2073523	24.25
1941-1949	55-59	0.01521	0.07340	2.63	81452	5978	393094	1655427	20.32
1941-1949	60-64	0.02252	0.10686	2.62	75474	8065	358203	1262333	16.73
1941-1949	65-69	0.03543	0.16332	2.61	67408	11009	310722	904131	13.41
1941-1949	70-74	0.05377	0.23761	2.55	56399	13401	249226	593409	10.52
1941-1949	75-79	0.08222	0.34138	2.52	42998	14679	178522	344183	8.00
1941-1949	80-84	0.13428	0.49856	2.42	28320	14119	105143	165661	5.85
1941-1949	85-89	0.20558	0.65664	2.25	14201	9325	45357	60517	4.26
1941-1949	90-94	0.30215	0.79678	2.03	4876	3885	12858	15160	3.11
1941-1949	95-99	0.41942	0.89367	1.79	991	886	2111	2302	2.32
1941-1949	100-104	0.54685	0.94771	1.55	105	100	183	191	1.81
1941-1949	105-109	0.66941	0.97361	1.36	6	5	8	8	1.49
1941-1949	110+	0.76077	1.00000	1.31	0	0	0	0	1.31
1950-1959	0	0.02755	0.02690	0.12	100000	2690	97630	6855023	68.55
1950-1959	1-4	0.00128	0.00512	1.61	97310	498	388050	6757393	69.44
1950-1959	5-9	0.00059	0.00295	2.3	96812	286	483286	6369342	65.79
1950-1959	10-14	0.00066	0.00329	2.79	96526	318	481928	5886056	60.98
1950-1959	15-19	0.00141	0.00705	2.72	96208	678	479492	5404128	56.17
1950-1959	20-24	0.00168	0.00839	2.48	95530	801	475629	4924636	51.55
1950-1959	25-29	0.00159	0.00794	2.45	94729	752	471727	4449006	46.97
1950-1959	30-34	0.00181	0.00902	2.61	93976	848	467856	3977279	42.32
1950-1959	35-39	0.00237	0.01176	2.65	93128	1096	463070	3509423	37.68
1950-1959	40-44	0.00377	0.01868	2.68	92033	1719	456171	3046353	33.10
1950-1959	45-49	0.00598	0.02951	2.68	90314	2665	445394	2590182	28.68
1950-1959	50-54	0.00979	0.04788	2.66	87649	4196	428443	2144788	24.47
1950-1959	55-59	0.01487	0.07183	2.64	83453	5994	403120	1716345	20.57
1950-1959	60-64	0.02248	0.10670	2.63	77459	8265	367682	1313225	16.95
1950-1959	65-69	0.03449	0.15928	2.6	69194	11021	319547	945543	13.67
1950-1959	70-74	0.05209	0.23118	2.57	58173	13448	258186	625996	10.76
1950-1959	75-79	0.08182	0.33985	2.51	44724	15200	185769	367810	8.22
1950-1959	80-84	0.12559	0.47417	2.42	29525	14000	111474	182041	6.17
1950-1959	85-89	0.19020	0.62660	2.28	15525	9728	51147	70567	4.55
1950-1959	90-94	0.27748	0.76665	2.08	5797	4444	16017	19420	3.35
1950-1959	95-99	0.38469	0.87038	1.85	1353	1177	3061	3404	2.52
1950-1959	100-104	0.50441	0.93327	1.62	175	164	324	343	1.96
1950-1959	105-109	0.62434	0.96580	1.42	12	11	18	19	1.59
1950-1959	110+	0.71699	1.00000	1.39	0	0	1	1	1.39
1960-1969	0	0.02364	0.02315	0.11	100000	2315	97936	6875506	68.76
1960-1969	1-4	0.00093	0.00372	1.59	97685	363	389864	6777569	69.38
1960-1969	5-9	0.00050	0.00251	2.35	97322	245	485961	6387706	65.63
1960-1969	10-14	0.00052	0.00260	2.64	97077	252	484791	5901745	60.79
1960-1969	15-19	0.00150	0.00746	2.84	96825	722	482569	5416955	55.95
1960-1969	20-24	0.00192	0.00956	2.45	96103	918	478176	4934386	51.34
1960-1969	25-29	0.00168	0.00835	2.53	95184	795	473956	4456210	46.82
1960-1969	30-34	0.00184	0.00916	2.51	94390	864	469797	3982254	42.19
1960-1969	35-39	0.00238	0.01186	2.71	93525	1109	465086	3512457	37.56
1960-1969	40-44	0.00367	0.01819	2.66	92417	1681	458151	3047371	32.97
1960-1969	45-49	0.00624	0.03076	2.65	90736	2791	447111	2589220	28.54
1960-1969	50-54	0.01006	0.04916	2.66	87945	4323	429629	2142109	24.36
1960-1969	55-59	0.01545	0.07453	2.62	83622	6232	403284	1712480	20.48
1960-1969	60-64	0.02340	0.11075	2.59	77390	8571	366307	1309197	16.92
1960-1969	65-69	0.03514	0.16188	2.57	68819	11140	316985	942889	13.70
1960-1969	70-74	0.05189	0.23026	2.56	57679	13281	255944	625904	10.85
1960-1969	75-79	0.07922	0.33034	2.49	44397	14666	185123	369960	8.33
1960-1969	80-84	0.12226	0.46497	2.43	29731	13824	113071	184836	6.22
1960-1969	85-89	0.19102	0.62856	2.28	15907	9998	52342	71766	4.51
1960-1969	90-94	0.28298	0.77430	2.08	5909	4575	16167	19424	3.29
