PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NH,f,1941,0,0.03738,0.03624,0.16,100000,3624,96947,6820746,68.21
NH,f,1941,1,0.00342,0.00341,0.5,96376,329,96211,6723798,69.77
NH,f,1941,2,0.00238,0.00237,0.5,96047,228,95933,6627587,69.00
NH,f,1941,3,0.00168,0.00168,0.5,95819,161,95739,6531654,68.17
NH,f,1941,4,0.00248,0.00247,0.5,95658,237,95540,6435915,67.28
NH,f,1941,5,0.00182,0.00182,0.5,95422,174,95335,6340376,66.45
NH,f,1941,6,0.00094,0.00094,0.5,95248,89,95203,6245041,65.57
NH,f,1941,7,0.00037,0.00037,0.5,95159,35,95141,6149838,64.63
NH,f,1941,8,0.00007,0.00007,0.5,95124,7,95120,6054697,63.65
NH,f,1941,9,0.00007,0.00007,0.5,95117,7,95114,5959576,62.66
NH,f,1941,10,0.00030,0.00030,0.5,95110,28,95096,5864462,61.66
NH,f,1941,11,0.00051,0.00051,0.5,95082,48,95058,5769366,60.68
NH,f,1941,12,0.00062,0.00062,0.5,95034,59,95004,5674308,59.71
NH,f,1941,13,0.00066,0.00066,0.5,94975,63,94943,5579304,58.75
NH,f,1941,14,0.00065,0.00065,0.5,94912,62,94881,5484360,57.78
NH,f,1941,15,0.00060,0.00060,0.5,94850,57,94822,5389479,56.82
NH,f,1941,16,0.00055,0.00055,0.5,94793,53,94767,5294658,55.85
NH,f,1941,17,0.00057,0.00057,0.5,94741,54,94714,5199891,54.89
NH,f,1941,18,0.00063,0.00063,0.5,94687,60,94657,5105177,53.92
NH,f,1941,19,0.00073,0.00073,0.5,94627,69,94593,5010520,52.95
NH,f,1941,20,0.00086,0.00086,0.5,94559,82,94518,4915927,51.99
NH,f,1941,21,0.00101,0.00101,0.5,94477,95,94430,4821409,51.03
NH,f,1941,22,0.00114,0.00114,0.5,94382,108,94328,4726979,50.08
NH,f,1941,23,0.00128,0.00128,0.5,94274,120,94214,4632651,49.14
NH,f,1941,24,0.00137,0.00137,0.5,94154,129,94089,4538437,48.20
NH,f,1941,25,0.00143,0.00143,0.5,94025,134,93957,4444347,47.27
NH,f,1941,26,0.00149,0.00149,0.5,93890,140,93820,4350390,46.33
NH,f,1941,27,0.00161,0.00161,0.5,93750,150,93675,4256570,45.40
NH,f,1941,28,0.00176,0.00176,0.5,93600,165,93517,4162895,44.48
NH,f,1941,29,0.00192,0.00192,0.5,93435,179,93346,4069378,43.55
NH,f,1941,30,0.00207,0.00207,0.5,93256,193,93160,3976032,42.64
