PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NH,m,1941-1944,0,0.04586,0.04418,0.17,100000,4418,96325,6457312,64.57
NH,m,1941-1944,1,0.00366,0.00366,0.5,95582,350,95408,6360987,66.55
NH,m,1941-1944,2,0.00307,0.00307,0.5,95233,292,95087,6265580,65.79
NH,m,1941-1944,3,0.00140,0.00140,0.5,94940,133,94874,6170493,64.99
NH,m,1941-1944,4,0.00169,0.00169,0.5,94808,160,94728,6075619,64.08
NH,m,1941-1944,5,0.00152,0.00152,0.5,94648,144,94576,5980892,63.19
NH,m,1941-1944,6,0.00113,0.00113,0.5,94504,107,94450,5886316,62.29
NH,m,1941-1944,7,0.00087,0.00087,0.5,94397,82,94356,5791865,61.36
NH,m,1941-1944,8,0.00073,0.00073,0.5,94314,69,94280,5697510,60.41
NH,m,1941-1944,9,0.00069,0.00069,0.5,94245,65,94213,5603230,59.45
NH,m,1941-1944,10,0.00074,0.00074,0.5,94180,69,94146,5509017,58.49
NH,m,1941-1944,11,0.00082,0.00082,0.5,94111,77,94073,5414871,57.54
NH,m,1941-1944,12,0.00091,0.00091,0.5,94034,86,93992,5320798,56.58
NH,m,1941-1944,13,0.00103,0.00103,0.5,93949,96,93901,5226807,55.63
NH,m,1941-1944,14,0.00116,0.00116,0.5,93852,109,93798,5132906,54.69
NH,m,1941-1944,15,0.00131,0.00131,0.5,93743,122,93682,5039109,53.75
NH,m,1941-1944,16,0.00142,0.00142,0.5,93621,133,93554,4945426,52.82
NH,m,1941-1944,17,0.00151,0.00151,0.5,93488,141,93417,4851872,51.90
NH,m,1941-1944,18,0.00156,0.00156,0.5,93347,145,93274,4758454,50.98
NH,m,1941-1944,19,0.00156,0.00156,0.5,93202,145,93129,4665180,50.05
NH,m,1941-1944,20,0.00154,0.00154,0.5,93057,143,92985,4572051,49.13
NH,m,1941-1944,21,0.00154,0.00154,0.5,92914,143,92842,4479066,48.21
NH,m,1941-1944,22,0.00155,0.00155,0.5,92770,144,92698,4386224,47.28
NH,m,1941-1944,23,0.00160,0.00160,0.5,92626,148,92552,4293525,46.35
NH,m,1941-1944,24,0.00169,0.00169,0.5,92478,156,92400,4200973,45.43
NH,m,1941-1944,25,0.00177,0.00177,0.5,92322,164,92240,4108573,44.50
NH,m,1941-1944,26,0.00184,0.00184,0.5,92158,169,92074,4016333,43.58
NH,m,1941-1944,27,0.00187,0.00187,0.5,91989,172,91903,3924260,42.66
NH,m,1941-1944,28,0.00185,0.00185,0.5,91817,170,91732,3832356,41.74
NH,m,1941-1944,29,0.00181,0.00181,0.5,91647,166,91564,3740624,40.82
NH,m,1941-1944,30,0.00176,0.00175,0.5,91481,160,91401,3649060,39.89
NH,m,1941-1944,31,0.00177,0.00177,0.5,91321,161,91240,3557658,38.96
NH,m,1941-1944,32,0.00191,0.00191,0.5,91160,174,91073,3466418,38.03
NH,m,1941-1944,33,0.00217,0.00217,0.5,90986,197,90887,3375345,37.10
NH,m,1941-1944,34,0.00257,0.00256,0.5,90788,233,90672,3284458,36.18
NH,m,1941-1944,35,0.00307,0.00306,0.5,90556,277,90417,3193786,35.27
NH,m,1941-1944,36,0.00348,0.00348,0.5,90278,314,90121,3103369,34.38
NH,m,1941-1944,37,0.00382,0.00381,0.5,89964,343,89793,3013248,33.49
NH,m,1941-1944,38,0.00408,0.00407,0.5,89622,365,89439,2923455,32.62
NH,m,1941-1944,39,0.00418,0.00417,0.5,89257,372,89071,2834016,31.75
NH,m,1941-1944,40,0.00422,0.00421,0.5,88884,374,88697,2744945,30.88
NH,m,1941-1944,41,0.00431,0.00431,0.5,88510,381,88320,2656248,30.01
NH,m,1941-1944,42,0.00457,0.00456,0.5,88129,402,87928,2567928,29.14
NH,m,1941-1944,43,0.00498,0.00496,0.5,87728,435,87510,2479999,28.27
NH,m,1941-1944,44,0.00552,0.00551,0.5,87292,481,87052,2392490,27.41
NH,m,1941-1944,45,0.00624,0.00622,0.5,86812,540,86541,2305438,26.56
NH,m,1941-1944,46,0.00687,0.00685,0.5,86271,591,85976,2218896,25.72
NH,m,1941-1944,47,0.00755,0.00752,0.5,85681,644,85359,2132920,24.89
NH,m,1941-1944,48,0.00838,0.00835,0.5,85037,710,84682,2047562,24.08
NH,m,1941-1944,49,0.00926,0.00922,0.5,84327,777,83938,1962880,23.28
NH,m,1941-1944,50,0.01019,0.01014,0.5,83550,847,83126,1878941,22.49
NH,m,1941-1944,51,0.01112,0.01106,0.5,82702,915,82245,1795815,21.71
NH,m,1941-1944,52,0.01223,0.01216,0.5,81787,994,81290,1713571,20.95
NH,m,1941-1944,53,0.01342,0.01333,0.5,80793,1077,80255,1632280,20.20
