NH: NH, Lifetables (period 5x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04456	0.04296	0.16	100000	4296	96411	6430190	64.30
1941	1-4	0.00246	0.00979	1.68	95704	937	380642	6333779	66.18
1941	5-9	0.00064	0.00320	1.6	94768	303	472807	5953137	62.82
1941	10-14	0.00068	0.00337	3.17	94465	319	471740	5480329	58.01
1941	15-19	0.00184	0.00914	2.6	94146	860	468663	5008589	53.20
1941	20-24	0.00173	0.00863	2.51	93286	805	464423	4539926	48.67
1941	25-29	0.00206	0.01024	2.53	92480	947	460067	4075503	44.07
1941	30-34	0.00220	0.01096	2.65	91534	1004	455307	3615435	39.50
1941	35-39	0.00353	0.01750	2.63	90530	1584	448896	3160129	34.91
1941	40-44	0.00464	0.02294	2.68	88946	2040	439989	2711233	30.48
1941	45-49	0.00786	0.03862	2.68	86905	3356	426755	2271244	26.13
1941	50-54	0.01250	0.06076	2.7	83549	5076	406062	1844489	22.08
1941	55-59	0.02112	0.10056	2.62	78473	7891	373574	1438427	18.33
1941	60-64	0.02920	0.13640	2.59	70582	9627	329710	1064853	15.09
1941	65-69	0.04406	0.19933	2.61	60955	12150	275760	735143	12.06
1941	70-74	0.06435	0.27797	2.55	48805	13566	210832	459383	9.41
1941	75-79	0.10684	0.42171	2.5	35239	14860	139085	248551	7.05
1941	80-84	0.15701	0.55261	2.32	20378	11261	71724	109466	5.37
1941	85-89	0.21812	0.67591	2.19	9117	6162	28251	37742	4.14
1941	90-94	0.29424	0.78435	2.02	2955	2318	7876	9490	3.21
1941	95-99	0.38353	0.86716	1.84	637	553	1441	1614	2.53
1941	100-104	0.48142	0.92237	1.66	85	78	162	173	2.05
1941	105-109	0.58108	0.95529	1.49	7	6	11	11	1.71
1941	110+	0.66032	1.00000	1.51	0	0	0	0	1.51
1942	0	0.04428	0.04270	0.16	100000	4270	96430	6538641	65.39
1942	1-4	0.00263	0.01045	1.56	95730	1001	380475	6442212	67.30
1942	5-9	0.00080	0.00399	1.78	94729	378	472430	6061736	63.99
1942	10-14	0.00104	0.00520	2.63	94351	491	470592	5589306	59.24
1942	15-19	0.00086	0.00431	2.54	93861	405	468306	5118714	54.54
1942	20-24	0.00147	0.00732	2.69	93456	684	465699	4650408	49.76
1942	25-29	0.00172	0.00856	2.46	92772	794	461841	4184709	45.11
1942	30-34	0.00190	0.00946	2.77	91978	870	457950	3722868	40.48
1942	35-39	0.00368	0.01822	2.58	91108	1660	451522	3264918	35.84
1942	40-44	0.00391	0.01936	2.71	89448	1731	443278	2813396	31.45
1942	45-49	0.00825	0.04051	2.74	87716	3553	430538	2370118	27.02
1942	50-54	0.01254	0.06086	2.61	84163	5122	408566	1939580	23.05
1942	55-59	0.01678	0.08063	2.6	79041	6373	379919	1531015	19.37
1942	60-64	0.02502	0.11825	2.69	72668	8593	343499	1151096	15.84
1942	65-69	0.04330	0.19657	2.66	64075	12595	290906	807597	12.60
1942	70-74	0.06435	0.27723	2.5	51480	14272	221792	516691	10.04
1942	75-79	0.08672	0.35716	2.53	37208	13289	153244	294899	7.93
1942	80-84	0.13602	0.50136	2.38	23919	11992	88164	141655	5.92
1942	85-89	0.19610	0.63661	2.25	11927	7593	38720	53492	4.48
1942	90-94	0.27367	0.76009	2.08	4334	3294	12037	14772	3.41
1942	95-99	0.36739	0.85584	1.88	1040	890	2422	2735	2.63
1942	100-104	0.47223	0.91902	1.68	150	138	292	313	2.08
1942	105-109	0.57996	0.95545	1.49	12	12	20	21	1.71
1942	110+	0.66561	1.00000	1.5	1	1	1	1	1.50
1943	0	0.05264	0.05047	0.19	100000	5047	95893	6374974	63.75
1943	1-4	0.00257	0.01020	1.67	94953	969	377551	6279082	66.13
1943	5-9	0.00118	0.00587	2.51	93984	552	468544	5901531	62.79
1943	10-14	0.00133	0.00664	2.51	93432	620	465615	5432987	58.15
1943	15-19	0.00131	0.00654	2.53	92812	607	462561	4967372	53.52
1943	20-24	0.00162	0.00806	2.61	92205	743	459247	4504811	48.86
1943	25-29	0.00202	0.01007	2.51	91462	921	455018	4045564	44.23
1943	30-34	0.00222	0.01103	2.67	90541	999	450376	3590546	39.66
1943	35-39	0.00399	0.01975	2.65	89542	1769	443549	3140170	35.07
1943	40-44	0.00510	0.02517	2.6	87773	2209	433556	2696621	30.72
1943	45-49	0.00759	0.03729	2.66	85564	3191	420351	2263064	26.45
1943	50-54	0.01241	0.06032	2.68	82373	4969	400319	1842714	22.37
1943	55-59	0.01952	0.09324	2.59	77405	7217	369630	1442395	18.63
1943	60-64	0.02659	0.12506	2.62	70188	8778	330073	1072765	15.28
1943	65-69	0.04308	0.19510	2.58	61410	11981	278090	742692	12.09
1943	70-74	0.06619	0.28437	2.53	49429	14056	212366	464602	9.40
1943	75-79	0.10224	0.40500	2.44	35373	14326	140128	252236	7.13
1943	80-84	0.15024	0.53983	2.39	21047	11362	75625	112109	5.33
1943	85-89	0.23827	0.71367	2.19	9685	6912	29009	36483	3.77
1943	90-94	0.35487	0.84947	1.93	2773	2356	6638	7474	2.70
1943	95-99	0.49138	0.92978	1.66	417	388	790	836	2.00
1943	100-104	0.63024	0.96769	1.42	29	28	45	46	1.58
1943	105-109	0.75181	0.98358	1.25	1	1	1	1	1.33
1943	110+	0.83486	1.00000	1.2	0	0	0	0	1.20
1944	0	0.04159	0.04018	0.16	100000	4018	96611	6489156	64.89
1944	1-4	0.00219	0.00873	1.53	95982	838	381853	6392545	66.60
1944	5-9	0.00135	0.00671	2.12	95144	639	473877	6010692	63.18
1944	10-14	0.00068	0.00337	2.84	94505	319	471836	5536815	58.59
