PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,b,1941-1944,0,0.03540,0.03436,0.15,100000,3436,97067,6494986,64.95
NJ,b,1941-1944,1,0.00283,0.00283,0.5,96564,273,96427,6397918,66.26
NJ,b,1941-1944,2,0.00195,0.00195,0.5,96290,188,96196,6301491,65.44
NJ,b,1941-1944,3,0.00156,0.00156,0.5,96102,150,96027,6205295,64.57
NJ,b,1941-1944,4,0.00125,0.00125,0.5,95953,119,95893,6109268,63.67
NJ,b,1941-1944,5,0.00105,0.00105,0.5,95833,101,95783,6013375,62.75
NJ,b,1941-1944,6,0.00093,0.00093,0.5,95732,89,95688,5917592,61.81
NJ,b,1941-1944,7,0.00085,0.00085,0.5,95643,81,95602,5821905,60.87
NJ,b,1941-1944,8,0.00080,0.00080,0.5,95562,76,95524,5726302,59.92
NJ,b,1941-1944,9,0.00077,0.00077,0.5,95485,73,95449,5630779,58.97
NJ,b,1941-1944,10,0.00076,0.00076,0.5,95412,72,95376,5535330,58.01
NJ,b,1941-1944,11,0.00076,0.00076,0.5,95340,73,95304,5439954,57.06
NJ,b,1941-1944,12,0.00079,0.00079,0.5,95267,75,95230,5344650,56.10
NJ,b,1941-1944,13,0.00084,0.00084,0.5,95192,80,95152,5249420,55.15
NJ,b,1941-1944,14,0.00090,0.00090,0.5,95112,86,95069,5154268,54.19
NJ,b,1941-1944,15,0.00098,0.00098,0.5,95026,93,94980,5059199,53.24
NJ,b,1941-1944,16,0.00108,0.00108,0.5,94933,102,94882,4964219,52.29
NJ,b,1941-1944,17,0.00118,0.00118,0.5,94831,112,94775,4869337,51.35
NJ,b,1941-1944,18,0.00129,0.00129,0.5,94719,122,94658,4774562,50.41
NJ,b,1941-1944,19,0.00140,0.00140,0.5,94597,132,94531,4679904,49.47
NJ,b,1941-1944,20,0.00152,0.00152,0.5,94465,143,94393,4585373,48.54
NJ,b,1941-1944,21,0.00162,0.00162,0.5,94322,153,94245,4490979,47.61
NJ,b,1941-1944,22,0.00170,0.00170,0.5,94169,160,94089,4396734,46.69
NJ,b,1941-1944,23,0.00176,0.00176,0.5,94008,166,93925,4302646,45.77
NJ,b,1941-1944,24,0.00181,0.00181,0.5,93843,169,93758,4208720,44.85
NJ,b,1941-1944,25,0.00184,0.00183,0.5,93673,172,93587,4114962,43.93
NJ,b,1941-1944,26,0.00187,0.00187,0.5,93501,175,93414,4021375,43.01
NJ,b,1941-1944,27,0.00192,0.00192,0.5,93326,179,93237,3927961,42.09
NJ,b,1941-1944,28,0.00201,0.00200,0.5,93147,187,93054,3834725,41.17
NJ,b,1941-1944,29,0.00211,0.00210,0.5,92960,196,92862,3741671,40.25
NJ,b,1941-1944,30,0.00224,0.00223,0.5,92765,207,92661,3648808,39.33
NJ,b,1941-1944,31,0.00236,0.00236,0.5,92558,219,92448,3556147,38.42
NJ,b,1941-1944,32,0.00251,0.00250,0.5,92339,231,92223,3463699,37.51
NJ,b,1941-1944,33,0.00267,0.00267,0.5,92108,246,91985,3371476,36.60
NJ,b,1941-1944,34,0.00287,0.00286,0.5,91862,263,91730,3279491,35.70
NJ,b,1941-1944,35,0.00312,0.00312,0.5,91599,285,91456,3187760,34.80
NJ,b,1941-1944,36,0.00336,0.00335,0.5,91314,306,91161,3096304,33.91
NJ,b,1941-1944,37,0.00364,0.00363,0.5,91008,331,90842,3005144,33.02
NJ,b,1941-1944,38,0.00402,0.00401,0.5,90677,364,90495,2914301,32.14
NJ,b,1941-1944,39,0.00437,0.00436,0.5,90313,394,90116,2823806,31.27
NJ,b,1941-1944,40,0.00473,0.00472,0.5,89919,424,89707,2733690,30.40
NJ,b,1941-1944,41,0.00504,0.00503,0.5,89495,450,89270,2643983,29.54
NJ,b,1941-1944,42,0.00542,0.00541,0.5,89045,481,88805,2554712,28.69
NJ,b,1941-1944,43,0.00588,0.00587,0.5,88564,520,88304,2465908,27.84
NJ,b,1941-1944,44,0.00643,0.00641,0.5,88044,564,87762,2377604,27.00
NJ,b,1941-1944,45,0.00721,0.00719,0.5,87480,629,87166,2289842,26.18
NJ,b,1941-1944,46,0.00783,0.00780,0.5,86851,677,86512,2202676,25.36
NJ,b,1941-1944,47,0.00850,0.00846,0.5,86174,729,85809,2116164,24.56
NJ,b,1941-1944,48,0.00941,0.00936,0.5,85444,800,85044,2030354,23.76
NJ,b,1941-1944,49,0.01028,0.01023,0.5,84644,866,84212,1945310,22.98
NJ,b,1941-1944,50,0.01129,0.01123,0.5,83779,940,83309,1861098,22.21
NJ,b,1941-1944,51,0.01215,0.01208,0.5,82839,1000,82338,1777790,21.46
NJ,b,1941-1944,52,0.01311,0.01302,0.5,81838,1066,81305,1695451,20.72
NJ,b,1941-1944,53,0.01425,0.01415,0.5,80773,1143,80201,1614146,19.98
NJ,b,1941-1944,54,0.01547,0.01535,0.5,79630,1222,79018,1533945,19.26
NJ,b,1941-1944,55,0.01709,0.01695,0.5,78407,1329,77743,1454926,18.56
NJ,b,1941-1944,56,0.01846,0.01829,0.5,77078,1410,76374,1377184,17.87
NJ,b,1941-1944,57,0.01985,0.01965,0.5,75669,1487,74925,1300810,17.19
NJ,b,1941-1944,58,0.02166,0.02143,0.5,74182,1590,73387,1225885,16.53
NJ,b,1941-1944,59,0.02333,0.02306,0.5,72592,1674,71755,1152498,15.88
NJ,b,1941-1944,60,0.02543,0.02511,0.5,70918,1781,70027,1080743,15.24
NJ,b,1941-1944,61,0.02741,0.02703,0.5,69137,1869,68202,1010716,14.62
NJ,b,1941-1944,62,0.02962,0.02919,0.5,67268,1963,66286,942514,14.01
NJ,b,1941-1944,63,0.03268,0.03215,0.5,65304,2100,64254,876228,13.42
NJ,b,1941-1944,64,0.03553,0.03491,0.5,63204,2206,62101,811974,12.85
NJ,b,1941-1944,65,0.03879,0.03805,0.5,60998,2321,59838,749872,12.29
NJ,b,1941-1944,66,0.04067,0.03986,0.5,58677,2339,57508,690034,11.76
NJ,b,1941-1944,67,0.04300,0.04209,0.5,56338,2371,55153,632526,11.23
NJ,b,1941-1944,68,0.04754,0.04644,0.5,53967,2506,52714,577374,10.70
NJ,b,1941-1944,69,0.05251,0.05116,0.5,51461,2633,50145,524660,10.20
NJ,b,1941-1944,70,0.05866,0.05699,0.5,48828,2783,47437,474515,9.72
NJ,b,1941-1944,71,0.06312,0.06118,0.5,46045,2817,44637,427078,9.28
NJ,b,1941-1944,72,0.06720,0.06502,0.5,43228,2811,41823,382441,8.85
NJ,b,1941-1944,73,0.07294,0.07037,0.5,40418,2844,38995,340618,8.43
NJ,b,1941-1944,74,0.07874,0.07576,0.5,37573,2847,36150,301623,8.03
NJ,b,1941-1944,75,0.08607,0.08252,0.5,34727,2866,33294,265473,7.64
NJ,b,1941-1944,76,0.09023,0.08633,0.5,31861,2751,30486,232179,7.29
NJ,b,1941-1944,77,0.09345,0.08928,0.5,29111,2599,27811,201693,6.93
NJ,b,1941-1944,78,0.10157,0.09667,0.5,26512,2563,25230,173882,6.56
NJ,b,1941-1944,79,0.11241,0.10643,0.5,23949,2549,22674,148652,6.21
NJ,b,1941-1944,80,0.11559,0.10927,0.5,21400,2338,20231,125978,5.89
NJ,b,1941-1944,81,0.12582,0.11838,0.5,19062,2256,17933,105747,5.55
NJ,b,1941-1944,82,0.13699,0.12821,0.5,16805,2155,15728,87813,5.23
NJ,b,1941-1944,83,0.14901,0.13868,0.5,14651,2032,13635,72086,4.92
NJ,b,1941-1944,84,0.16164,0.14955,0.5,12619,1887,11675,58451,4.63
NJ,b,1941-1944,85,0.17465,0.16062,0.5,10732,1724,9870,46776,4.36
NJ,b,1941-1944,86,0.18933,0.17296,0.5,9008,1558,8229,36906,4.10
NJ,b,1941-1944,87,0.20654,0.18721,0.5,7450,1395,6753,28677,3.85
NJ,b,1941-1944,88,0.22618,0.20320,0.5,6055,1230,5440,21924,3.62
NJ,b,1941-1944,89,0.24245,0.21623,0.5,4825,1043,4303,16484,3.42
NJ,b,1941-1944,90,0.26140,0.23119,0.5,3782,874,3344,12181,3.22
NJ,b,1941-1944,91,0.28129,0.24661,0.5,2907,717,2549,8837,3.04
NJ,b,1941-1944,92,0.30207,0.26243,0.5,2190,575,1903,6288,2.87
NJ,b,1941-1944,93,0.32369,0.27860,0.5,1616,450,1390,4385,2.71
NJ,b,1941-1944,94,0.34610,0.29504,0.5,1165,344,993,2995,2.57
NJ,b,1941-1944,95,0.36921,0.31167,0.5,822,256,694,2001,2.44
NJ,b,1941-1944,96,0.39293,0.32841,0.5,566,186,473,1308,2.31
NJ,b,1941-1944,97,0.41718,0.34518,0.5,380,131,314,835,2.20
NJ,b,1941-1944,98,0.44183,0.36188,0.5,249,90,204,521,2.09
NJ,b,1941-1944,99,0.46677,0.37845,0.5,159,60,129,317,2.00
NJ,b,1941-1944,100,0.49189,0.39479,0.5,99,39,79,188,1.91
NJ,b,1941-1944,101,0.51705,0.41084,0.5,60,25,47,109,1.83
NJ,b,1941-1944,102,0.54213,0.42652,0.5,35,15,28,62,1.75
NJ,b,1941-1944,103,0.56701,0.44176,0.5,20,9,16,34,1.69
NJ,b,1941-1944,104,0.59155,0.45652,0.5,11,5,9,18,1.62
NJ,b,1941-1944,105,0.61565,0.47075,0.5,6,3,5,10,1.57
NJ,b,1941-1944,106,0.63921,0.48439,0.5,3,2,2,5,1.52
NJ,b,1941-1944,107,0.66212,0.49744,0.5,2,1,1,2,1.47
NJ,b,1941-1944,108,0.68430,0.50985,0.5,1,0,1,1,1.43
NJ,b,1941-1944,109,0.70567,0.52162,0.5,0,0,0,1,1.40
