NJ: NJ, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04609	0.04439	0.17	100000	4439	96310	6244536	62.45
1941	1	0.00319	0.00318	0.5	95561	304	95409	6148226	64.34
1941	2	0.00250	0.00249	0.5	95257	238	95138	6052817	63.54
1941	3	0.00180	0.00180	0.5	95019	171	94934	5957679	62.70
1941	4	0.00120	0.00120	0.5	94848	114	94791	5862745	61.81
1941	5	0.00107	0.00106	0.5	94734	101	94684	5767954	60.89
1941	6	0.00105	0.00104	0.5	94633	99	94584	5673270	59.95
1941	7	0.00104	0.00104	0.5	94534	99	94485	5578686	59.01
1941	8	0.00101	0.00101	0.5	94436	95	94388	5484201	58.07
1941	9	0.00096	0.00096	0.5	94341	91	94296	5389812	57.13
1941	10	0.00095	0.00095	0.5	94250	90	94206	5295517	56.19
1941	11	0.00096	0.00096	0.5	94161	90	94116	5201311	55.24
1941	12	0.00099	0.00099	0.5	94071	93	94024	5107195	54.29
1941	13	0.00103	0.00103	0.5	93977	96	93929	5013171	53.34
1941	14	0.00108	0.00108	0.5	93881	102	93830	4919242	52.40
1941	15	0.00118	0.00118	0.5	93779	111	93724	4825412	51.46
1941	16	0.00127	0.00127	0.5	93668	119	93609	4731688	50.52
1941	17	0.00135	0.00135	0.5	93550	126	93486	4638079	49.58
1941	18	0.00145	0.00144	0.5	93423	135	93356	4544593	48.65
1941	19	0.00153	0.00153	0.5	93288	143	93217	4451237	47.71
1941	20	0.00164	0.00164	0.5	93146	152	93069	4358020	46.79
1941	21	0.00175	0.00175	0.5	92993	163	92912	4264951	45.86
1941	22	0.00182	0.00182	0.5	92830	169	92746	4172039	44.94
1941	23	0.00186	0.00186	0.5	92661	172	92575	4079293	44.02
1941	24	0.00187	0.00186	0.5	92489	172	92403	3986718	43.10
1941	25	0.00185	0.00185	0.5	92317	171	92231	3894315	42.18
1941	26	0.00187	0.00187	0.5	92146	172	92060	3802084	41.26
1941	27	0.00197	0.00197	0.5	91974	181	91883	3710024	40.34
1941	28	0.00215	0.00215	0.5	91792	197	91694	3618141	39.42
1941	29	0.00237	0.00237	0.5	91595	217	91486	3526447	38.50
1941	30	0.00265	0.00264	0.5	91378	242	91257	3434961	37.59
1941	31	0.00286	0.00286	0.5	91136	260	91006	3343704	36.69
1941	32	0.00315	0.00315	0.5	90876	286	90733	3252698	35.79
1941	33	0.00334	0.00334	0.5	90590	302	90439	3161966	34.90
1941	34	0.00345	0.00345	0.5	90287	311	90132	3071527	34.02
1941	35	0.00362	0.00361	0.5	89976	325	89814	2981395	33.14
1941	36	0.00365	0.00364	0.5	89651	327	89488	2891581	32.25
1941	37	0.00401	0.00401	0.5	89325	358	89146	2802093	31.37
1941	38	0.00465	0.00464	0.5	88967	412	88761	2712948	30.49
1941	39	0.00507	0.00506	0.5	88554	448	88331	2624187	29.63
1941	40	0.00533	0.00532	0.5	88107	469	87872	2535856	28.78
1941	41	0.00565	0.00563	0.5	87638	494	87391	2447984	27.93
1941	42	0.00670	0.00667	0.5	87145	582	86854	2360593	27.09
1941	43	0.00726	0.00723	0.5	86563	626	86250	2273739	26.27
1941	44	0.00753	0.00750	0.5	85937	645	85615	2187489	25.45
1941	45	0.00845	0.00841	0.5	85293	717	84934	2101874	24.64
1941	46	0.00879	0.00876	0.5	84575	741	84205	2016940	23.85
1941	47	0.00975	0.00970	0.5	83835	814	83428	1932735	23.05
1941	48	0.01110	0.01104	0.5	83021	917	82563	1849307	22.28
1941	49	0.01211	0.01203	0.5	82104	988	81610	1766744	21.52
1941	50	0.01331	0.01323	0.5	81116	1073	80580	1685134	20.77
1941	51	0.01417	0.01407	0.5	80044	1126	79481	1604554	20.05
1941	52	0.01614	0.01601	0.5	78918	1263	78286	1525073	19.32
1941	53	0.01746	0.01730	0.5	77654	1344	76982	1446787	18.63
1941	54	0.01858	0.01841	0.5	76311	1405	75608	1369805	17.95
1941	55	0.02076	0.02054	0.5	74906	1539	74136	1294197	17.28
1941	56	0.02156	0.02133	0.5	73367	1565	72585	1220060	16.63
1941	57	0.02367	0.02339	0.5	71802	1680	70962	1147476	15.98
1941	58	0.02695	0.02659	0.5	70122	1864	69190	1076514	15.35
1941	59	0.02864	0.02824	0.5	68258	1927	67294	1007324	14.76
1941	60	0.03037	0.02991	0.5	66331	1984	65338	940029	14.17
1941	61	0.03228	0.03177	0.5	64346	2044	63324	874691	13.59
1941	62	0.03765	0.03695	0.5	62302	2302	61151	811367	13.02
1941	63	0.04124	0.04041	0.5	60000	2424	58788	750215	12.50
1941	64	0.04002	0.03923	0.5	57576	2259	56446	691428	12.01
1941	65	0.04127	0.04044	0.5	55317	2237	54198	634981	11.48
