PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,m,1941-1944,0,0.04003,0.03871,0.15,100000,3871,96719,6284720,62.85
NJ,m,1941-1944,1-4,0.00206,0.00821,1.64,96129,790,382651,6188002,64.37
NJ,m,1941-1944,5-9,0.00100,0.00497,2.45,95339,474,475489,5805350,60.89
NJ,m,1941-1944,10-14,0.00098,0.00489,2.58,94865,464,473203,5329861,56.18
NJ,m,1941-1944,15-19,0.00140,0.00699,2.66,94401,660,470459,4856658,51.45
NJ,m,1941-1944,20-24,0.00188,0.00938,2.56,93741,879,466563,4386200,46.79
NJ,m,1941-1944,25-29,0.00210,0.01044,2.56,92862,969,461946,3919637,42.21
NJ,m,1941-1944,30-34,0.00277,0.01377,2.63,91893,1265,456471,3457691,37.63
NJ,m,1941-1944,35-39,0.00416,0.02062,2.68,90628,1869,448796,3001220,33.12
NJ,m,1941-1944,40-44,0.00639,0.03146,2.65,88759,2793,437229,2552424,28.76
NJ,m,1941-1944,45-49,0.01020,0.04980,2.67,85967,4281,419873,2115195,24.60
NJ,m,1941-1944,50-54,0.01614,0.07773,2.62,81685,6350,393336,1695322,20.75
NJ,m,1941-1944,55-59,0.02399,0.11346,2.61,75336,8548,356244,1301987,17.28
NJ,m,1941-1944,60-64,0.03587,0.16506,2.59,66788,11024,307338,945743,14.16
NJ,m,1941-1944,65-69,0.05062,0.22513,2.55,55764,12554,248000,638405,11.45
NJ,m,1941-1944,70-74,0.07650,0.32079,2.49,43210,13861,181205,390405,9.04
NJ,m,1941-1944,75-79,0.10564,0.41478,2.41,29348,12173,115232,209200,7.13
NJ,m,1941-1944,80-84,0.14868,0.53346,2.35,17175,9162,61624,93968,5.47
NJ,m,1941-1944,85-89,0.22108,0.68450,2.22,8013,5485,24809,32345,4.04
NJ,m,1941-1944,90-94,0.31795,0.81286,1.99,2528,2055,6463,7536,2.98
NJ,m,1941-1944,95-99,0.43112,0.89972,1.76,473,426,987,1072,2.27
NJ,m,1941-1944,100-104,0.55230,0.94887,1.54,47,45,82,85,1.79
NJ,m,1941-1944,105-109,0.66842,0.97325,1.36,2,2,4,4,1.49
NJ,m,1941-1944,110+,0.75548,1.00000,1.32,0,0,0,0,1.32
NJ,m,1945-1949,0,0.03296,0.03205,0.13,100000,3205,97223,6498799,64.99
NJ,m,1945-1949,1-4,0.00146,0.00584,1.68,96795,565,385870,6401576,66.14
NJ,m,1945-1949,5-9,0.00084,0.00420,2.36,96230,404,480084,6015706,62.51
NJ,m,1945-1949,10-14,0.00074,0.00371,2.59,95826,356,478276,5535622,57.77
NJ,m,1945-1949,15-19,0.00114,0.00569,2.69,95471,543,476100,5057346,52.97
NJ,m,1945-1949,20-24,0.00156,0.00779,2.53,94928,739,472808,4581246,48.26
NJ,m,1945-1949,25-29,0.00154,0.00769,2.52,94188,724,469149,4108438,43.62
NJ,m,1945-1949,30-34,0.00196,0.00977,2.64,93464,913,465169,3639289,38.94
NJ,m,1945-1949,35-39,0.00314,0.01558,2.72,92551,1442,459462,3174120,34.30
NJ,m,1945-1949,40-44,0.00558,0.02756,2.7,91109,2511,449779,2714659,29.80
NJ,m,1945-1949,45-49,0.00883,0.04328,2.67,88598,3834,434063,2264880,25.56
NJ,m,1945-1949,50-54,0.01461,0.07061,2.66,84764,5985,409801,1830817,21.60
NJ,m,1945-1949,55-59,0.02219,0.10535,2.6,78778,8299,374001,1421016,18.04
NJ,m,1945-1949,60-64,0.03158,0.14670,2.58,70479,10339,327423,1047015,14.86
NJ,m,1945-1949,65-69,0.04837,0.21634,2.56,60140,13011,268976,719592,11.97
NJ,m,1945-1949,70-74,0.06840,0.29241,2.52,47129,13781,201478,450617,9.56
NJ,m,1945-1949,75-79,0.10122,0.40147,2.42,33348,13388,132264,249138,7.47
NJ,m,1945-1949,80-84,0.13603,0.50076,2.37,19960,9995,73478,116875,5.86
NJ,m,1945-1949,85-89,0.20255,0.65070,2.25,9965,6484,32012,43396,4.35
NJ,m,1945-1949,90-94,0.28629,0.77672,2.06,3481,2704,9444,11384,3.27
NJ,m,1945-1949,95-99,0.38846,0.87229,1.84,777,678,1745,1941,2.50
NJ,m,1945-1949,100-104,0.50148,0.93164,1.63,99,92,184,195,1.97
NJ,m,1945-1949,105-109,0.61494,0.96365,1.44,7,7,11,11,1.62
NJ,m,1945-1949,110+,0.70334,1.00000,1.42,0,0,0,0,1.42
NJ,m,1950-1954,0,0.02824,0.02755,0.12,100000,2755,97577,6627080,66.27
NJ,m,1950-1954,1-4,0.00114,0.00455,1.66,97245,442,387944,6529502,67.15
NJ,m,1950-1954,5-9,0.00054,0.00267,2.32,96803,259,483319,6141558,63.44
NJ,m,1950-1954,10-14,0.00054,0.00270,2.73,96544,260,482130,5658239,58.61
NJ,m,1950-1954,15-19,0.00099,0.00493,2.67,96284,475,480309,5176109,53.76
NJ,m,1950-1954,20-24,0.00126,0.00627,2.55,95809,601,477574,4695800,49.01
NJ,m,1950-1954,25-29,0.00143,0.00713,2.55,95208,679,474380,4218226,44.31
NJ,m,1950-1954,30-34,0.00179,0.00893,2.64,94530,844,470654,3743846,39.61
NJ,m,1950-1954,35-39,0.00277,0.01377,2.69,93685,1290,465447,3273192,34.94
NJ,m,1950-1954,40-44,0.00469,0.02318,2.71,92395,2142,457065,2807745,30.39
NJ,m,1950-1954,45-49,0.00816,0.04003,2.7,90253,3613,442959,2350679,26.05
NJ,m,1950-1954,50-54,0.01327,0.06438,2.67,86640,5578,420190,1907720,22.02
NJ,m,1950-1954,55-59,0.02117,0.10078,2.62,81063,8169,385864,1487531,18.35
NJ,m,1950-1954,60-64,0.03126,0.14541,2.6,72893,10599,339034,1101666,15.11
NJ,m,1950-1954,65-69,0.04646,0.20864,2.56,62294,12997,279771,762632,12.24
NJ,m,1950-1954,70-74,0.06648,0.28505,2.5,49297,14052,211367,482862,9.79
NJ,m,1950-1954,75-79,0.09439,0.38085,2.47,35245,13423,142207,271494,7.70
NJ,m,1950-1954,80-84,0.13469,0.49768,2.38,21822,10860,80635,129287,5.92
NJ,m,1950-1954,85-89,0.19755,0.64101,2.26,10961,7026,35568,48653,4.44
NJ,m,1950-1954,90-94,0.28092,0.76999,2.07,3935,3030,10786,13085,3.33
NJ,m,1950-1954,95-99,0.38121,0.86698,1.86,905,785,2058,2299,2.54
NJ,m,1950-1954,100-104,0.49274,0.92816,1.64,120,112,227,241,2.00
