NM: NM, Lifetables (period 5x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.08844	0.08323	0.29	100000	8323	94111	6236297	62.36
1941-1949	1-4	0.00454	0.01794	1.26	91677	1645	362195	6142186	67.00
1941-1949	5-9	0.00117	0.00583	2.35	90032	525	448765	5779991	64.20
1941-1949	10-14	0.00122	0.00608	2.67	89507	544	446265	5331226	59.56
1941-1949	15-19	0.00209	0.01042	2.72	88963	927	442696	4884962	54.91
1941-1949	20-24	0.00315	0.01565	2.56	88035	1378	436821	4442266	50.46
1941-1949	25-29	0.00308	0.01527	2.46	86657	1323	429922	4005445	46.22
1941-1949	30-34	0.00314	0.01559	2.56	85334	1331	423429	3575523	41.90
1941-1949	35-39	0.00421	0.02084	2.62	84004	1751	415846	3152094	37.52
1941-1949	40-44	0.00545	0.02687	2.59	82253	2210	405944	2736248	33.27
1941-1949	45-49	0.00722	0.03551	2.61	80042	2842	393420	2330304	29.11
1941-1949	50-54	0.01026	0.05009	2.63	77200	3867	376820	1936885	25.09
1941-1949	55-59	0.01468	0.07088	2.59	73333	5198	354156	1560064	21.27
1941-1949	60-64	0.01988	0.09490	2.62	68135	6466	325304	1205908	17.70
1941-1949	65-69	0.03285	0.15236	2.62	61669	9396	285990	880603	14.28
1941-1949	70-74	0.04926	0.21994	2.57	52274	11497	233379	594613	11.38
1941-1949	75-79	0.07544	0.31745	2.5	40776	12944	171578	361234	8.86
1941-1949	80-84	0.11263	0.43655	2.43	27832	12150	107876	189657	6.81
1941-1949	85-89	0.16232	0.56524	2.31	15682	8864	54609	81781	5.21
1941-1949	90-94	0.22775	0.69253	2.17	6818	4722	20731	27171	3.99
1941-1949	95-99	0.30912	0.80143	2	2096	1680	5435	6440	3.07
1941-1949	100-104	0.40363	0.88129	1.8	416	367	909	1006	2.42
1941-1949	105-109	0.50531	0.93213	1.61	49	46	91	97	1.96
1941-1949	110+	0.58799	1.00000	1.7	3	3	6	6	1.70
1950-1959	0	0.04518	0.04355	0.17	100000	4355	96399	6833198	68.33
