NM: NM, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.08963	0.08437	0.3	100000	8437	94128	6303963	63.04
1941-1944	1-4	0.00604	0.02375	1.18	91563	2175	360123	6209835	67.82
1941-1944	5-9	0.00110	0.00549	2.2	89388	490	445569	5849712	65.44
1941-1944	10-14	0.00126	0.00626	2.77	88898	557	443249	5404143	60.79
1941-1944	15-19	0.00223	0.01111	2.62	88341	981	439373	4960893	56.16
1941-1944	20-24	0.00259	0.01289	2.54	87360	1126	434031	4521521	51.76
1941-1944	25-29	0.00279	0.01385	2.52	86234	1194	428208	4087490	47.40
1941-1944	30-34	0.00331	0.01642	2.61	85040	1397	421865	3659282	43.03
1941-1944	35-39	0.00440	0.02175	2.56	83643	1819	413784	3237417	38.71
1941-1944	40-44	0.00483	0.02386	2.54	81824	1952	404324	2823633	34.51
1941-1944	45-49	0.00616	0.03033	2.59	79872	2422	393531	2419309	30.29
1941-1944	50-54	0.00921	0.04509	2.69	77449	3492	379175	2025778	26.16
1941-1944	55-59	0.01368	0.06618	2.54	73957	4894	357753	1646603	22.26
1941-1944	60-64	0.01662	0.07997	2.65	69063	5523	332343	1288849	18.66
1941-1944	65-69	0.02823	0.13225	2.61	63540	8403	297637	956507	15.05
1941-1944	70-74	0.04476	0.20216	2.61	55136	11147	249040	658869	11.95
1941-1944	75-79	0.07204	0.30527	2.5	43990	13429	186422	409829	9.32
1941-1944	80-84	0.10340	0.40867	2.44	30561	12489	120781	223408	7.31
1941-1944	85-89	0.14645	0.52702	2.34	18072	9524	65035	102627	5.68
1941-1944	90-94	0.20297	0.64854	2.22	8548	5543	27312	37592	4.40
1941-1944	95-99	0.27386	0.75908	2.06	3004	2280	8327	10281	3.42
1941-1944	100-104	0.35801	0.84706	1.89	724	613	1712	1954	2.70
1941-1944	105-109	0.45181	0.90840	1.71	111	101	223	242	2.18
1941-1944	110+	0.52961	1.00000	1.89	10	10	19	19	1.89
1945-1949	0	0.07226	0.06857	0.26	100000	6857	94894	6627246	66.27
1945-1949	1-4	0.00360	0.01426	1.3	93143	1328	368990	6532352	70.13
1945-1949	5-9	0.00084	0.00420	2.17	91815	386	457983	6163362	67.13
1945-1949	10-14	0.00085	0.00422	2.73	91429	386	456273	5705379	62.40
1945-1949	15-19	0.00151	0.00750	2.69	91044	683	453644	5249106	57.65
1945-1949	20-24	0.00215	0.01069	2.56	90361	966	449449	4795462	53.07
1945-1949	25-29	0.00231	0.01147	2.5	89395	1026	444413	4346014	48.62
1945-1949	30-34	0.00252	0.01254	2.61	88369	1108	439192	3901600	44.15
1945-1949	35-39	0.00379	0.01876	2.63	87260	1637	432415	3462409	39.68
1945-1949	40-44	0.00457	0.02262	2.57	85623	1937	423412	3029994	35.39
1945-1949	45-49	0.00604	0.02977	2.6	83686	2491	412460	2606581	31.15
1945-1949	50-54	0.00767	0.03766	2.58	81195	3058	398589	2194121	27.02
1945-1949	55-59	0.01119	0.05453	2.64	78137	4261	380633	1795532	22.98
1945-1949	60-64	0.01551	0.07478	2.6	73877	5525	356149	1414899	19.15
1945-1949	65-69	0.02611	0.12311	2.68	68352	8415	322263	1058750	15.49
1945-1949	70-74	0.04230	0.19199	2.6	59937	11508	272062	736487	12.29
1945-1949	75-79	0.06568	0.28264	2.53	48430	13688	208394	464425	9.59
1945-1949	80-84	0.09506	0.38401	2.5	34742	13341	140345	256031	7.37
1945-1949	85-89	0.14995	0.53795	2.37	21401	11512	76777	115686	5.41
1945-1949	90-94	0.22760	0.69490	2.2	9888	6871	30190	38909	3.93
1945-1949	95-99	0.32886	0.82436	1.98	3017	2487	7562	8720	2.89
1945-1949	100-104	0.44853	0.90943	1.73	530	482	1074	1157	2.18
1945-1949	105-109	0.57496	0.95523	1.5	48	46	80	83	1.73
1945-1949	110+	0.67570	1.00000	1.48	2	2	3	3	1.48
1950-1954	0	0.04805	0.04624	0.19	100000	4624	96243	7010002	70.10
1950-1954	1-4	0.00239	0.00951	1.35	95376	907	379098	6913759	72.49
1950-1954	5-9	0.00064	0.00317	2.38	94469	300	471558	6534662	69.17
1950-1954	10-14	0.00054	0.00269	2.68	94169	253	470254	6063104	64.39
1950-1954	15-19	0.00112	0.00558	2.72	93915	524	468382	5592849	59.55
1950-1954	20-24	0.00148	0.00737	2.56	93391	688	465278	5124467	54.87
1950-1954	25-29	0.00171	0.00850	2.53	92703	788	461570	4659190	50.26
1950-1954	30-34	0.00197	0.00982	2.61	91915	903	457421	4197620	45.67
1950-1954	35-39	0.00267	0.01326	2.58	91012	1207	452145	3740199	41.10
1950-1954	40-44	0.00350	0.01735	2.63	89805	1558	445340	3288054	36.61
1950-1954	45-49	0.00480	0.02374	2.59	88247	2095	436182	2842713	32.21
1950-1954	50-54	0.00602	0.02968	2.62	86153	2557	424688	2406531	27.93
1950-1954	55-59	0.00939	0.04596	2.68	83595	3842	409067	1981844	23.71
1950-1954	60-64	0.01594	0.07683	2.65	79753	6127	384353	1572777	19.72
1950-1954	65-69	0.02151	0.10229	2.61	73626	7531	350125	1188424	16.14
1950-1954	70-74	0.03806	0.17471	2.66	66095	11548	303429	838299	12.68
1950-1954	75-79	0.06156	0.26715	2.53	54547	14572	236718	534869	9.81
1950-1954	80-84	0.09432	0.38143	2.49	39975	15248	161667	298152	7.46
1950-1954	85-89	0.14657	0.52929	2.38	24727	13088	89293	136485	5.52
1950-1954	90-94	0.21993	0.68151	2.21	11640	7932	36068	47192	4.05
1950-1954	95-99	0.31547	0.81041	2	3707	3004	9523	11123	3.00
1950-1954	100-104	0.42915	0.89870	1.77	703	632	1472	1600	2.28
1950-1954	105-109	0.55115	0.94860	1.54	71	68	123	128	1.80
1950-1954	110+	0.64970	1.00000	1.54	4	4	6	6	1.54
