NM: NM, Lifetables (period 5x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.11041	0.10280	0.33	100000	10280	93112	5829899	58.30
1941-1944	1-4	0.00602	0.02367	1.19	89720	2124	352919	5736787	63.94
1941-1944	5-9	0.00143	0.00714	2.41	87596	626	436363	5383868	61.46
1941-1944	10-14	0.00160	0.00795	2.6	86971	692	433193	4947505	56.89
1941-1944	15-19	0.00270	0.01341	2.84	86279	1157	428899	4514312	52.32
1941-1944	20-24	0.00537	0.02649	2.58	85122	2255	420160	4085413	47.99
1941-1944	25-29	0.00406	0.02007	2.29	82867	1663	409834	3665253	44.23
1941-1944	30-34	0.00349	0.01730	2.57	81204	1405	402607	3255419	40.09
1941-1944	35-39	0.00474	0.02343	2.6	79799	1869	394506	2852812	35.75
1941-1944	40-44	0.00576	0.02840	2.64	77930	2214	384417	2458306	31.55
1941-1944	45-49	0.00907	0.04440	2.61	75716	3361	370539	2073889	27.39
1941-1944	50-54	0.01215	0.05903	2.62	72355	4271	351596	1703350	23.54
1941-1944	55-59	0.01688	0.08106	2.58	68084	5519	327046	1351755	19.85
1941-1944	60-64	0.02507	0.11844	2.67	62565	7410	295539	1024709	16.38
1941-1944	65-69	0.04037	0.18371	2.56	55155	10132	251006	729170	13.22
1941-1944	70-74	0.05605	0.24597	2.51	45022	11074	197564	478165	10.62
1941-1944	75-79	0.08541	0.35190	2.5	33948	11946	139868	280601	8.27
1941-1944	80-84	0.12859	0.47996	2.36	22002	10560	82118	140732	6.40
1941-1944	85-89	0.17094	0.58258	2.27	11442	6666	38994	58614	5.12
1941-1944	90-94	0.22342	0.68298	2.16	4776	3262	14600	19620	4.11
1941-1944	95-99	0.28619	0.77272	2.02	1514	1170	4088	5020	3.32
1941-1944	100-104	0.35825	0.84555	1.88	344	291	812	932	2.71
1941-1944	105-109	0.43726	0.89936	1.73	53	48	109	120	2.26
1941-1944	110+	0.50210	1.00000	1.99	5	5	11	11	1.99
1945-1949	0	0.08943	0.08406	0.29	100000	8406	93990	6155318	61.55
1945-1949	1-4	0.00358	0.01418	1.35	91594	1299	362934	6061328	66.18
1945-1949	5-9	0.00135	0.00672	2.49	90296	607	449954	5698393	63.11
1945-1949	10-14	0.00126	0.00631	2.61	89689	566	447091	5248440	58.52
1945-1949	15-19	0.00210	0.01044	2.69	89123	930	443466	4801348	53.87
1945-1949	20-24	0.00298	0.01477	2.58	88193	1303	437812	4357882	49.41
1945-1949	25-29	0.00338	0.01677	2.52	86891	1457	430835	3920070	45.12
1945-1949	30-34	0.00339	0.01678	2.5	85433	1434	423576	3489235	40.84
1945-1949	35-39	0.00415	0.02054	2.66	83999	1725	415956	3065659	36.50
1945-1949	40-44	0.00650	0.03198	2.6	82274	2632	405068	2649703	32.21
1945-1949	45-49	0.00768	0.03770	2.62	79643	3003	391057	2244635	28.18
1945-1949	50-54	0.01184	0.05758	2.62	76640	4413	372701	1853578	24.19
1945-1949	55-59	0.01665	0.08005	2.6	72227	5782	347236	1480877	20.50
1945-1949	60-64	0.02189	0.10396	2.59	66445	6908	315565	1133641	17.06
1945-1949	65-69	0.03597	0.16571	2.63	59537	9866	274284	818076	13.74
1945-1949	70-74	0.05307	0.23488	2.56	49671	11667	219843	543792	10.95
1945-1949	75-79	0.07883	0.32885	2.48	38005	12498	158545	323949	8.52
1945-1949	80-84	0.12034	0.45876	2.41	25507	11701	97238	165404	6.48
1945-1949	85-89	0.17382	0.59096	2.29	13805	8158	46934	68166	4.94
1945-1949	90-94	0.24393	0.71822	2.14	5647	4056	16627	21232	3.76
1945-1949	95-99	0.33043	0.82338	1.95	1591	1310	3965	4605	2.89
1945-1949	100-104	0.42990	0.89751	1.76	281	252	587	640	2.28
1945-1949	105-109	0.53555	0.94284	1.56	29	27	51	53	1.85
1945-1949	110+	0.62124	1.00000	1.61	2	2	3	3	1.61
1950-1954	0	0.05578	0.05338	0.19	100000	5338	95701	6495555	64.96
