PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NV,b,1941-1944,0,0.05510,0.05278,0.2,100000,5278,95787,6002823,60.03
NV,b,1941-1944,1,0.00547,0.00545,0.5,94722,516,94464,5907036,62.36
NV,b,1941-1944,2,0.00381,0.00380,0.5,94206,358,94027,5812572,61.70
NV,b,1941-1944,3,0.00312,0.00311,0.5,93847,292,93701,5718545,60.93
NV,b,1941-1944,4,0.00166,0.00166,0.5,93555,155,93478,5624844,60.12
NV,b,1941-1944,5,0.00143,0.00143,0.5,93400,134,93334,5531366,59.22
NV,b,1941-1944,6,0.00155,0.00155,0.5,93267,145,93194,5438032,58.31
NV,b,1941-1944,7,0.00163,0.00163,0.5,93122,151,93046,5344838,57.40
NV,b,1941-1944,8,0.00168,0.00168,0.5,92971,157,92892,5251791,56.49
NV,b,1941-1944,9,0.00158,0.00158,0.5,92814,147,92741,5158899,55.58
NV,b,1941-1944,10,0.00134,0.00134,0.5,92667,124,92605,5066158,54.67
NV,b,1941-1944,11,0.00117,0.00117,0.5,92543,108,92489,4973553,53.74
NV,b,1941-1944,12,0.00111,0.00111,0.5,92435,103,92384,4881064,52.81
NV,b,1941-1944,13,0.00121,0.00121,0.5,92332,112,92277,4788680,51.86
NV,b,1941-1944,14,0.00141,0.00140,0.5,92221,130,92156,4696404,50.93
NV,b,1941-1944,15,0.00173,0.00173,0.5,92091,159,92012,4604248,50.00
NV,b,1941-1944,16,0.00216,0.00216,0.5,91932,198,91833,4512236,49.08
NV,b,1941-1944,17,0.00271,0.00270,0.5,91734,248,91610,4420403,48.19
NV,b,1941-1944,18,0.00333,0.00332,0.5,91486,304,91334,4328793,47.32
NV,b,1941-1944,19,0.00400,0.00400,0.5,91182,364,91000,4237459,46.47
NV,b,1941-1944,20,0.00471,0.00470,0.5,90818,427,90604,4146459,45.66
NV,b,1941-1944,21,0.00519,0.00518,0.5,90391,468,90157,4055855,44.87
NV,b,1941-1944,22,0.00538,0.00537,0.5,89923,482,89681,3965698,44.10
NV,b,1941-1944,23,0.00536,0.00535,0.5,89440,478,89201,3876016,43.34
NV,b,1941-1944,24,0.00511,0.00510,0.5,88962,454,88735,3786815,42.57
NV,b,1941-1944,25,0.00466,0.00465,0.5,88508,411,88303,3698080,41.78
NV,b,1941-1944,26,0.00425,0.00424,0.5,88097,374,87910,3609777,40.98
NV,b,1941-1944,27,0.00396,0.00395,0.5,87723,347,87550,3521867,40.15
NV,b,1941-1944,28,0.00377,0.00376,0.5,87377,329,87212,3434317,39.30
NV,b,1941-1944,29,0.00364,0.00364,0.5,87048,317,86889,3347105,38.45
NV,b,1941-1944,30,0.00359,0.00359,0.5,86731,311,86576,3260216,37.59
NV,b,1941-1944,31,0.00364,0.00363,0.5,86420,314,86263,3173640,36.72
NV,b,1941-1944,32,0.00381,0.00380,0.5,86106,328,85942,3087377,35.86
NV,b,1941-1944,33,0.00412,0.00411,0.5,85779,353,85602,3001435,34.99
NV,b,1941-1944,34,0.00454,0.00453,0.5,85426,387,85232,2915833,34.13
NV,b,1941-1944,35,0.00502,0.00501,0.5,85039,426,84826,2830600,33.29
NV,b,1941-1944,36,0.00544,0.00543,0.5,84613,459,84383,2745774,32.45
NV,b,1941-1944,37,0.00583,0.00581,0.5,84154,489,83909,2661391,31.63
NV,b,1941-1944,38,0.00628,0.00626,0.5,83664,523,83403,2577482,30.81
NV,b,1941-1944,39,0.00667,0.00665,0.5,83141,553,82865,2494079,30.00
NV,b,1941-1944,40,0.00698,0.00695,0.5,82588,574,82301,2411214,29.20
NV,b,1941-1944,41,0.00725,0.00723,0.5,82014,593,81718,2328913,28.40
