NV: NV, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04146	0.04007	0.17	100000	4007	96670	6581311	65.81
1941	1-4	0.00352	0.01394	1.28	95993	1339	380324	6484641	67.55
1941	5-9	0.00047	0.00236	0.77	94654	223	472325	6104318	64.49
1941	10-14	0.00049	0.00244	4.01	94431	231	471926	5631993	59.64
1941	15-19	0.00276	0.01371	2.67	94200	1291	467991	5160067	54.78
1941	20-24	0.00312	0.01549	2.55	92909	1440	461010	4692076	50.50
1941	25-29	0.00336	0.01664	2.37	91469	1522	453348	4231066	46.26
1941	30-34	0.00237	0.01179	2.7	89947	1061	447300	3777718	42.00
1941	35-39	0.00556	0.02742	2.63	88886	2437	438661	3330418	37.47
1941	40-44	0.00479	0.02366	2.5	86449	2045	427131	2891757	33.45
1941	45-49	0.00621	0.03057	2.55	84404	2580	415696	2464626	29.20
1941	50-54	0.00706	0.03474	2.73	81823	2843	402653	2048930	25.04
1941	55-59	0.01393	0.06749	2.71	78981	5331	382696	1646277	20.84
1941	60-64	0.02272	0.10804	2.74	73650	7957	350247	1263581	17.16
1941	65-69	0.03898	0.17847	2.64	65693	11724	300816	913333	13.90
1941	70-74	0.05548	0.24507	2.62	53968	13226	238376	612517	11.35
1941	75-79	0.08338	0.34676	2.57	40742	14128	169437	374141	9.18
1941	80-84	0.10224	0.40400	2.41	26615	10752	105170	204704	7.69
1941	85-89	0.13386	0.49343	2.34	15862	7827	58468	99534	6.27
1941	90-94	0.17324	0.58689	2.25	8035	4716	27221	41065	5.11
1941	95-99	0.22106	0.67823	2.15	3320	2251	10184	13844	4.17
1941	100-104	0.27747	0.76104	2.03	1068	813	2930	3660	3.43
1941	105-109	0.34179	0.83039	1.9	255	212	620	730	2.86
1941	110+	0.39426	1.00000	2.54	43	43	110	110	2.54
1942	0	0.05275	0.05061	0.2	100000	5061	95955	6605518	66.06
1942	1-4	0.00356	0.01408	1.23	94939	1337	376056	6509563	68.57
1942	5-9	0.00067	0.00335	0.98	93602	313	466749	6133507	65.53
1942	10-14	0.00049	0.00243	3.14	93289	227	466021	5666758	60.74
1942	15-19	0.00090	0.00448	2.7	93062	417	464348	5200737	55.88
1942	20-24	0.00159	0.00795	2.77	92644	736	461583	4736389	51.12
1942	25-29	0.00265	0.01316	2.63	91908	1210	456669	4274806	46.51
1942	30-34	0.00321	0.01593	2.53	90699	1444	449930	3818138	42.10
1942	35-39	0.00361	0.01791	2.65	89254	1598	442521	3368208	37.74
1942	40-44	0.00567	0.02796	2.66	87656	2450	432551	2925686	33.38
1942	45-49	0.00696	0.03419	2.51	85206	2914	418774	2493135	29.26
1942	50-54	0.00784	0.03851	2.64	82292	3169	403986	2074361	25.21
1942	55-59	0.01234	0.05997	2.64	79123	4745	384423	1670375	21.11
1942	60-64	0.02008	0.09604	2.73	74378	7143	355709	1285952	17.29
1942	65-69	0.03445	0.15914	2.61	67235	10699	310576	930243	13.84
1942	70-74	0.04640	0.20903	2.63	56536	11817	254661	619668	10.96
1942	75-79	0.07718	0.32795	2.71	44718	14665	190001	365007	8.16
1942	80-84	0.12935	0.48696	2.46	30053	14635	113139	175006	5.82
1942	85-89	0.21799	0.68189	2.25	15418	10514	48229	61867	4.01
1942	90-94	0.34144	0.83948	1.97	4905	4117	12059	13638	2.78
1942	95-99	0.49032	0.93047	1.67	787	733	1494	1579	2.01
1942	100-104	0.64233	0.97032	1.4	55	53	83	85	1.55
1942	105-109	0.77200	0.98554	1.22	2	2	2	2	1.29
1942	110+	0.85680	1.00000	1.17	0	0	0	0	1.17
1943	0	0.04865	0.04681	0.19	100000	4681	96205	6520564	65.21
1943	1-4	0.00503	0.01982	1.1	95319	1889	375792	6424359	67.40
1943	5-9	0.00205	0.01023	3.04	93430	956	465282	6048567	64.74
1943	10-14	0.00121	0.00601	2.05	92475	556	460735	5583285	60.38
1943	15-19	0.00196	0.00974	2.9	91919	895	457716	5122550	55.73
1943	20-24	0.00328	0.01628	2.49	91024	1482	451397	4664834	51.25
1943	25-29	0.00236	0.01174	2.48	89542	1051	445062	4213437	47.06
1943	30-34	0.00338	0.01678	2.62	88491	1485	438925	3768375	42.58
